区分１,区分２,(n),現状を維持していく(％),既存事業領域に専念して、さらに拡充する(％),既存事業領域に加え、新たな事業領域に進出(％),既存事業領域は縮小し、新たな事業領域に進出(％),既存事業領域を一部縮小していく(％),その他(％),わからない・まだ決めていない(％),廃業の予定(％),無回答(％)
今回調査,全体,2263,36.3,23.4,18.8,1.5,3,0.4,8.3,6.7,1.7
業種別 ,情報・コンテンツ業,520,28.3,26.9,31,1.7,1.3,0.2,5.6,3.5,1.5
業種別 ,専門サービス業,851,37.6,22,15.7,1.6,3.9,0.8,8.2,8.7,1.4
業種別 ,技術サービス業,388,41.5,21.4,14.4,1.3,3.1,0,9.3,7.5,1.5
業種別 ,事業サービス業,493,38.5,23.7,14.8,1,3,0.4,9.7,6.1,2.6
特定10業種別,税理士事務所,267,44.9,21,5.6,0.4,5.6,1.1,8.6,11.2,1.5
特定10業種別,ソフトウェア業,262,21.8,30.5,35.9,1.5,0.8,0.4,4.2,3.8,1.1
特定10業種別,建築設計業,186,43.5,17.2,16.1,1.1,3.8,0,10.2,8.1,0
特定10業種別,デザイン業,123,32.5,17.9,25.2,3.3,0.8,0.8,8.1,9.8,1.6
特定10業種別,経営コンサルタント業,106,30.2,19.8,29.2,0.9,4.7,0.9,7.5,5.7,0.9
特定10業種別,建物サービス業,95,24.2,34.7,16.8,0,2.1,1.1,10.5,5.3,5.3
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,49.3,8.5,14.1,0,2.8,1.4,5.6,16.9,1.4
特定10業種別,自動車整備業,68,51.5,17.6,4.4,0,1.5,0,10.3,10.3,4.4
特定10業種別,法律事務所,58,34.5,34.5,3.4,1.7,5.2,0,15.5,3.4,1.7
特定10業種別,映像情報制作・配給業,57,38.6,26.3,26.3,0,1.8,0,5.3,1.8,0
従業者規模別,１～２人,753,42.8,11.6,10.1,2.3,4,0.8,11.8,15,1.7
従業者規模別,３～５人,560,40.5,24.6,14.8,0.9,2.5,0,9.5,4.8,2.3
従業者規模別,６～９人,308,35.1,30.5,17.9,1.6,6.2,0.3,6.8,0.3,1.3
従業者規模別,10～29人,341,27.6,32,31.7,1.5,0.3,0.6,2.9,2.1,1.5
従業者規模別,30人以上,251,22.3,35.1,36.3,0.4,0.4,0.4,4.4,0,0.8
年間売上高増減別（３年前）,大幅（10％以上）増加,290,22.1,38.3,34.8,0,0,0,3.8,0.3,0.7
年間売上高増減別（３年前）,やや（10％未満）増加,360,29.7,31.9,27.2,1.1,0.8,0,6.1,1.7,1.4
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,46.1,20.6,15.1,1.1,2,0.5,7.5,6.3,0.8
年間売上高増減別（３年前）,やや（10％未満）減少,374,39.6,19,11,0.8,5.1,0.8,11.2,10.4,2.1
年間売上高増減別（３年前）,大幅（10％以上）減少,398,30.2,14.1,14.6,4,7,0.3,12.3,13.6,4
売上高経常利益率別,黒字,1602,37.7,25.6,20,1,2.2,0.4,6.6,5,1.4
売上高経常利益率別,赤字,557,32,17.1,16.9,2.5,5.4,0.4,12.2,11.1,2.5
経常損益の変化別（３年前）,増益,518,26.6,32.8,28.2,1.4,1.2,0.2,5.2,3.3,1.2
経常損益の変化別（３年前）,横ばい,987,43.2,20.9,15.3,0.8,3.1,0.3,7.9,7.2,1.3
経常損益の変化別（３年前）,減益,697,34.1,20.1,17.2,2.4,4.2,0.6,10.6,8.3,2.4
代表者の年齢別,40歳未満,57,17.5,36.8,35.1,0,3.5,0,3.5,0,3.5
代表者の年齢別,40歳代,306,23.9,33.3,31.7,1.3,1.6,0,5.9,0.7,1.6
代表者の年齢別,50歳代,585,34.2,26.8,24.8,2.1,1.4,0.7,6.8,2.1,1.2
代表者の年齢別,60～64歳,358,41.9,23.2,13.4,2.5,2.2,0.3,10.6,5.6,0.3
代表者の年齢別,65～69歳,342,38.6,18.7,13.2,0.9,5,0,11.7,10.8,1.2
代表者の年齢別,70歳以上,572,43,15.6,10.3,0.9,4.7,0.9,8.2,13.5,3
