区分１,区分２,(n),大幅（１０％以上）増加(％),やや（１０％未満）増加(％),ほぼ（±５％未満）横ばい(％),やや（１０％未満）減少(％),大幅（１０％以上）減少(％),無回答(％)
今回調査,全体,2263,12.8,15.9,35.2,16.5,17.6,2
前回調査,全体,3096,12.5,10.5,36.2,15.1,24.5,0.8
業種別 ,情報・コンテンツ業,520,18.8,19.8,32.3,12.3,13.8,2.9
業種別 ,専門サービス業,851,10.8,13.5,36,19.3,18.6,1.9
業種別 ,技術サービス業,388,11.3,14.9,38.4,14.9,19.1,1.3
業種別 ,事業サービス業,493,11,16.8,34.5,17.2,18.7,1.8
特定10業種別,税理士事務所,267,6.7,15,40.4,24.3,11.2,2.2
特定10業種別,ソフトウェア業,262,24.8,22.5,28.2,10.3,11.1,3.1
特定10業種別,建築設計業,186,11.8,14.5,37.6,15.1,19.9,1.1
特定10業種別,デザイン業,123,9.8,9.8,33.3,19.5,27.6,0
特定10業種別,経営コンサルタント業,106,18.9,17,31.1,14.2,15.1,3.8
特定10業種別,建物サービス業,95,9.5,14.7,31.6,26.3,15.8,2.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,2.8,7,42.3,22.5,25.4,0
特定10業種別,自動車整備業,68,2.9,23.5,30.9,20.6,19.1,2.9
特定10業種別,法律事務所,58,5.2,10.3,48.3,17.2,15.5,3.4
特定10業種別,映像情報制作・配給業,57,12.3,17.5,35.1,15.8,17.5,1.8
従業者規模別,１～２人,753,8,11.3,38.1,16.7,24,1.9
従業者規模別,３～５人,560,10.2,14.3,36.1,20.9,17.1,1.4
従業者規模別,６～９人,308,12.3,18.5,34.4,18.5,14.6,1.6
従業者規模別,10～29人,341,17,21.1,33.4,13.2,12.6,2.6
従業者規模別,30人以上,251,27.1,23.1,27.5,9.2,10,3.2
売上高経常利益率別,黒字,1602,15.9,20,38,14.4,10.9,0.9
売上高経常利益率別,赤字,557,5.2,5.2,28,23,37.9,0.7
経常損益の変化別（３年前）,増益,518,35.5,25.9,21.8,7.7,7.9,1.2
経常損益の変化別（３年前）,横ばい,987,6.1,17.2,52.5,15.4,8.6,0.2
経常損益の変化別（３年前）,減益,697,6.3,7.7,21.4,25.5,38,1
年間売上高別,500 万円未満,226,4,6.2,37.2,13.3,38.5,0.9
年間売上高別,500 万～１千万円未満,281,5,9.3,35.2,22.4,27.8,0.4
年間売上高別,１～３千万円未満,483,9.3,11.8,39.8,22.4,15.5,1.2
年間売上高別,３～５千万円未満,282,12.8,16.3,34.4,17.4,18.8,0.4
年間売上高別,５千万～１億円未満,314,11.1,19.7,37.9,17.8,13.1,0.3
年間売上高別,１～３億円未満,339,18.6,24.5,33.6,12.7,8.8,1.8
年間売上高別,３～５億円未満,105,31.4,20,36.2,6.7,5.7,0
年間売上高別,５～１０億円未満,117,27.4,25.6,27.4,8.5,10.3,0.9
年間売上高別,１０億円以上,83,26.5,25.3,21.7,8.4,15.7,2.4
代表者の年齢別,40歳未満,57,35.1,22.8,26.3,5.3,10.5,0
代表者の年齢別,40歳代,306,24.5,18,27.8,14.4,12.4,2.9
代表者の年齢別,50歳代,585,14.9,19.8,35.7,12.1,16.1,1.4
代表者の年齢別,60～64歳,358,14.2,15.9,34.4,17,17.3,1.1
代表者の年齢別,65～69歳,342,4.4,14.6,42.7,19,16.7,2.6
代表者の年齢別,70歳以上,572,5.9,10.7,35.8,21.5,23.8,2.3
