区分１,区分２,(n),財務会計システム(％),人事管理システム(％),顧客管理システム(％),販売管理システム(％),ネットによる受発注業務(％),電子メール・社内SNS の連絡ツール(％),会社情報の発信（HPやSNS など）(％),AI・RPA(％),マーケティングオートメーション(％),e ラーニングシステム(％),ネットを利用した金融サービス(％),その他(％),いずれも利用していない(％),無回答(％),
今回調査,全体,2263,51.8,10.3,14.7,10.6,19.9,62.7,32.8,1.7,1,6.6,27.1,1.8,12.5,3,
前回調査,全体,3096,52.7,9.9,15.1,12.1,15.7,74.2,33.2,-,-,-,-,2.1,9,1.6,※-の部分は今年度から新規の項目
業種別 ,情報・コンテンツ業,520,56,14.4,17.9,15.8,28.5,72.5,51,3.3,1.7,8.5,36.9,1.7,6.3,2.7,
業種別 ,専門サービス業,851,61.5,9.5,13.6,6.5,14.7,64.9,27.6,0.9,0.9,7.9,25.4,2.1,8.5,2.4,
業種別 ,技術サービス業,388,32.5,6.4,5.7,6.2,22.7,62.9,27.6,1.3,0.3,2.8,21.9,2.6,19.1,3.4,
業種別 ,事業サービス業,493,46.2,10.5,20.1,15.4,17.6,48.1,27.2,1.4,0.6,5.3,24.1,0.6,20.7,4.1,
特定10業種別,税理士事務所,267,92.1,7.9,16.1,6,7.9,57.3,15.7,1.5,0.4,7.1,19.1,1.1,3,3.4,
特定10業種別,ソフトウェア業,262,61.8,17.9,16.8,14.9,28.2,76.3,56.5,5,1.9,13.7,40.8,0.8,3.4,1.5,
特定10業種別,建築設計業,186,26.9,6.5,3.8,2.7,21,66.1,29.6,1.1,0,3.2,23.1,3.2,19.9,2.2,
特定10業種別,デザイン業,123,34.1,7.3,2.4,6.5,30.9,76.4,37.4,0,0.8,1.6,30.1,0.8,13,0,
特定10業種別,経営コンサルタント業,106,60.4,10.4,12.3,4.7,13.2,73.6,45.3,0.9,1.9,3.8,32.1,1.9,9.4,1.9,
特定10業種別,建物サービス業,95,53.7,4.2,11.6,14.7,21.1,52.6,13.7,0,0,2.1,23.2,0,17.9,2.1,
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,40.8,1.4,12.7,5.6,11.3,57.7,8.5,1.4,1.4,5.6,35.2,5.6,15.5,1.4,
特定10業種別,自動車整備業,68,29.4,4.4,33.8,10.3,22.1,22.1,19.1,1.5,0,10.3,17.6,0,32.4,8.8,
特定10業種別,法律事務所,58,48.3,8.6,19,3.4,10.3,56.9,27.6,0,0,15.5,17.2,1.7,19,5.2,
特定10業種別,映像情報制作・配給業,57,52.6,8.8,0,1.8,10.5,64.9,40.4,0,0,3.5,36.8,1.8,17.5,3.5,
従業者規模別,１～２人,753,41.7,3.3,6.9,4.2,17,55.2,19.5,1.1,0.5,5.7,17.4,2.1,18.3,3.5,
従業者規模別,３～５人,560,52.3,5.4,12.7,7.3,16.3,62.9,28.8,1.1,0.7,3.2,24.8,2.3,11.3,3.8,
従業者規模別,６～９人,308,58.1,11.7,22.4,14,25,62.7,34.1,1,0.6,4.5,27.3,0.6,10.1,2.9,
従業者規模別,10～29人,341,56.9,15.5,19.4,14.7,22,70.7,50.1,2.6,2.9,8.5,38.1,1.5,7.6,1.5,
従業者規模別,30人以上,251,66.5,33.5,26.3,26.7,27.1,75.7,57.8,4.8,0.8,17.5,47,1.6,5.6,1.2,
年間売上高増減別（３年前）,大幅（10％以上）増加,290,59.7,19.7,19,15.2,22.4,76.9,57.6,4.8,1.7,9.3,39.7,1.4,6.9,0.3,
年間売上高増減別（３年前）,やや（10％未満）増加,360,53.9,12.5,20.8,12.2,25,68.6,40.8,1.7,1.7,10,36.4,1.4,6.4,1.9,
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,51.8,8.8,12.6,9.8,18,60.9,27.3,1,0.8,4.5,24.5,1.3,13.7,3,
年間売上高増減別（３年前）,やや（10％未満）減少,374,52.9,6.4,13.9,9.1,19.8,53.7,21.4,0.5,0.5,5.9,20.1,1.6,14.4,2.7,
年間売上高増減別（３年前）,大幅（10％以上）減少,398,43.7,8.3,10.1,9.3,18.8,59,28.6,1.8,0.5,5.3,22.4,3,17.8,5.5,
売上高経常利益率別,黒字,1602,55.6,11.7,15.5,11.7,20.5,64.4,34.6,2.1,1.2,7.4,29.4,1.6,10.7,2.3,
売上高経常利益率別,赤字,557,41.7,6.8,11.3,7.9,18.7,58.5,27.3,0.9,0.4,3.9,21.4,1.6,17.6,3.9,
経常損益の変化別（３年前）,増益,518,56.6,15.1,20.1,14.3,22,71.8,43.8,3.1,0.8,8.5,34.4,2.3,9.3,1.7,
経常損益の変化別（３年前）,横ばい,987,52.3,8.5,12.2,9.8,19,60.3,27,1.5,0.8,6,24.9,0.9,13.4,2.5,
経常損益の変化別（３年前）,減益,697,48.4,9.8,13.8,9,20.5,60.1,33.4,1,1.3,5.9,25.5,2.3,13.3,3.7,
