区分１,区分２,(n),経営者が指示をしなくても従業員が率先して自発的に仕事を進めている(％),経営者の指示が必要となるケースが多い(％),経営者がひとつひとつ指示をしなければ従業員は動かない(％),経営者は指示をせず、従業員に任せている(％),その他(％),無回答(％)
今回調査,全体,1504,50.3,34.8,4.3,6.5,1.4,2.7
業種別 ,情報・コンテンツ業,411,51.6,33.1,4.1,6.3,2.9,1.9
業種別 ,専門サービス業,527,49.7,37.8,3.6,6.1,0.6,2.3
業種別 ,技術サービス業,222,46.4,35.1,7.2,6.3,0.9,4.1
業種別 ,事業サービス業,338,52.1,31.7,3.8,7.7,1.2,3.6
特定10業種別,税理士事務所,179,51.4,35.2,1.7,8.4,0.6,2.8
特定10業種別,ソフトウェア業,222,50.5,33.8,5.4,5.4,3.2,1.8
特定10業種別,建築設計業,103,43.7,41.7,9.7,2.9,1,1
特定10業種別,デザイン業,76,52.6,34.2,3.9,9.2,0,0
特定10業種別,経営コンサルタント業,53,50.9,39.6,0,5.7,1.9,1.9
特定10業種別,建物サービス業,76,46.1,36.8,6.6,5.3,0,5.3
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",38,39.5,44.7,13.2,2.6,0,0
特定10業種別,自動車整備業,38,52.6,34.2,2.6,5.3,2.6,2.6
特定10業種別,法律事務所,43,34.9,51.2,11.6,2.3,0,0
特定10業種別,映像情報制作・配給業,43,39.5,46.5,4.7,7,0,2.3
従業者規模別,１～２人,154,40.3,38.3,6.5,6.5,1.3,7.1
従業者規模別,３～５人,438,48.4,36.1,5.3,7.8,0.5,2.1
従業者規模別,６～９人,297,52.2,34.7,3.7,6.1,1.7,1.7
従業者規模別,10～29人,332,54.5,32.8,3,5.7,1.8,2.1
従業者規模別,30人以上,250,51.6,32.8,4,6.4,2.4,2.8
年間売上高増減別（３年前）,大幅（10％以上）増加,234,53.8,36.3,2.1,5.1,0,2.6
年間売上高増減別（３年前）,やや（10％未満）増加,279,49.1,36.6,3.9,6.5,1.8,2.2
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,505,52.1,32.9,3.8,5.5,2.2,3.6
年間売上高増減別（３年前）,やや（10％未満）減少,243,48.1,37.4,3.7,8.6,0.8,1.2
年間売上高増減別（３年前）,大幅（10％以上）減少,215,44.7,34,8.8,8.4,0.9,3.3
売上高経常利益率別,黒字,1144,52.4,34.1,3.7,6.1,1.5,2.3
売上高経常利益率別,赤字,296,40.9,38.5,6.8,8.8,1,4.1
経常損益の変化別（３年前）,増益,374,54.5,31.6,2.9,7,1.3,2.7
経常損益の変化別（３年前）,横ばい,628,48.4,36,4.1,6.5,1.6,3.3
経常損益の変化別（３年前）,減益,470,48.5,36.4,5.5,6.4,1.3,1.9
創業時期別,1970年以前,170,55.3,27.1,5.3,7.1,0.6,4.7
創業時期別,1971～1980年,185,51.4,30.8,4.3,8.1,2.2,3.2
創業時期別,1981～1990年,283,53.7,32.9,1.8,9.2,1.8,0.7
創業時期別,1991～2000年,302,49.3,36.1,3.3,6,1.7,3.6
創業時期別,2001～2010年,320,49.4,37.8,5.6,4.4,0.6,2.2
創業時期別,2011年以降,171,40.4,42.1,8.2,5.3,1.8,2.3
