年,四半期,全体,製造業,卸売業,小売業,サービス
2008,Ⅰ,-24.7,-45,-19.1,-22,-18
2008,Ⅱ,-28.1,-43.9,-26.7,-25.9,-20
2008,Ⅲ,-33.6,-51.9,-27.8,-28.8,-29.4
2008,Ⅳ,-37.7,-50.6,-36.3,-27,-37.9
2009,Ⅰ,-39.9,-45.3,-37.1,-36.7,-41.2
2009,Ⅱ,-37.8,-40.1,-36,-35.8,-39.1
2009,Ⅲ,-39.2,-48.5,-34.2,-38.8,-37.7
2009,Ⅳ,-39.1,-54,-30.8,-38.2,-35.6
2010,Ⅰ,-35,-43.9,-30.8,-34.2,-33.1
2010,Ⅱ,-33,-47.5,-24.7,-34.6,-28.7
2010,Ⅲ,-33.7,-57.6,-26.5,-25.5,-29.4
2010,Ⅳ,-30.3,-48.4,-23.4,-26.1,-26.8
2011,Ⅰ,-33.6,-50.2,-28.4,-31.8,-27.6
2011,Ⅱ,-32.6,-46.8,-26.4,-30.3,-29.4
2011,Ⅲ,-33.4,-52.8,-26.2,-30.3,-28.8
2011,Ⅳ,-28.7,-46.4,-21.8,-27.2,-24
2012,Ⅰ,-28.7,-42.4,-23.8,-27.3,-24.9
2012,Ⅱ,-28.7,-45.5,-22.3,-24,-27.2
2012,Ⅲ,-30.1,-51.3,-21.8,-27.3,-24.8
2012,Ⅳ,-23.8,-39.1,-20.2,-21.6,-17.1
2013,Ⅰ,-25.1,-37.5,-20.5,-17.9,-27.3
2013,Ⅱ,-24.2,-37.6,-17.9,-16.9,-27.1
2013,Ⅲ,-23.6,-42.5,-17.1,-20.1,-20.7
2013,Ⅳ,-21.8,-38,-12.9,-17.7,-21.2
2014,Ⅰ,-22.9,-36,-15.5,-19.9,-24
2014,Ⅱ,-22.6,-40.8,-15.5,-17.8,-21.3
2014,Ⅲ,-23.1,-38.1,-16.7,-16.2,-24.6
2014,Ⅳ,-22.3,-38.8,-19.9,-13.9,-19
2015,Ⅰ,-20.7,-41.4,-13.8,-16.7,-18.3
2015,Ⅱ,-17.8,-36.8,-11.4,-11.3,-16
2015,Ⅲ,-22,-36.7,-17.7,-15.3,-21.5
2015,Ⅳ,-20.5,-30.7,-14.1,-18.7,-20.3
2016,Ⅰ,-19.7,-32.6,-14.4,-17.7,-17.7
2016,Ⅱ,-21,-35,-16.8,-14,-21.8
2016,Ⅲ,-19.6,-35.8,-10,-15.8,-20.6
2016,Ⅳ,-15.7,-27.4,-10.7,-9.7,-17.2
2017,Ⅰ,-17,-32.3,-10.4,-11.4,-17.2
2017,Ⅱ,-16.1,-31.9,-11.5,-10.2,-15.2
2017,Ⅲ,-15.6,-31.2,-9.6,-13.6,-11.9
2017,Ⅳ,-12.9,-26.2,-7.5,-6.3,-14.4
2018,Ⅰ,-14.6,-36.8,-7.3,-9.8,-11.2
2018,Ⅱ,-12.9,-30.7,-5.5,-8.5,-11.1
2018,Ⅲ,-14.3,-35.2,-7.2,-9.5,-10.6
2018,Ⅳ,-15.6,-33.4,-7.3,-9.1,-16.2
2019,Ⅰ,-15.3,-30.8,-8.3,-11.7,-14.7
2019,Ⅱ,-17.1,-32.5,-10.5,-10.6,-18
2019,Ⅲ,-15.9,-32.6,-3.9,-13.3,-17.7
2019,Ⅳ,-15.7,-32.3,-8.1,-11.6,-14
