年,四半期,全体,製造業,卸売業,小売業,サービス
2008,Ⅰ,7.1,8.5,3,19.3,0.4
2008,Ⅱ,4.6,8.3,-0.6,15.1,-1.9
2008,Ⅲ,2.7,6.8,-2.4,14.9,-5.7
2008,Ⅳ,-10.4,-0.8,-15.4,2.5,-23.2
2009,Ⅰ,-15.5,-2.1,-15.3,-3.8,-33.2
2009,Ⅱ,-15.5,-3.6,-17.2,-9.6,-26.7
2009,Ⅲ,-14.4,0.4,-12.2,-9.1,-30.3
2009,Ⅳ,-13,-3,-10.1,-9.9,-25.9
2010,Ⅰ,-6,2.6,-6.1,-1.8,-15.2
2010,Ⅱ,-7.9,-2.3,-11,-6,-10.6
2010,Ⅲ,-7.2,-6.1,-10.6,0.7,-11.6
2010,Ⅳ,-3.1,0.4,-2.5,0.4,-8.6
2011,Ⅰ,-6.2,-8,-8.2,-0.3,-8.3
2011,Ⅱ,-3.2,1.8,-5.2,1.2,-8.8
2011,Ⅲ,-1.6,-1.2,0.7,2.2,-6.9
2011,Ⅳ,1.7,3.1,3.4,9.5,-7.5
2012,Ⅰ,1.6,0.7,4.1,6.6,-4.2
2012,Ⅱ,-2,-1.5,-3.3,6.7,-8.6
2012,Ⅲ,-1.9,-3.2,-0.8,9.7,-11.5
2012,Ⅳ,2.1,9.6,-3.2,12.1,-8
2013,Ⅰ,2,2.1,0.8,9,-2.4
2013,Ⅱ,1.1,1.2,0.9,10.8,-6.3
2013,Ⅲ,5.8,2.9,5,17.5,-1
2013,Ⅳ,9.2,4.6,10.3,23.9,0.3
2014,Ⅰ,12.1,7.2,10.5,24.6,5.6
2014,Ⅱ,8.5,6.1,10,16.8,1.2
2014,Ⅲ,10.8,10.1,8.9,22.6,3.4
2014,Ⅳ,10.8,12.6,7.3,20.2,4
2015,Ⅰ,14.2,14.9,9.7,23.9,9.3
2015,Ⅱ,9.6,9.2,6.4,18.3,5
2015,Ⅲ,11.6,12.5,3.4,25.3,6.4
2015,Ⅳ,13.7,14.8,10.1,26,5.7
2016,Ⅰ,14.9,15.4,12.8,23.9,8.4
2016,Ⅱ,11.9,14.2,6.4,24.1,4.4
2016,Ⅲ,13.1,10.7,9.8,22.5,9.6
2016,Ⅳ,17.9,18.9,14.7,26.5,11.9
2017,Ⅰ,16.6,10,16.2,23.1,15.7
2017,Ⅱ,15.9,9.4,17.9,22.9,12.1
2017,Ⅲ,20.3,16.5,17.6,28.3,18.4
2017,Ⅳ,22.5,13.4,23.7,32.9,18.2
2018,Ⅰ,22.2,17.7,20.2,29.7,20.1
2018,Ⅱ,16.7,12.6,12.9,26.2,14.7
2018,Ⅲ,19.1,14,17,30.9,13.6
2018,Ⅳ,20.4,14.9,18.1,28.7,19.4
2019,Ⅰ,20.6,15,19.5,29,17.5
2019,Ⅱ,19.9,13,20.5,30.5,13.9
2019,Ⅲ,18.3,18.3,17.8,28.4,9.5
2019,Ⅳ,20.1,15.8,17.5,32.8,13.9
