区分１,区分２,(n),顧客に提供・販売している（％）,現在開発中（顧客には提供・販売していない）（％）,無回答（％）
今回調査,全体,465,63.9,33.3,2.8
業種別,情報・コンテンツ業,174,62.6,35.1,2.3
業種別,専門サービス業,136,67.6,29.4,2.9
業種別,技術サービス業,79,54.4,43,2.5
業種別,事業サービス業,73,69.9,26,4.1
従業者規模別,１～２人,103,63.1,33,3.9
従業者規模別,３～５人,107,57.9,41.1,0.9
従業者規模別,６～９人,61,73.8,23,3.3
従業者規模別,10～29人,99,62.6,34.3,3
従業者規模別,30人以上,85,65.9,30.6,3.5
年間売上高増減別（３年前）,大幅（10％以上）増加,113,69,29.2,1.8
年間売上高増減別（３年前）,やや（10％未満）増加,98,70.4,28.6,1
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,126,63.5,33.3,3.2
年間売上高増減別（３年前）,やや（10％未満）減少,43,58.1,39.5,2.3
年間売上高増減別（３年前）,大幅（10％以上）減少,77,54.5,40.3,5.2
売上高経常利益率別,黒字,337,67.4,30,2.7
売上高経常利益率別,赤字,107,52.3,45.8,1.9
経常損益の変化別（３年前）,増益,164,68.9,28.7,2.4
経常損益の変化別（３年前）,横ばい,161,65.8,32.9,1.2
経常損益の変化別（３年前）,減益,129,55.8,39.5,4.7
代表者の年齢別,40歳未満,16,62.5,37.5,0
代表者の年齢別,40歳代,81,60.5,37,2.5
代表者の年齢別,50歳代,155,65.2,34.2,0.6
代表者の年齢別,60～64歳,70,65.7,31.4,2.9
代表者の年齢別,65～69歳,61,57.4,36.1,6.6
代表者の年齢別,70歳以上,73,65.8,28.8,5.5
