区分１,区分２,(n),20％未満(％),20～40％未満(％),40～60％未満(％),60～80％未満(％),80％以上(％),無回答(％)
今回調査,全体,2263,33.3,26.4,14.6,9.5,13.3,2.8
業種別 ,情報・コンテンツ業,520,21,31,19.8,9.8,16.2,2.3
業種別 ,専門サービス業,851,46.9,22.3,11.4,7.4,8.6,3.4
業種別 ,技術サービス業,388,20.6,29.9,16.2,13.9,17.5,1.8
業種別 ,事業サービス業,493,33.3,25.6,13.4,9.5,15.2,3
特定10業種別,税理士事務所,267,76.8,13.5,4.1,1.5,1.5,2.6
特定10業種別,ソフトウェア業,262,17.2,35.5,21.4,8,16.4,1.5
特定10業種別,建築設計業,186,17.7,30.6,18.8,14,17.2,1.6
特定10業種別,デザイン業,123,10.6,26.8,23.6,16.3,21.1,1.6
特定10業種別,経営コンサルタント業,106,36.8,23.6,12.3,12.3,12.3,2.8
特定10業種別,建物サービス業,95,26.3,27.4,16.8,12.6,14.7,2.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,42.3,32.4,12.7,5.6,1.4,5.6
特定10業種別,自動車整備業,68,41.2,27.9,14.7,8.8,2.9,4.4
特定10業種別,法律事務所,58,51.7,24.1,12.1,1.7,1.7,8.6
特定10業種別,映像情報制作・配給業,57,15.8,33.3,22.8,1.8,24.6,1.8
従業者規模別,１～２人,753,25.4,23.6,17.4,12.5,18.3,2.8
従業者規模別,３～５人,560,37.1,26.4,12.9,8.4,12,3.2
従業者規模別,６～９人,308,39.3,27.3,12.7,9.1,9.7,1.9
従業者規模別,10～29人,341,36.4,30.2,14.1,8.2,8.5,2.6
従業者規模別,30人以上,251,37.1,27.1,14.7,6.4,12,2.8
年間売上高増減別（３年前）,大幅（10％以上）増加,290,36.2,26.9,14.8,10.3,11.4,0.3
年間売上高増減別（３年前）,やや（10％未満）増加,360,36.9,28.9,15.6,8.1,8.9,1.7
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,32,24.9,15.2,9.9,15.8,2.1
年間売上高増減別（３年前）,やや（10％未満）減少,374,42.5,25.1,11.2,9.6,10.4,1.1
年間売上高増減別（３年前）,大幅（10％以上）減少,398,25.4,28.1,16.8,10.3,16.8,2.5
売上高経常利益率別,黒字,1602,37.1,26.7,14.5,8.1,12.4,1.1
売上高経常利益率別,赤字,557,23.2,26.8,16.2,14.4,17.2,2.3
経常損益の変化別（３年前）,増益,518,32.2,29.2,15.3,9.5,13.1,0.8
経常損益の変化別（３年前）,横ばい,987,35.6,25.3,14.2,8.9,14.5,1.5
経常損益の変化別（３年前）,減益,697,32.9,26.8,15.4,11,12.1,1.9
創業時期別,1970年以前,233,39.1,27.9,12,6.9,9.4,4.7
創業時期別,1971～1980年,233,42.9,19.3,17.2,7.7,11.6,1.3
創業時期別,1981～1990年,434,31.6,26.5,12.9,10.1,15.9,3
創業時期別,1991～2000年,483,32.9,26.5,14.9,10.8,13,1.9
創業時期別,2001～2010年,490,32.7,25.9,16.1,9.6,13.3,2.4
創業時期別,2011年以降,285,25.3,31.2,14,10.9,15.4,3.2
