大分類,中分類,0人（％）,1～4人（％）,5～9人（％）,10～19人（％）,20～29人（％）,30人以上（％）
情報通信業,通信業,10.1,28.5,20.9,15.4,6.5,18.5
情報通信業,放送業,4.7,31,18.6,16.1,6,23.6
情報通信業,情報サービス業,16.8,30.3,15.4,12.9,6.7,17.9
情報通信業,インターネット附随サービス業,23.9,37.3,14.7,10.1,4,9.9
情報通信業,映像・音声・文字情報制作業,19.4,44.3,15.4,9.9,3.7,7.3
不動産業、物品賃貸業,不動産取引業,30.6,49.2,13.4,4.4,1,1.2
不動産業、物品賃貸業,不動産賃貸業・管理業,66.2,28,2.9,1.5,0.5,0.8
不動産業、物品賃貸業,物品賃貸業,13,36.5,26.5,15.3,4.4,4.3
学術研究、専門技術・サービス業,学術・開発研究機関,11.7,28.9,15,13.6,7.1,23.7
学術研究、専門技術・サービス業,専門サービス業（他に分類されないもの）,31.6,49.2,12,4.6,1.1,1.5
学術研究、専門技術・サービス業,広告業,16.8,41.2,19,12.1,3.8,7.1
学術研究、専門技術・サービス業,技術サービス業（他に分類されないもの）,29.4,43.7,13.1,7.2,2.5,4
サービス（他に分類されないもの）,廃棄物処理業,9,33.8,22.6,18,7.5,9.2
サービス（他に分類されないもの）,自動車整備業,35,45.9,12.2,4.9,1.1,0.8
サービス（他に分類されないもの）,機械等修理業（別掲を除く）,30.7,39.8,14.3,8.6,2.8,3.8
サービス（他に分類されないもの）,職業紹介・労働者派遣業,7.2,30,16.7,11.7,6,28.4
サービス（他に分類されないもの）,その他の事業サービス業,11.3,31.7,16.1,14.2,7.1,19.5
