"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","器具で家具を固定している[人]","家具の配置を工夫している[人]","できるだけ家具を置かないようにしている[人]","家具が収納式又は据付けとなっている[人]","行っていない[人]","無回答[人]"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","全体",,"658","203","187","99","30","107","32"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","男性（計）","248","84","63","41","11","40","9"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","男性 18～29歳","23","5","5","2","0","10","1"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","男性 30～39歳","35","11","10","8","1","4","1"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","男性 40～49歳","41","8","12","11","3","7","0"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","男性 50～59歳","49","20","13","9","2","5","0"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","男性 60～69歳","39","13","13","4","3","4","2"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","男性 70歳以上","60","26","10","7","2","10","5"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","男性 無回答","1","1","0","0","0","0","0"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","女性（計）","400","117","121","55","19","67","21"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","女性 18～29歳","28","11","4","5","0","7","1"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","女性 30～39歳","65","10","26","12","3","13","1"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","女性 40～49歳","95","20","32","17","7","16","3"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","女性 50～59歳","82","20","24","9","2","18","9"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","女性 60～69歳","55","23","15","5","5","5","2"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","女性 70歳以上","75","33","20","7","2","8","5"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0","0","0"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","性・年代別","無回答","10","2","3","3","0","0","2"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","職業別","自営業主・家族従業","92","38","14","16","5","9","10"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","職業別","会社員・団体職員・公務員","280","67","90","52","12","47","12"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","職業別","アルバイト・パートタイマー","58","12","17","8","4","14","3"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","職業別","家事専業","94","35","35","10","4","8","2"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","職業別","学生","20","10","4","0","0","6","0"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","職業別","無職","83","31","19","9","3","17","4"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","職業別","その他","26","8","7","3","2","6","0"
"202003","災害対策","Q23. 震災時に自宅でケガをしないために、事前の備えである家具の転倒・移動・落下対策が重要です。あなたはご自宅で、どのような対策を行っていますか。（１つ選択）","職業別","無回答","5","2","1","1","0","0","1"
