措置区分,定例（平成30年）,財援（平成30年）,行政(指定管理)（平成30年）,行政(システム)（平成30年）,定例（令和元年）,平成30年度各会計歳入歳出決算,平成30年度公営企業各会計決算審査,計
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,7,,,5,,,12
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,7,,,6,,,13
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,1,,,,2,3,,6
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,1,,,,4,3,,8
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,,11,1,12
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,1,,,,12,2,15
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,3,6,8,3,15,,,35
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,5,7,8,4,20,,,44
小計※措置区分のうち主なものを１つ選定した場合の数値,4,13,8,3,22,14,1,65
小計※措置区分のうち主なものを全て選定した場合の数値,6,15,8,4,30,15,2,80
ア　要綱等の制定・改正※措置区分のうち主なものを１つ選定した場合の数値,1,2,,1,3,,,7
ア　要綱等の制定・改正※措置区分のうち主なものを全て選定した場合の数値,2,3,,1,3,,,9
イ　契約・仕様等の見直し※措置区分のうち主なものを１つ選定した場合の数値,,1,,,9,,,10
イ　契約・仕様等の見直し※措置区分のうち主なものを全て選定した場合の数値,1,2,,,11,1,,15
ウ　ルール・体制の構築※措置区分のうち主なものを１つ選定した場合の数値,1,3,,1,4,,,9
ウ　ルール・体制の構築※措置区分のうち主なものを全て選定した場合の数値,2,4,3,4,11,12,,36
エ　研修等の実施※措置区分のうち主なものを１つ選定した場合の数値,1,1,,,18,2,1,23
エ　研修等の実施※措置区分のうち主なものを全て選定した場合の数値,3,12,,1,45,10,2,73
小計※措置区分のうち主なものを１つ選定した場合の数値,3,7,,2,34,2,1,49
小計※措置区分のうち主なものを全て選定した場合の数値,8,21,3,6,70,23,2,133
合計※措置区分のうち主なものを１つ選定した場合の数値,7,20,8,5,56,16,2,114
合計※措置区分のうち主なものを全て選定した場合の数値,14,36,11,10,100,38,4,213
