"年度[西暦]","款","予算現額[千円]","支出済額[千円]"
"2018","総務費",,"485151"
"2018","保険給付費",,"13339153"
"2018","後期高齢者支援金等",,
"2018","前期高齢者納付金等",,
"2018","老人保健拠出金",,
"2018","介護納付金",,
"2018","国民健康保険事業費納付金",,"9355377"
"2018","共同事業拠出金",,"2"
"2018","保健事業費",,"154727"
"2018","諸支出金",,"446768"
"2018","予備費",,"0"
"2018","歳出合計",,"23781178"
"2019","総務費",,"509419"
"2019","保険給付費",,"13293845"
"2019","後期高齢者支援金等",,
"2019","前期高齢者納付金等",,
"2019","老人保健拠出金",,
"2019","介護納付金",,
"2019","国民健康保険事業費納付金",,"9391589"
"2019","共同事業拠出金",,"2"
"2019","保健事業費",,"151114"
"2019","諸支出金",,"214452"
"2019","予備費",,"0"
"2019","歳出合計",,"23560420"
"2020","総務費",,"500057"
"2020","保険給付費",,"12575619"
"2020","後期高齢者支援金等",,
"2020","前期高齢者納付金等",,
"2020","老人保健拠出金",,
"2020","介護納付金",,
"2020","国民健康保険事業費納付金",,"9103759"
"2020","共同事業拠出金",,"2"
"2020","保健事業費",,"139303"
"2020","諸支出金",,"363421"
"2020","予備費",,"0"
"2020","歳出合計",,"22682162"
"2021","総務費","541810","468024"
"2021","保険給付費","13983804","13543350"
"2021","後期高齢者支援金等",,
"2021","前期高齢者納付金等",,
"2021","老人保健拠出金",,
"2021","介護納付金",,
"2021","国民健康保険事業費納付金","9081001","9080999"
"2021","共同事業拠出金","2","0"
"2021","保健事業費","188112","149506"
"2021","諸支出金","247034","217415"
"2021","予備費","89695","0"
"2021","歳出合計","24131458","23459295"
"2022","総務費","498106","456191"
"2022","保険給付費","13562686","13267476"
"2022","後期高齢者支援金等",,
"2022","前期高齢者納付金等",,
"2022","老人保健拠出金",,
"2022","介護納付金",,
"2022","国民健康保険事業費納付金","9166388","9166387"
"2022","共同事業拠出金","2","0"
"2022","保健事業費","165704","145376"
"2022","諸支出金","320858","313180"
"2022","予備費","78837","0"
"2022","歳出合計","23792581","23348610"

"令和5年度港区行政資料集　国民健康保険事業会計歳出決算","Ver202303",,
