地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13121,1312100000,足立区,,,足立区,1,1000,民営,223005,126117,96251,9489,7268,2221,2601,488,2113,18764,13271,5493,192151,105090,86424,181408,100044,80727,103730,71494,31742,77678,28550,48985,10743,5046,5697,1175,854,321,3341,1971,1370,225171,127234,97300
4,13121,1312100000,足立区,,,足立区,2,1100,個人,24762,12067,12695,9489,7268,2221,2601,488,2113,-,-,-,12672,4311,8361,11575,3903,7672,5940,2300,3640,5635,1603,4032,1097,408,689,47,22,25,71,28,43,24786,12073,12713
4,13121,1312100000,足立区,,,足立区,3,1210,会社,170421,103203,67186,-,-,-,-,-,-,17779,12576,5203,152642,90627,61983,144173,86448,57693,80297,62114,18158,63876,24334,39535,8469,4179,4290,1074,802,272,2844,1725,1119,172191,104126,68033
4,13121,1312100000,足立区,,,足立区,3,1220,会社以外の法人,27690,10792,16293,-,-,-,-,-,-,971,684,287,26719,10108,16006,25542,9649,15288,17439,7050,9920,8103,2599,5368,1177,459,718,54,30,24,392,186,206,28028,10948,16475
4,13121,1312100000,足立区,,,足立区,2,1300,法人でない団体,132,55,77,-,-,-,-,-,-,14,11,3,118,44,74,118,44,74,54,30,24,64,14,50,-,-,-,-,-,-,34,32,2,166,87,79
5,13121,1312100100,足立区,足立区青井,,足立区青井,1,1000,民営,3320,1972,1348,206,162,44,50,8,42,359,230,129,2705,1572,1133,2582,1509,1073,1429,1052,377,1153,457,696,123,63,60,-,-,-,23,9,14,3343,1981,1362
5,13121,1312100100,足立区,足立区青井,,足立区青井,2,1100,個人,500,271,229,206,162,44,50,8,42,-,-,-,244,101,143,234,95,139,124,57,67,110,38,72,10,6,4,-,-,-,-,-,-,500,271,229
5,13121,1312100100,足立区,足立区青井,,足立区青井,3,1210,会社,2516,1607,909,-,-,-,-,-,-,348,226,122,2168,1381,787,2102,1344,758,1116,930,186,986,414,572,66,37,29,-,-,-,20,9,11,2536,1616,920
5,13121,1312100100,足立区,足立区青井,,足立区青井,3,1220,会社以外の法人,301,92,209,-,-,-,-,-,-,11,4,7,290,88,202,243,68,175,187,63,124,56,5,51,47,20,27,-,-,-,3,-,3,304,92,212
5,13121,1312100100,足立区,足立区青井,,足立区青井,2,1300,法人でない団体,3,2,1,-,-,-,-,-,-,-,-,-,3,2,1,3,2,1,2,2,-,1,-,1,-,-,-,-,-,-,-,-,-,3,2,1
6,13121,1312100101,足立区,足立区青井,１丁目,足立区青井１丁目,1,1000,民営,314,198,116,22,15,7,7,2,5,52,36,16,233,145,88,229,142,87,172,125,47,57,17,40,4,3,1,-,-,-,-,-,-,314,198,116
6,13121,1312100101,足立区,足立区青井,１丁目,足立区青井１丁目,2,1100,個人,54,29,25,22,15,7,7,2,5,-,-,-,25,12,13,23,10,13,17,9,8,6,1,5,2,2,-,-,-,-,-,-,-,54,29,25
6,13121,1312100101,足立区,足立区青井,１丁目,足立区青井１丁目,3,1210,会社,242,166,76,-,-,-,-,-,-,51,36,15,191,130,61,189,129,60,142,113,29,47,16,31,2,1,1,-,-,-,-,-,-,242,166,76
6,13121,1312100101,足立区,足立区青井,１丁目,足立区青井１丁目,3,1220,会社以外の法人,15,1,14,-,-,-,-,-,-,1,-,1,14,1,13,14,1,13,11,1,10,3,-,3,-,-,-,-,-,-,-,-,-,15,1,14
6,13121,1312100101,足立区,足立区青井,１丁目,足立区青井１丁目,2,1300,法人でない団体,3,2,1,-,-,-,-,-,-,-,-,-,3,2,1,3,2,1,2,2,-,1,-,1,-,-,-,-,-,-,-,-,-,3,2,1
6,13121,1312100102,足立区,足立区青井,２丁目,足立区青井２丁目,1,1000,民営,439,266,173,41,35,6,12,4,8,85,53,32,301,174,127,276,163,113,197,138,59,79,25,54,25,11,14,-,-,-,-,-,-,439,266,173
6,13121,1312100102,足立区,足立区青井,２丁目,足立区青井２丁目,2,1100,個人,99,63,36,41,35,6,12,4,8,-,-,-,46,24,22,46,24,22,21,13,8,25,11,14,-,-,-,-,-,-,-,-,-,99,63,36
6,13121,1312100102,足立区,足立区青井,２丁目,足立区青井２丁目,3,1210,会社,295,180,115,-,-,-,-,-,-,78,50,28,217,130,87,192,119,73,141,105,36,51,14,37,25,11,14,-,-,-,-,-,-,295,180,115
6,13121,1312100102,足立区,足立区青井,２丁目,足立区青井２丁目,3,1220,会社以外の法人,45,23,22,-,-,-,-,-,-,7,3,4,38,20,18,38,20,18,35,20,15,3,-,3,-,-,-,-,-,-,-,-,-,45,23,22
6,13121,1312100102,足立区,足立区青井,２丁目,足立区青井２丁目,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13121,1312100103,足立区,足立区青井,３丁目,足立区青井３丁目,1,1000,民営,1045,602,443,63,47,16,19,2,17,92,60,32,871,493,378,844,479,365,462,360,102,382,119,263,27,14,13,-,-,-,11,5,6,1056,607,449
6,13121,1312100103,足立区,足立区青井,３丁目,足立区青井３丁目,2,1100,個人,160,78,82,63,47,16,19,2,17,-,-,-,78,29,49,71,25,46,29,11,18,42,14,28,7,4,3,-,-,-,-,-,-,160,78,82
6,13121,1312100103,足立区,足立区青井,３丁目,足立区青井３丁目,3,1210,会社,828,518,310,-,-,-,-,-,-,91,59,32,737,459,278,717,449,268,406,346,60,311,103,208,20,10,10,-,-,-,8,5,3,836,523,313
