単独・本所・支所の別階層,単独・本所・支所の別コード,単独・本所・支所の別,産業分類階層,大分類,中分類,産業分類名,従業者規模階層,従業者規模コード,従業者規模,民営事業所／総数／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／総数／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／個人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／個人／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／総数／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／総数／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／総数／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／総数／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／株式・有限・相互会社／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／合名・合資会社／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／合同会社／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／合同会社／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社／外国の会社／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社／外国の会社／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人／会社以外の法人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人／会社以外の法人／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）,民営事業所／法人でない団体／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模0人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模1～4人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模5～9人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模10～29人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模30～49人／事業所数（事業所）,民営事業所／法人でない団体／別経営の事業所からの出向・派遣従業者規模50人以上／事業所数（事業所）
0,0,総数,0,A-R,00,全産業（Ｓ公務を除く）,0,0,総数,653819,618508,23511,5074,4320,987,1419,181929,180874,921,108,23,2,1,469366,435471,22290,4933,4273,983,1416,431666,402295,19037,4296,3829,880,1329,426900,397753,18877,4264,3812,874,1320,1948,1930,13,2,-,1,2,1971,1890,50,14,9,3,5,847,722,97,16,8,2,2,37700,33176,3253,637,444,103,87,2524,2163,300,33,24,2,2
0,0,総数,0,A-R,00,全産業（Ｓ公務を除く）,1,1,1～4人,356584,350558,4973,591,372,44,46,154509,153899,558,46,5,1,-,200314,195037,4294,537,357,43,46,187609,182999,3729,470,333,35,43,184886,180319,3691,466,333,34,43,1302,1296,5,-,-,1,-,1081,1069,8,4,-,-,-,340,315,25,-,-,-,-,12705,12038,565,67,24,8,3,1761,1622,121,8,10,-,-
0,0,総数,0,A-R,00,全産業（Ｓ公務を除く）,1,2,5～9人,135099,130186,3981,591,267,36,38,21242,20990,219,31,2,-,-,113522,108904,3732,549,263,36,38,104927,100864,3284,478,234,31,36,104088,100051,3261,476,233,31,36,310,306,4,-,-,-,-,341,334,6,1,-,-,-,188,173,13,1,1,-,-,8595,8040,448,71,29,5,2,335,292,30,11,2,-,-
0,0,総数,0,A-R,00,全産業（Ｓ公務を除く）,1,3,10～29人,110881,101872,6831,1172,805,112,89,5869,5736,98,24,10,-,1,104775,95924,6719,1143,792,110,87,94865,87258,5724,995,715,93,80,94010,86453,5687,987,712,92,79,297,294,2,-,-,-,1,345,339,5,-,-,1,-,213,172,30,8,3,-,-,9910,8666,995,148,77,17,7,237,212,14,5,3,2,1
0,0,総数,0,A-R,00,全産業（Ｓ公務を除く）,1,4,30～49人,22208,18571,2299,647,503,115,73,215,194,15,2,3,1,-,21965,18353,2282,644,499,114,73,19465,16293,1965,577,452,109,69,19334,16185,1951,571,451,109,67,27,26,1,-,-,-,-,59,50,4,2,1,-,2,45,32,9,4,-,-,-,2500,2060,317,67,47,5,4,28,24,2,1,1,-,-
0,0,総数,0,A-R,00,全産業（Ｓ公務を除く）,1,5,50～99人,14293,10525,1831,839,768,152,178,47,35,8,2,2,-,-,14231,10478,1823,837,764,152,177,12338,9065,1576,716,677,136,168,12246,8991,1565,714,673,136,167,6,5,-,1,-,-,-,57,51,3,-,3,-,-,29,18,8,1,1,-,1,1893,1413,247,121,87,16,9,15,12,-,-,2,-,1
0,0,総数,0,A-R,00,全産業（Ｓ公務を除く）,1,6,100～299人,8531,5341,1071,603,917,275,324,23,17,3,2,1,-,-,8507,5323,1068,601,916,275,324,7368,4565,883,527,838,250,305,7302,4511,881,523,835,248,304,3,3,-,-,-,-,-,47,41,1,2,1,1,1,16,10,1,2,2,1,-,1139,758,185,74,78,25,19,1,1,-,-,-,-,-
0,0,総数,0,A-R,00,全産業（Ｓ公務を除く）,1,7,300人以上,3043,1455,206,188,389,191,614,4,3,1,-,-,-,-,3039,1452,205,188,389,191,614,2635,1251,165,154,324,166,575,2620,1243,164,154,323,164,572,1,-,-,-,-,-,1,11,6,1,-,1,1,2,3,2,-,-,-,1,-,404,201,40,34,65,25,39,-,-,-,-,-,-,-
0,0,総数,0,A-R,00,全産業（Ｓ公務を除く）,1,8,出向・派遣従業者のみ,3180,-,2319,443,299,62,57,20,-,19,1,-,-,-,3013,-,2167,434,293,62,57,2459,-,1711,379,256,60,53,2414,-,1677,373,252,60,52,2,-,1,1,-,-,-,30,-,22,5,3,-,-,13,-,11,-,1,-,1,554,-,456,55,37,2,4,147,-,133,8,6,-,-
0,0,総数,0,A-B,00,農林漁業（Ａ～Ｂ）,0,0,総数,504,476,22,3,1,2,-,-,-,-,-,-,-,-,503,475,22,3,1,2,-,468,445,18,3,1,1,-,467,444,18,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,35,30,4,-,-,1,-,1,1,-,-,-,-,-
0,0,総数,0,A-B,00,農林漁業（Ａ～Ｂ）,1,1,1～4人,232,224,7,1,-,-,-,-,-,-,-,-,-,-,231,223,7,1,-,-,-,214,206,7,1,-,-,-,213,205,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,17,17,-,-,-,-,-,1,1,-,-,-,-,-
0,0,総数,0,A-B,00,農林漁業（Ａ～Ｂ）,1,2,5～9人,156,149,7,-,-,-,-,-,-,-,-,-,-,-,156,149,7,-,-,-,-,148,143,5,-,-,-,-,148,143,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,2,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,0,A-B,00,農林漁業（Ａ～Ｂ）,1,3,10～29人,93,85,5,1,-,2,-,-,-,-,-,-,-,-,93,85,5,1,-,2,-,85,80,3,1,-,1,-,85,80,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,2,-,-,1,-,-,-,-,-,-,-,-
0,0,総数,0,A-B,00,農林漁業（Ａ～Ｂ）,1,4,30～49人,10,10,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,8,8,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,0,A-B,00,農林漁業（Ａ～Ｂ）,1,5,50～99人,7,6,-,-,1,-,-,-,-,-,-,-,-,-,7,6,-,-,1,-,-,7,6,-,-,1,-,-,7,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,0,A-B,00,農林漁業（Ａ～Ｂ）,1,6,100～299人,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,総数,0,A-B,00,農林漁業（Ａ～Ｂ）,1,7,300人以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
