産業分類階層,大分類,中分類,小分類,小分類の内訳,産業分類名称,資本金階級階層,資本金階級コード,資本金階級名称,総数（決算月）／会社企業数,総数（決算月）／企業事業所数（事業所）,1月決算／会社企業数,1月決算／企業事業所数（事業所）,2月決算／会社企業数,2月決算／企業事業所数（事業所）,3月決算／会社企業数,3月決算／企業事業所数（事業所）,4月決算／会社企業数,4月決算／企業事業所数（事業所）,5月決算／会社企業数,5月決算／企業事業所数（事業所）,6月決算／会社企業数,6月決算／企業事業所数（事業所）,7月決算／会社企業数,7月決算／企業事業所数（事業所）,8月決算／会社企業数,8月決算／企業事業所数（事業所）,9月決算／会社企業数,9月決算／企業事業所数（事業所）,10月決算／会社企業数,10月決算／企業事業所数（事業所）,11月決算／会社企業数,11月決算／企業事業所数（事業所）,12月決算／会社企業数,12月決算／企業事業所数（事業所）
0,A-R,00,000,000,全産業（Ｓ公務を除く）,0,00,総数（資本金階級）,272754,666948,8757,16077,17031,48682,51731,277003,16089,22489,19328,27967,22010,35302,18174,25431,21817,37238,27362,54286,10619,16046,7915,12041,25365,62189
0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,01,資本金300万円未満,14293,15820,573,652,900,1013,2263,2547,911,984,1144,1236,1292,1398,901,964,1096,1190,1424,1578,697,742,690,773,1603,1904
0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,02,資本金300万～500万円未満,81679,89428,2588,2864,6023,6678,11789,12820,6063,6527,7049,7708,7659,8485,6578,7126,7856,8759,8630,9481,4037,4421,2694,2986,7190,7840
0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,03,資本金500万～1000万円未満,24692,28563,807,901,1803,2036,3621,4399,1783,2109,2208,2511,2235,2623,2001,2260,2309,2703,2613,2974,1161,1301,877,1020,2216,2517
0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,04,資本金1000万～3000万円未満,99556,151432,3740,6030,6468,11475,19603,36653,6087,8122,7343,10152,8575,11565,7238,10333,8699,13369,11411,16632,3842,5351,2858,3629,9540,14066
0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,05,資本金3000万～5000万円未満,12110,37457,440,920,715,2875,3407,15443,580,1274,703,1460,962,2451,731,1605,881,3004,1268,3776,376,905,331,774,1367,3288
0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,06,資本金5000万～1億円未満,10887,55801,363,1735,541,4181,3898,24117,399,1359,521,2395,728,3516,445,1809,588,3534,1116,5673,282,1083,236,899,1482,5452
0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,07,資本金1億～3億円未満,5508,70798,125,1349,243,5033,2823,42710,133,1217,152,761,247,2678,94,816,152,1653,385,2780,96,457,99,398,853,11894
0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,08,資本金3億～10億円未満,3133,42270,32,863,110,3216,1878,26607,32,366,52,478,93,984,36,217,56,1221,182,1870,32,553,37,336,508,6454
0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,09,資本金10億～50億円未満,1699,46261,22,410,55,6313,1166,30426,10,124,19,631,26,1340,13,98,13,538,90,2740,13,726,19,827,240,4387
0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,10,資本金50億円以上,1265,93815,7,293,50,5720,968,80935,3,318,9,495,10,35,3,59,8,1038,52,6576,6,427,9,328,152,4108
0,A-R,00,000,000,全産業（Ｓ公務を除く）,9,91,（再掲）資本金1000万円以下,198719,246613,6833,8604,13911,18856,32257,45884,13670,15901,16235,18971,17967,21281,15333,18441,18271,23236,21597,26120,9004,10494,6502,7465,18254,22279
0,A-R,00,000,000,全産業（Ｓ公務を除く）,9,92,（再掲）資本金5000万円以下,236327,342284,8262,11744,16124,25800,42113,80095,15570,19582,18631,23836,21002,27555,17638,22956,21076,30343,25748,36677,10215,13205,7538,9395,22420,31608
0,A-R,00,000,000,全産業（Ｓ公務を除く）,9,93,（再掲）資本金1億円以下,246183,427047,8578,13751,16591,32091,46085,124495,15906,21378,19048,25904,21595,32029,17943,24411,21510,33665,26674,41929,10449,14107,7741,10293,23843,44312
