地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13308,1330800000,奥多摩町,,,奥多摩町,1,1000,民営,2036,1145,891,116,75,41,32,7,25,177,130,47,1711,933,778,1545,849,696,906,625,281,639,224,415,166,84,82,5,2,3,27,22,5,2058,1165,893
4,13308,1330800000,奥多摩町,,,奥多摩町,2,1100,個人,369,162,207,116,75,41,32,7,25,-,-,-,221,80,141,171,63,108,80,41,39,91,22,69,50,17,33,-,-,-,-,-,-,369,162,207
4,13308,1330800000,奥多摩町,,,奥多摩町,3,1210,会社,903,622,281,-,-,-,-,-,-,145,101,44,758,521,237,724,500,224,438,371,67,286,129,157,34,21,13,-,-,-,17,15,2,920,637,283
4,13308,1330800000,奥多摩町,,,奥多摩町,3,1220,会社以外の法人,712,337,375,-,-,-,-,-,-,29,26,3,683,311,372,601,265,336,378,203,175,223,62,161,82,46,36,5,2,3,10,7,3,717,342,375
4,13308,1330800000,奥多摩町,,,奥多摩町,2,1300,法人でない団体,52,24,28,-,-,-,-,-,-,3,3,-,49,21,28,49,21,28,10,10,-,39,11,28,-,-,-,-,-,-,-,-,-,52,24,28
5,13308,1330800203,奥多摩町,奥多摩町海澤,,奥多摩町海澤,1,1000,民営,225,128,97,2,1,1,2,-,2,6,5,1,215,122,93,204,118,86,139,84,55,65,34,31,11,4,7,-,-,-,-,-,-,225,128,97
5,13308,1330800203,奥多摩町,奥多摩町海澤,,奥多摩町海澤,2,1100,個人,5,2,3,2,1,1,2,-,2,-,-,-,1,1,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2,3
5,13308,1330800203,奥多摩町,奥多摩町海澤,,奥多摩町海澤,3,1210,会社,49,34,15,-,-,-,-,-,-,5,4,1,44,30,14,37,26,11,20,16,4,17,10,7,7,4,3,-,-,-,-,-,-,49,34,15
5,13308,1330800203,奥多摩町,奥多摩町海澤,,奥多摩町海澤,3,1220,会社以外の法人,171,92,79,-,-,-,-,-,-,1,1,-,170,91,79,166,91,75,118,67,51,48,24,24,4,-,4,-,-,-,-,-,-,171,92,79
5,13308,1330800203,奥多摩町,奥多摩町海澤,,奥多摩町海澤,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13308,1330800103,奥多摩町,奥多摩町梅澤,,奥多摩町梅澤,1,1000,民営,33,24,9,-,-,-,-,-,-,5,3,2,28,21,7,28,21,7,19,15,4,9,6,3,-,-,-,-,-,-,-,-,-,33,24,9
5,13308,1330800103,奥多摩町,奥多摩町梅澤,,奥多摩町梅澤,2,1100,個人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13308,1330800103,奥多摩町,奥多摩町梅澤,,奥多摩町梅澤,3,1210,会社,33,24,9,-,-,-,-,-,-,5,3,2,28,21,7,28,21,7,19,15,4,9,6,3,-,-,-,-,-,-,-,-,-,33,24,9
5,13308,1330800103,奥多摩町,奥多摩町梅澤,,奥多摩町梅澤,3,1220,会社以外の法人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13308,1330800103,奥多摩町,奥多摩町梅澤,,奥多摩町梅澤,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
