地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,資本金階級階層,資本金階級コード,資本金階級名称,A～R全産業（Ｓ公務を除く）／会社企業数,A～R全産業（Ｓ公務を除く）／企業従業者数（人）,A～B農林漁業／会社企業数,A～B農林漁業／企業従業者数（人）,A農業，林業／会社企業数,A農業，林業／企業従業者数（人）,B漁業／会社企業数,B漁業／企業従業者数（人）,C～R非農林漁業（Ｓ公務を除く）／会社企業数,C～R非農林漁業（Ｓ公務を除く）／企業従業者数（人）,C鉱業，採石業，砂利採取業／会社企業数,C鉱業，採石業，砂利採取業／企業従業者数（人）,D建設業／会社企業数,D建設業／企業従業者数（人）,E製造業／会社企業数,E製造業／企業従業者数（人）,F電気・ガス・熱供給・水道業／会社企業数,F電気・ガス・熱供給・水道業／企業従業者数（人）,G情報通信業／会社企業数,G情報通信業／企業従業者数（人）,H運輸業，郵便業／会社企業数,H運輸業，郵便業／企業従業者数（人）,I卸売業，小売業／会社企業数,I卸売業，小売業／企業従業者数（人）,J金融業，保険業／会社企業数,J金融業，保険業／企業従業者数（人）,K不動産業，物品賃貸業／会社企業数,K不動産業，物品賃貸業／企業従業者数（人）,L学術研究，専門・技術サービス業／会社企業数,L学術研究，専門・技術サービス業／企業従業者数（人）,M宿泊業，飲食サービス業／会社企業数,M宿泊業，飲食サービス業／企業従業者数（人）,N生活関連サービス業，娯楽業／会社企業数,N生活関連サービス業，娯楽業／企業従業者数（人）,O教育，学習支援業／会社企業数,O教育，学習支援業／企業従業者数（人）,P医療，福祉／会社企業数,P医療，福祉／企業従業者数（人）,Q複合サービス事業／会社企業数,Q複合サービス事業／企業従業者数（人）,Rサービス業（他に分類されないもの）／会社企業数,Rサービス業（他に分類されないもの）／企業従業者数（人）
4,13401,1340100000,八丈町,,,八丈町,0,00,総数（資本金階級）,127,1297,-,-,-,-,-,-,127,1297,-,-,33,454,13,94,-,-,1,6,8,65,38,365,1,2,4,80,3,7,12,76,5,64,2,7,4,49,-,-,3,28
4,13401,1340100000,八丈町,,,八丈町,1,01,資本金300万円未満,5,38,-,-,-,-,-,-,5,38,-,-,1,2,1,5,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,2,28,-,-,-,-
4,13401,1340100000,八丈町,,,八丈町,1,02,資本金300万～500万円未満,39,248,-,-,-,-,-,-,39,248,-,-,7,59,2,7,-,-,1,6,2,5,9,36,1,2,2,3,3,7,7,59,5,64,-,-,-,-,-,-,-,-
4,13401,1340100000,八丈町,,,八丈町,1,03,資本金500万～1000万円未満,27,237,-,-,-,-,-,-,27,237,-,-,7,70,5,40,-,-,-,-,2,18,7,73,-,-,-,-,-,-,3,11,-,-,-,-,2,21,-,-,1,4
4,13401,1340100000,八丈町,,,八丈町,1,04,資本金1000万～3000万円未満,49,602,-,-,-,-,-,-,49,602,-,-,14,237,5,42,-,-,-,-,4,42,21,248,-,-,-,-,-,-,1,2,-,-,2,7,-,-,-,-,2,24
4,13401,1340100000,八丈町,,,八丈町,1,05,資本金3000万～5000万円未満,3,84,-,-,-,-,-,-,3,84,-,-,2,76,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13401,1340100000,八丈町,,,八丈町,1,06,資本金5000万～1億円未満,1,4,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-
4,13401,1340100000,八丈町,,,八丈町,1,07,資本金1億～3億円未満,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13401,1340100000,八丈町,,,八丈町,1,08,資本金3億～10億円未満,1,74,-,-,-,-,-,-,1,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13401,1340100000,八丈町,,,八丈町,1,09,資本金10億～50億円未満,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
