産業分類階層,大分類,中分類,小分類,分類名,総数／総数／企業等数（企業等）,総数／総数／事業所数（事業所）,総数／総数／企業従業者数（人）,総数／単一事業所企業／企業等数（企業等）,総数／単一事業所企業／事業所数（事業所）,総数／単一事業所企業／企業従業者数（人）,総数／複数事業所企業／企業等数（企業等）,総数／複数事業所企業／事業所数（事業所）,総数／複数事業所企業／企業従業者数（人）,個人経営／総数／企業等数（企業等）,個人経営／総数／事業所数（事業所）,個人経営／総数／企業従業者数（人）,個人経営／単一事業所企業／企業等数（企業等）,個人経営／単一事業所企業／事業所数（事業所）,個人経営／単一事業所企業／企業従業者数（人）,個人経営／複数事業所企業／企業等数（企業等）,個人経営／複数事業所企業／事業所数（事業所）,個人経営／複数事業所企業／企業従業者数（人）,会社企業／総数／企業等数（企業等）,会社企業／総数／事業所数（事業所）,会社企業／総数／企業従業者数（人）,会社企業／単一事業所企業／企業等数（企業等）,会社企業／単一事業所企業／事業所数（事業所）,会社企業／単一事業所企業／企業従業者数（人）,会社企業／複数事業所企業／企業等数（企業等）,会社企業／複数事業所企業／事業所数（事業所）,会社企業／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／300万円未満／総数／企業等数（企業等）,会社企業／資本金階級／300万円未満／総数／事業所数（事業所）,会社企業／資本金階級／300万円未満／総数／企業従業者数（人）,会社企業／資本金階級／300万円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／300万円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／300万円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／300万円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／300万円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／300万円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／300万～500万円未満／総数／企業等数（企業等）,会社企業／資本金階級／300万～500万円未満／総数／事業所数（事業所）,会社企業／資本金階級／300万～500万円未満／総数／企業従業者数（人）,会社企業／資本金階級／300万～500万円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／300万～500万円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／300万～500万円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／300万～500万円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／300万～500万円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／300万～500万円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／500万～1000万円未満／総数／企業等数（企業等）,会社企業／資本金階級／500万～1000万円未満／総数／事業所数（事業所）,会社企業／資本金階級／500万～1000万円未満／総数／企業従業者数（人）,会社企業／資本金階級／500万～1000万円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／500万～1000万円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／500万～1000万円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／500万～1000万円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／500万～1000万円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／500万～1000万円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／1000万～3000万円未満／総数／企業等数（企業等）,会社企業／資本金階級／1000万～3000万円未満／総数／事業所数（事業所）,会社企業／資本金階級／1000万～3000万円未満／総数／企業従業者数（人）,会社企業／資本金階級／1000万～3000万円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／1000万～3000万円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／1000万～3000万円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／1000万～3000万円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／1000万～3000万円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／1000万～3000万円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／3000万～5000万円未満／総数／企業等数（企業等）,会社企業／資本金階級／3000万～5000万円未満／総数／事業所数（事業所）,会社企業／資本金階級／3000万～5000万円未満／総数／企業従業者数（人）,会社企業／資本金階級／3000万～5000万円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／3000万～5000万円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／3000万～5000万円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／3000万～5000万円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／3000万～5000万円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／3000万～5000万円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／5000万～1億円未満／総数／企業等数（企業等）,会社企業／資本金階級／5000万～1億円未満／総数／事業所数（事業所）,会社企業／資本金階級／5000万～1億円未満／総数／企業従業者数（人）,会社企業／資本金階級／5000万～1億円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／5000万～1億円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／5000万～1億円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／5000万～1億円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／5000万～1億円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／5000万～1億円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／1億～3億円未満／総数／企業等数（企業等）,会社企業／資本金階級／1億～3億円未満／総数／事業所数（事業所）,会社企業／資本金階級／1億～3億円未満／総数／企業従業者数（人）,会社企業／資本金階級／1億～3億円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／1億～3億円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／1億～3億円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／1億～3億円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／1億～3億円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／1億～3億円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／3億～10億円未満／総数／企業等数（企業等）,会社企業／資本金階級／3億～10億円未満／総数／事業所数（事業所）,会社企業／資本金階級／3億～10億円未満／総数／企業従業者数（人）,会社企業／資本金階級／3億～10億円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／3億～10億円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／3億～10億円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／3億～10億円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／3億～10億円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／3億～10億円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／10億～50億円未満／総数／企業等数（企業等）,会社企業／資本金階級／10億～50億円未満／総数／事業所数（事業所）,会社企業／資本金階級／10億～50億円未満／総数／企業従業者数（人）,会社企業／資本金階級／10億～50億円未満／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／10億～50億円未満／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／10億～50億円未満／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／10億～50億円未満／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／10億～50億円未満／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／10億～50億円未満／複数事業所企業／企業従業者数（人）,会社企業／資本金階級／50億円以上／総数／企業等数（企業等）,会社企業／資本金階級／50億円以上／総数／事業所数（事業所）,会社企業／資本金階級／50億円以上／総数／企業従業者数（人）,会社企業／資本金階級／50億円以上／単一事業所企業／企業等数（企業等）,会社企業／資本金階級／50億円以上／単一事業所企業／事業所数（事業所）,会社企業／資本金階級／50億円以上／単一事業所企業／企業従業者数（人）,会社企業／資本金階級／50億円以上／複数事業所企業／企業等数（企業等）,会社企業／資本金階級／50億円以上／複数事業所企業／事業所数（事業所）,会社企業／資本金階級／50億円以上／複数事業所企業／企業従業者数（人）,会社以外の法人／総数／企業等数（企業等）,会社以外の法人／総数／事業所数（事業所）,会社以外の法人／総数／企業従業者数（人）,会社以外の法人／単一事業所企業／企業等数（企業等）,会社以外の法人／単一事業所企業／事業所数（事業所）,会社以外の法人／単一事業所企業／企業従業者数（人）,会社以外の法人／複数事業所企業／企業等数（企業等）,会社以外の法人／複数事業所企業／事業所数（事業所）,会社以外の法人／複数事業所企業／企業従業者数（人）
0,A-R,00,000,全産業（Ｓ公務を除く）,477077,888843,14882439,415606,415606,2538001,61471,473237,12344438,179867,181718,531108,177958,177958,512526,1909,3760,18582,272754,656381,12861640,217921,217921,1760855,54833,438460,11100785,14293,15799,92786,13216,13216,65719,1077,2583,27067,81679,89313,465828,76153,76153,359695,5526,13160,106133,24692,28466,189154,22344,22344,128268,2348,6122,60886,99556,150527,1758650,82662,82662,757884,16894,67865,1000766,12110,37052,678602,7336,7336,134331,4774,29716,544271,10887,55071,1186414,5079,5079,119872,5808,49992,1066542,5508,70311,1633430,2003,2003,69884,3505,68308,1563546,3133,41225,1160634,895,895,37643,2238,40330,1122991,1699,44964,1176869,348,348,23441,1351,44616,1153428,1265,89823,4153077,191,191,23524,1074,89632,4129553,24456,50744,1489691,19727,19727,264620,4729,31017,1225071
0,A-B,00,000,農林漁業（Ａ～Ｂ）,456,680,7037,383,383,2579,73,297,4458,-,-,-,-,-,-,-,-,-,424,590,6242,361,361,2458,63,229,3784,30,32,146,28,28,117,2,4,29,159,163,1059,155,155,950,4,8,109,57,59,378,55,55,355,2,4,23,112,130,1168,97,97,862,15,33,306,12,12,146,9,9,89,3,3,57,16,73,1101,4,4,23,12,69,1078,9,38,575,4,4,28,5,34,547,4,26,483,-,-,-,4,26,483,2,17,946,1,1,8,1,16,938,-,-,-,-,-,-,-,-,-,32,90,795,22,22,121,10,68,674
1,A,00,000,農業，林業,440,659,6891,371,371,2486,69,288,4405,-,-,-,-,-,-,-,-,-,410,571,6113,351,351,2382,59,220,3731,30,32,146,28,28,117,2,4,29,156,160,1038,152,152,929,4,8,109,56,58,362,54,54,339,2,4,23,108,126,1144,93,93,838,15,33,306,12,12,146,9,9,89,3,3,57,15,72,1097,3,3,19,12,69,1078,8,37,564,3,3,17,5,34,547,4,26,483,-,-,-,4,26,483,2,17,946,1,1,8,1,16,938,-,-,-,-,-,-,-,-,-,30,88,778,20,20,104,10,68,674
2,A,01,000,農業,408,586,6365,352,352,2384,56,234,3981,-,-,-,-,-,-,-,-,-,388,533,5853,339,339,2307,49,194,3546,27,29,124,25,25,95,2,4,29,152,156,1015,148,148,906,4,8,109,55,56,352,54,54,339,1,2,13,101,116,1097,89,89,813,12,27,284,12,12,146,9,9,89,3,3,57,12,60,968,3,3,19,9,57,949,8,37,564,3,3,17,5,34,547,4,26,483,-,-,-,4,26,483,2,17,946,1,1,8,1,16,938,-,-,-,-,-,-,-,-,-,20,53,512,13,13,77,7,40,435
3,A,01,011,耕種農業,63,81,721,45,45,280,18,36,441,-,-,-,-,-,-,-,-,-,57,73,674,40,40,251,17,33,423,9,11,45,7,7,16,2,4,29,13,15,193,11,11,102,2,4,91,8,8,61,8,8,61,-,-,-,14,17,134,10,10,41,4,7,93,1,1,17,-,-,-,1,1,17,5,8,61,2,2,15,3,6,46,3,5,107,2,2,16,1,3,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,8,47,5,5,29,1,3,18
3,A,01,012,畜産農業,32,124,2279,13,13,40,19,111,2239,-,-,-,-,-,-,-,-,-,29,120,2252,12,12,37,17,108,2215,-,-,-,-,-,-,-,-,-,4,4,16,4,4,16,-,-,-,3,4,19,2,2,6,1,2,13,5,7,19,4,4,8,1,3,11,1,1,6,1,1,6,-,-,-,4,26,279,-,-,-,4,26,279,5,32,457,1,1,1,4,31,456,4,26,483,-,-,-,4,26,483,1,16,938,-,-,-,1,16,938,-,-,-,-,-,-,-,-,-,3,4,27,1,1,3,2,3,24
3,A,01,013,農業サービス業（園芸サービス業を除く）,16,49,702,11,11,68,5,38,634,-,-,-,-,-,-,-,-,-,11,14,279,9,9,36,2,5,243,2,2,9,2,2,9,-,-,-,5,6,18,4,4,13,1,2,5,-,-,-,-,-,-,-,-,-,1,1,9,1,1,9,-,-,-,1,1,2,1,1,2,-,-,-,1,3,238,-,-,-,1,3,238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,35,423,2,2,32,3,33,391
3,A,01,014,園芸サービス業,297,332,2663,283,283,1996,14,49,667,-,-,-,-,-,-,-,-,-,291,326,2648,278,278,1983,13,48,665,16,16,70,16,16,70,-,-,-,130,131,788,129,129,775,1,2,13,44,44,272,44,44,272,-,-,-,81,91,935,74,74,755,7,17,180,9,9,121,7,7,81,2,2,40,2,23,390,1,1,4,1,22,386,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,8,1,1,8,-,-,-,-,-,-,-,-,-,-,-,-,6,6,15,5,5,13,1,1,2
2,A,02,000,林業,32,73,526,19,19,102,13,54,424,-,-,-,-,-,-,-,-,-,22,38,260,12,12,75,10,26,185,3,3,22,3,3,22,-,-,-,4,4,23,4,4,23,-,-,-,1,2,10,-,-,-,1,2,10,7,10,47,4,4,25,3,6,22,-,-,-,-,-,-,-,-,-,3,12,129,-,-,-,3,12,129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,35,266,7,7,27,3,28,239
3,A,02,021,育林業,8,14,50,2,2,9,6,12,41,-,-,-,-,-,-,-,-,-,8,14,50,2,2,9,6,12,41,-,-,-,-,-,-,-,-,-,1,1,6,1,1,6,-,-,-,-,-,-,-,-,-,-,-,-,4,7,25,1,1,3,3,6,22,-,-,-,-,-,-,-,-,-,1,2,5,-,-,-,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,022,素材生産業,2,3,15,1,1,5,1,2,10,-,-,-,-,-,-,-,-,-,2,3,15,1,1,5,1,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,5,1,1,5,-,-,-,-,-,-,-,-,-,-,-,-,1,2,10,-,-,-,1,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,023,特用林産物生産業（きのこ類の栽培を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,024,林業サービス業,20,54,447,15,15,76,5,39,371,-,-,-,-,-,-,-,-,-,11,20,183,8,8,49,3,12,134,3,3,22,3,3,22,-,-,-,3,3,17,3,3,17,-,-,-,1,2,10,-,-,-,1,2,10,1,1,5,1,1,5,-,-,-,-,-,-,-,-,-,-,-,-,1,8,114,-,-,-,1,8,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,34,264,7,7,27,2,27,237
3,A,02,029,その他の林業,2,2,14,1,1,12,1,1,2,-,-,-,-,-,-,-,-,-,1,1,12,1,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,12,1,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-,1,1,2
