地域階層,地域コード,地域名,資本金階級階層,資本金階級コード,資本金階級名称,A～R全産業（Ｓ公務を除く）／会社企業（企業）,A～R全産業（Ｓ公務を除く）／会社企業のうち持株会社（会社）,A～R全産業（Ｓ公務を除く）／会社企業のうち持株会社／純粋持株会社（会社）,A～R全産業（Ｓ公務を除く）／会社企業のうち持株会社／事業持株会社（会社）,A～B農林漁業／会社企業（企業）,A～B農林漁業／会社企業のうち持株会社（会社）,A～B農林漁業／会社企業のうち持株会社／純粋持株会社（会社）,A～B農林漁業／会社企業のうち持株会社／事業持株会社（会社）,A農業，林業／会社企業（企業）,A農業，林業／会社企業のうち持株会社（会社）,A農業，林業／会社企業のうち持株会社／純粋持株会社（会社）,A農業，林業／会社企業のうち持株会社／事業持株会社（会社）,B漁業／会社企業（企業）,B漁業／会社企業のうち持株会社（会社）,B漁業／会社企業のうち持株会社／純粋持株会社（会社）,B漁業／会社企業のうち持株会社／事業持株会社（会社）,C～R非農林漁業（Ｓ公務を除く）業／会社企業（企業）,C～R非農林漁業（Ｓ公務を除く）／会社企業のうち持株会社（会社）,C～R非農林漁業（Ｓ公務を除く）／会社企業のうち持株会社／純粋持株会社（会社）,C～R非農林漁業（Ｓ公務を除く）／会社企業のうち持株会社／事業持株会社（会社）,C鉱業，採石業，砂利採取業／会社企業（企業）,C鉱業，採石業，砂利採取業／会社企業のうち持株会社（会社）,C鉱業，採石業，砂利採取業／会社企業のうち持株会社／純粋持株会社（会社）,C鉱業，採石業，砂利採取業／会社企業のうち持株会社／事業持株会社（会社）,D建設業／会社企業（企業）,D建設業／会社企業のうち持株会社（会社）,D建設業／会社企業のうち持株会社／純粋持株会社（会社）,D建設業／会社企業のうち持株会社／事業持株会社（会社）,E製造業／会社企業（企業）,E製造業／会社企業のうち持株会社（会社）,E製造業／会社企業のうち持株会社／純粋持株会社（会社）,E製造業／会社企業のうち持株会社／事業持株会社（会社）,F電気・ガス・熱供給・水道業／会社企業（企業）,F電気・ガス・熱供給・水道業／会社企業のうち持株会社（会社）,F電気・ガス・熱供給・水道業／会社企業のうち持株会社／純粋持株会社（会社）,F電気・ガス・熱供給・水道業／会社企業のうち持株会社／事業持株会社（会社）,G情報通信業／会社企業（企業）,G情報通信業／会社企業のうち持株会社（会社）,G情報通信業／会社企業のうち持株会社／純粋持株会社（会社）,G情報通信業／会社企業のうち持株会社／事業持株会社（会社）,H運輸業，郵便業／会社企業（企業）,H運輸業，郵便業／会社企業のうち持株会社（会社）,H運輸業，郵便業／会社企業のうち持株会社／純粋持株会社（会社）,H運輸業，郵便業／会社企業のうち持株会社／事業持株会社（会社）,I卸売業，小売業／会社企業（企業）,I卸売業，小売業／会社企業のうち持株会社（会社）,I卸売業，小売業／会社企業のうち持株会社／純粋持株会社（会社）,I卸売業，小売業／会社企業のうち持株会社／事業持株会社（会社）,J金融業，保険業／会社企業（企業）,J金融業，保険業／会社企業のうち持株会社（会社）,J金融業，保険業／会社企業のうち持株会社／純粋持株会社（会社）,J金融業，保険業）／会社企業のうち持株会社／事業持株会社（会社）,K不動産業，物品賃貸業／会社企業（企業）,K不動産業，物品賃貸業／会社企業のうち持株会社（会社）,K不動産業，物品賃貸業／会社企業のうち持株会社／純粋持株会社（会社）,K不動産業，物品賃貸業／会社企業のうち持株会社／事業持株会社（会社）,L学術研究，専門・技術サービス業／会社企業（企業）,L学術研究，専門・技術サービス業／会社企業のうち持株会社（会社）,L学術研究，専門・技術サービス業／会社企業のうち持株会社／純粋持株会社（会社）,L学術研究，専門・技術サービス業／会社企業のうち持株会社／事業持株会社（会社）,M宿泊業，飲食サービス業／会社企業（企業）,M宿泊業，飲食サービス業／会社企業のうち持株会社（会社）,M宿泊業，飲食サービス業／会社企業のうち持株会社／純粋持株会社（会社）,M宿泊業，飲食サービス業／会社企業のうち持株会社／事業持株会社（会社）,N生活関連サービス業，娯楽業／会社企業（企業）,N生活関連サービス業，娯楽業／会社企業のうち持株会社（会社）,N生活関連サービス業，娯楽業／会社企業のうち持株会社／純粋持株会社（会社）,N生活関連サービス業，娯楽業／会社企業のうち持株会社／事業持株会社（会社）,O教育，学習支援業／会社企業（企業）,O教育，学習支援業／会社企業のうち持株会社（会社）,O教育，学習支援業／会社企業のうち持株会社／純粋持株会社（会社）,O教育，学習支援業／会社企業のうち持株会社／事業持株会社（会社）,P医療，福祉／会社企業（企業）,P医療，福祉／会社企業のうち持株会社（会社）,P医療，福祉／会社企業のうち持株会社／純粋持株会社（会社）,P医療，福祉／会社企業のうち持株会社／事業持株会社（会社）,Q複合サービス事業／会社企業（企業）,Q複合サービス事業／会社企業のうち持株会社（会社）,Q複合サービス事業／会社企業のうち持株会社／純粋持株会社（会社）,Q複合サービス事業／会社企業のうち持株会社／事業持株会社（会社）,Rサービス業（他に分類されないもの）／会社企業（企業）,Rサービス業（他に分類されないもの）／会社企業のうち持株会社（会社）,Rサービス業（他に分類されないもの）／会社企業のうち持株会社／純粋持株会社（会社）,Rサービス業（他に分類されないもの）／会社企業のうち持株会社／事業持株会社（会社）
0,13000,東京都,0,00,総数,272754,2729,348,2381,424,2,-,2,410,2,-,2,14,-,-,-,272330,2727,348,2379,92,5,-,5,30557,115,-,115,35686,454,-,454,129,5,-,5,17822,281,-,281,5698,104,-,104,68187,611,-,611,4262,50,-,50,33288,235,-,235,20946,571,348,223,20476,55,-,55,12769,70,-,70,3658,21,-,21,4900,15,-,15,6,-,-,-,13854,135,-,135
0,13000,東京都,1,01,300万円未満,14293,51,16,35,30,-,-,-,30,-,-,-,-,-,-,-,14263,51,16,35,1,-,-,-,1009,2,-,2,855,2,-,2,6,-,-,-,1314,3,-,3,119,-,-,-,3098,5,-,5,290,2,-,2,1536,6,-,6,1831,21,16,5,1532,1,-,1,931,2,-,2,353,1,-,1,697,3,-,3,-,-,-,-,691,3,-,3
0,13000,東京都,1,02,300万～500万円未満,81679,71,4,67,159,-,-,-,156,-,-,-,3,-,-,-,81520,71,4,67,4,-,-,-,10450,3,-,3,10960,7,-,7,2,-,-,-,3321,7,-,7,954,1,-,1,19633,18,-,18,1092,-,-,-,10525,12,-,12,6043,13,4,9,7631,4,-,4,4479,2,-,2,1069,-,-,-,1697,-,-,-,2,-,-,-,3658,4,-,4
0,13000,東京都,1,03,500万～1000万円未満,24692,74,13,61,57,-,-,-,56,-,-,-,1,-,-,-,24635,74,13,61,1,-,-,-,3209,4,-,4,3108,8,-,8,3,-,-,-,1226,10,-,10,575,2,-,2,6062,5,-,5,266,2,-,2,2927,3,-,3,1614,22,13,9,2448,4,-,4,1244,4,-,4,343,2,-,2,574,2,-,2,1,-,-,-,1034,6,-,6
0,13000,東京都,1,04,1000万～3000万円未満,99556,690,48,642,112,-,-,-,108,-,-,-,4,-,-,-,99444,690,48,642,22,1,-,1,11866,28,-,28,14182,115,-,115,19,-,-,-,7455,71,-,71,2450,19,-,19,26459,177,-,177,1146,11,-,11,13236,62,-,62,8101,103,48,55,3947,18,-,18,3214,28,-,28,1047,6,-,6,815,-,-,-,2,-,-,-,5483,51,-,51
0,13000,東京都,1,05,3000万～5000万円未満,12110,310,5,305,12,-,-,-,12,-,-,-,-,-,-,-,12098,310,5,305,2,1,-,1,1444,14,-,14,1764,55,-,55,7,-,-,-,1129,47,-,47,396,10,-,10,3209,88,-,88,162,2,-,2,1445,28,-,28,751,34,5,29,427,5,-,5,379,4,-,4,113,1,-,1,103,3,-,3,-,-,-,-,767,18,-,18
0,13000,東京都,1,06,5000万～1億円未満,10887,424,34,390,16,-,-,-,15,-,-,-,1,-,-,-,10871,424,34,390,4,-,-,-,924,20,-,20,1551,68,-,68,10,-,-,-,1087,41,-,41,426,16,-,16,2914,113,-,113,249,8,-,8,1318,45,-,45,709,66,34,32,323,7,-,7,415,10,-,10,104,3,-,3,99,3,-,3,-,-,-,-,738,24,-,24
0,13000,東京都,1,07,1億～3億円未満,5508,335,38,297,9,1,-,1,8,1,-,1,1,-,-,-,5499,334,38,296,8,-,-,-,317,16,-,16,758,53,-,53,27,-,-,-,732,40,-,40,214,22,-,22,1327,64,-,64,251,8,-,8,608,36,-,36,396,59,38,21,176,8,-,8,191,10,-,10,57,1,-,1,55,2,-,2,-,-,-,-,382,15,-,15
0,13000,東京都,1,08,3億～10億円未満,3133,270,51,219,4,-,-,-,4,-,-,-,-,-,-,-,3129,270,51,219,6,-,-,-,144,12,-,12,487,41,-,41,27,2,-,2,465,32,-,32,119,17,-,17,848,67,-,67,262,3,-,3,228,15,-,15,220,66,51,15,61,-,-,-,56,-,-,-,20,5,-,5,22,1,-,1,-,-,-,-,164,9,-,9
0,13000,東京都,1,09,10億～50億円未満,1699,227,51,176,2,1,-,1,2,1,-,1,-,-,-,-,1697,226,51,175,18,-,-,-,80,10,-,10,392,47,-,47,8,-,-,-,191,16,-,16,74,12,-,12,351,37,-,37,161,4,-,4,152,19,-,19,128,69,51,18,42,3,-,3,39,6,-,6,8,1,-,1,7,-,-,-,-,-,-,-,46,2,-,2
0,13000,東京都,1,10,50億円以上,1265,259,80,179,-,-,-,-,-,-,-,-,-,-,-,-,1265,259,80,179,24,3,-,3,60,6,-,6,395,58,-,58,10,3,-,3,86,14,-,14,43,5,-,5,171,32,-,32,195,9,-,9,63,9,-,9,153,109,80,29,17,4,-,4,16,4,-,4,-,-,-,-,5,-,-,-,1,-,-,-,26,3,-,3
0,13000,東京都,9,91,（再掲）1000万円以下,198719,588,70,518,332,-,-,-,325,-,-,-,7,-,-,-,198387,588,70,518,25,-,-,-,23837,22,-,22,26056,73,-,73,24,-,-,-,11378,59,-,59,3229,9,-,9,49619,132,-,132,2551,12,-,12,25770,58,-,58,16060,125,70,55,14874,19,-,19,9183,26,-,26,2605,7,-,7,3605,5,-,5,5,-,-,-,9566,41,-,41
0,13000,東京都,9,92,（再掲）5000万円以下,236327,1324,96,1228,376,-,-,-,367,-,-,-,9,-,-,-,235951,1324,96,1228,30,2,-,2,28408,58,-,58,31347,199,-,199,41,-,-,-,14802,147,-,147,4659,37,-,37,59478,324,-,324,3057,22,-,22,30132,128,-,128,18619,216,96,120,16114,34,-,34,10391,43,-,43,2954,10,-,10,3923,9,-,9,5,-,-,-,11991,95,-,95
