地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13382,1338200000,御蔵島村,,,御蔵島村,1,1000,民営,156,102,54,19,14,5,7,2,5,22,22,-,108,64,44,96,63,33,56,42,14,40,21,19,12,1,11,-,-,-,-,-,-,156,102,54
4,13382,1338200000,御蔵島村,,,御蔵島村,2,1100,個人,66,25,41,19,14,5,7,2,5,-,-,-,40,9,31,30,9,21,9,1,8,21,8,13,10,-,10,-,-,-,-,-,-,66,25,41
4,13382,1338200000,御蔵島村,,,御蔵島村,3,1210,会社,65,54,11,-,-,-,-,-,-,8,8,-,57,46,11,56,46,10,39,33,6,17,13,4,1,-,1,-,-,-,-,-,-,65,54,11
4,13382,1338200000,御蔵島村,,,御蔵島村,3,1220,会社以外の法人,20,20,-,-,-,-,-,-,-,14,14,-,6,6,-,5,5,-,5,5,-,-,-,-,1,1,-,-,-,-,-,-,-,20,20,-
4,13382,1338200000,御蔵島村,,,御蔵島村,2,1300,法人でない団体,5,3,2,-,-,-,-,-,-,-,-,-,5,3,2,5,3,2,3,3,-,2,-,2,-,-,-,-,-,-,-,-,-,5,3,2
5,13382,1338299999,御蔵島村,御蔵島村その他,,御蔵島村その他,1,1000,民営,156,102,54,19,14,5,7,2,5,22,22,-,108,64,44,96,63,33,56,42,14,40,21,19,12,1,11,-,-,-,-,-,-,156,102,54
5,13382,1338299999,御蔵島村,御蔵島村その他,,御蔵島村その他,2,1100,個人,66,25,41,19,14,5,7,2,5,-,-,-,40,9,31,30,9,21,9,1,8,21,8,13,10,-,10,-,-,-,-,-,-,66,25,41
5,13382,1338299999,御蔵島村,御蔵島村その他,,御蔵島村その他,3,1210,会社,65,54,11,-,-,-,-,-,-,8,8,-,57,46,11,56,46,10,39,33,6,17,13,4,1,-,1,-,-,-,-,-,-,65,54,11
5,13382,1338299999,御蔵島村,御蔵島村その他,,御蔵島村その他,3,1220,会社以外の法人,20,20,-,-,-,-,-,-,-,14,14,-,6,6,-,5,5,-,5,5,-,-,-,-,1,1,-,-,-,-,-,-,-,20,20,-
5,13382,1338299999,御蔵島村,御蔵島村その他,,御蔵島村その他,2,1300,法人でない団体,5,3,2,-,-,-,-,-,-,-,-,-,5,3,2,5,3,2,3,3,-,2,-,2,-,-,-,-,-,-,-,-,-,5,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成26年経済センサス-基礎調査報告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第24表　区市町村、町丁目、経営組織（4区分）、従業上の地位（6区分）、男女別従業者数、出向・派遣従業者数及び事業従事者数-民営-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）従業者数等の人数には、男女別が不詳の者が含まれるため、男性と女性の合計が総数に一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（4:区市町村　5:町・大字　6:丁目・字）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
経営組織階層（1:民営　2:個人・法人でない団体　3:会社・会社以外の法人）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
