地域階層,地域コード,東京都26町丁目コード,区市町村名称,町・大字名,丁目・字,地域名称,経営組織階層,経営組織コード,経営組織名称,従業者数（人）,従業者数／男（人）,従業者数／女（人）,従業者数／個人業主（人）,従業者数／個人業主／男（人）,従業者数／個人業主／女（人）,従業者数／無給の家族従業者（人）,従業者数／無給の家族従業者／男（人）,従業者数／無給の家族従業者／女（人）,従業者数／有給役員（人）,従業者数／有給役員／男（人）,従業者数／有給役員／女（人）,従業者数／雇用者（人）,従業者数／雇用者／男（人）,従業者数／雇用者／女（人）,従業者数／雇用者／常用雇用者（人）,従業者数／雇用者／常用雇用者／男（人）,従業者数／雇用者／常用雇用者／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員（人）,従業者数／雇用者／常用雇用者／正社員・正職員／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員／女（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／男（人）,従業者数／雇用者／常用雇用者／正社員・正職員以外／女（人）,従業者数／雇用者／臨時雇用者（人）,従業者数／雇用者／臨時雇用者／男（人）,従業者数／雇用者／臨時雇用者／女（人）,従業者数／（再掲）他への出向・派遣従業者（人）,従業者数／（再掲）他への出向・派遣従業者／男（人）,従業者数／（再掲）他への出向・派遣従業者／女（人）,他からの出向・派遣従業者（人）,他からの出向・派遣従業者／男（人）,他からの出向・派遣従業者／女（人）,事業従事者数（人）,事業従事者数／男（人）,事業従事者数／女（人）
4,13228,1322800000,あきる野市,,,あきる野市,1,1000,民営,22117,12049,10068,993,782,211,229,55,174,1677,1212,465,19218,10000,9218,18082,9440,8642,9792,6616,3176,8290,2824,5466,1136,560,576,57,41,16,217,142,75,22277,12150,10127
4,13228,1322800000,あきる野市,,,あきる野市,2,1100,個人,3098,1468,1630,993,782,211,229,55,174,-,-,-,1876,631,1245,1710,556,1154,804,306,498,906,250,656,166,75,91,29,21,8,14,3,11,3083,1450,1633
4,13228,1322800000,あきる野市,,,あきる野市,3,1210,会社,14917,9228,5689,-,-,-,-,-,-,1573,1134,439,13344,8094,5250,12510,7660,4850,6638,5427,1211,5872,2233,3639,834,434,400,26,18,8,154,124,30,15045,9334,5711
4,13228,1322800000,あきる野市,,,あきる野市,3,1220,会社以外の法人,4076,1336,2740,-,-,-,-,-,-,104,78,26,3972,1258,2714,3842,1212,2630,2341,876,1465,1501,336,1165,130,46,84,2,2,-,49,15,34,4123,1349,2774
4,13228,1322800000,あきる野市,,,あきる野市,2,1300,法人でない団体,26,17,9,-,-,-,-,-,-,-,-,-,26,17,9,20,12,8,9,7,2,11,5,6,6,5,1,-,-,-,-,-,-,26,17,9
5,13228,1322802000,あきる野市,あきる野市秋川,,あきる野市秋川,1,1000,民営,3777,1747,2030,93,69,24,23,12,11,150,113,37,3511,1553,1958,3308,1473,1835,1460,845,615,1848,628,1220,203,80,123,5,2,3,35,27,8,3807,1772,2035
5,13228,1322802000,あきる野市,あきる野市秋川,,あきる野市秋川,2,1100,個人,402,163,239,93,69,24,23,12,11,-,-,-,286,82,204,258,78,180,110,41,69,148,37,111,28,4,24,-,-,-,-,-,-,402,163,239
5,13228,1322802000,あきる野市,あきる野市秋川,,あきる野市秋川,3,1210,会社,2704,1386,1318,-,-,-,-,-,-,143,109,34,2561,1277,1284,2403,1202,1201,882,648,234,1521,554,967,158,75,83,5,2,3,29,26,3,2728,1410,1318
5,13228,1322802000,あきる野市,あきる野市秋川,,あきる野市秋川,3,1220,会社以外の法人,671,198,473,-,-,-,-,-,-,7,4,3,664,194,470,647,193,454,468,156,312,179,37,142,17,1,16,-,-,-,6,1,5,677,199,478
5,13228,1322802000,あきる野市,あきる野市秋川,,あきる野市秋川,2,1300,法人でない団体,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
