地域階層,地域コード,地域名,産業分類階層,大分類,中分類,小分類,小分類の内訳,産業分類名称,企業常用雇用者規模階層,企業常用雇用者規模コード,企業常用雇用者規模名称,総数（経営組織）／企業等数,総数（経営組織）／企業事業所数（事業所）,総数（経営組織）／企業従業者数（人）,総数（経営組織）／企業従業者数のうち常用労働者数（人）,個人／企業等数,個人／企業事業所数（事業所）,個人／企業従業者数（人）,個人／企業従業者数のうち常用労働者数（人）,会社企業／総数（資本金階級）／企業等数,会社企業／総数（資本金階級）／企業事業所数（事業所）,会社企業／総数（資本金階級）／企業従業者数（人）,会社企業／総数（資本金階級）／企業従業者数のうち常用労働者数（人）,会社企業／資本金300万円未満／企業等数,会社企業／資本金300万円未満／企業事業所数（事業所）,会社企業／資本金300万円未満／企業従業者数（人）,会社企業／資本金300万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金300万～500万円未満／企業等数,会社企業／資本金300万～500万円未満／企業事業所数（事業所）,会社企業／資本金300万～500万円未満／企業従業者数（人）,会社企業／資本金300万～500万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金500万～1000万円未満／企業等数,会社企業／資本金500万～1000万円未満／企業事業所数（事業所）,会社企業／資本金500万～1000万円未満／企業従業者数（人）,会社企業／資本金500万～1000万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金1000万～3000万円未満／企業等数,会社企業／資本金1000万～3000万円未満／企業事業所数（事業所）,会社企業／資本金1000万～3000万円未満／企業従業者数（人）,会社企業／資本金1000万～3000万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金3000万～5000万円未満／企業等数,会社企業／資本金3000万～5000万円未満／企業事業所数（事業所）,会社企業／資本金3000万～5000万円未満／企業従業者数（人）,会社企業／資本金3000万～5000万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金5000万～1億円未満／企業等数,会社企業／資本金5000万～1億円未満／企業事業所数（事業所）,会社企業／資本金5000万～1億円未満／企業従業者数（人）,会社企業／資本金5000万～1億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金1億～3億円未満／企業等数,会社企業／資本金1億～3億円未満／企業事業所数（事業所）,会社企業／資本金1億～3億円未満／企業従業者数（人）,会社企業／資本金1億～3億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金3億～10億円未満／企業等数,会社企業／資本金3億～10億円未満／企業事業所数（事業所）,会社企業／資本金3億～10億円未満／企業従業者数（人）,会社企業／資本金3億～10億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金10億～50億円未満／企業等数,会社企業／資本金10億～50億円未満／企業事業所数（事業所）,会社企業／資本金10億～50億円未満／企業従業者数（人）,会社企業／資本金10億～50億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金50億円以上／企業等数,会社企業／資本金50億円以上／企業事業所数（事業所）,会社企業／資本金50億円以上／企業従業者数（人）,会社企業／資本金50億円以上／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金1000万円以下／企業等数,会社企業／（再掲）資本金1000万円以下／企業事業所数（事業所）,会社企業／（再掲）資本金1000万円以下／企業従業者数（人）,会社企業／（再掲）資本金1000万円以下／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金5000万円以下／企業等数,会社企業／（再掲）資本金5000万円以下／企業事業所数（事業所）,会社企業／（再掲）資本金5000万円以下／企業従業者数（人）,会社企業／（再掲）資本金5000万円以下／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金1億円以下／企業等数,会社企業／（再掲）資本金1億円以下／企業事業所数（事業所）,会社企業／（再掲）資本金1億円以下／企業従業者数（人）,会社企業／（再掲）資本金1億円以下／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金3億円以下／企業等数,会社企業／（再掲）資本金3億円以下／企業事業所数（事業所）,会社企業／（再掲）資本金3億円以下／企業従業者数（人）,会社企業／（再掲）資本金3億円以下／企業従業者数のうち常用労働者数（人）,会社以外の法人／企業等数,会社以外の法人／企業事業所数（事業所）,会社以外の法人／企業従業者数（人）,会社以外の法人／企業従業者数のうち常用労働者数（人）
4,13101,千代田区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,0,00,総数（企業常用雇用者規模）,21952,99330,2726594,2624834,4452,4507,19220,13579,15346,87844,2495196,2414097,624,658,4337,3357,2203,2390,13201,9177,918,1034,7342,5584,6316,9874,124974,105815,1123,3609,73100,66775,1233,5985,119382,111687,759,10321,166468,160625,549,4882,190594,185763,313,7504,209770,203264,291,39318,1557061,1535250,8325,10678,96564,77763,11596,19349,263299,227126,12821,31972,454005,410946,13239,34611,581808,535710,2154,6979,212178,197158
4,13101,千代田区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,01,企業常用雇用者0～4人,11958,12434,36760,17475,3750,3764,9191,4413,7214,7599,24382,11209,479,489,1399,649,1696,1724,5097,2278,633,639,1932,913,3280,3382,11762,5476,284,301,1166,544,246,265,880,415,115,126,410,178,61,68,234,82,32,60,93,24,26,31,130,27,5426,5552,17718,8184,6458,6624,21659,9988,6682,6871,22431,10372,6745,6938,22695,10472,994,1071,3187,1853
4,13101,千代田区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,02,企業常用雇用者5～9人,3246,3928,28217,21318,489,498,3738,3116,2344,2843,20758,15519,86,94,682,548,296,324,2377,1938,165,180,1463,1035,1197,1387,10608,7919,184,217,1797,1238,143,181,1431,969,73,107,656,484,22,34,200,151,10,11,87,75,5,5,51,35,1396,1573,12025,9105,1977,2266,17341,13004,2110,2455,18717,13898,2147,2494,19034,14147,413,587,3721,2683
4,13101,千代田区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,03,企業常用雇用者10～19人,2222,3312,36225,30236,138,150,1971,1809,1815,2730,29652,24777,42,51,597,528,139,193,2041,1772,72,97,1248,1057,819,1137,13849,11132,195,300,3367,2739,171,263,2854,2355,85,129,1398,1238,50,71,837,710,8,9,116,96,7,9,142,105,801,1063,12875,10839,1326,1864,22072,18034,1480,2104,24642,20192,1527,2174,25412,20872,269,432,4602,3650
4,13101,千代田区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,04,企業常用雇用者20～29人,964,1999,26341,22993,38,41,945,908,811,1639,22246,19360,6,9,139,131,38,55,924,863,24,46,626,572,334,642,9348,7930,125,279,3524,2993,83,179,2239,2014,61,119,1709,1483,34,52,895,799,12,16,329,303,-,-,-,-,264,501,7314,6225,552,1079,15249,13107,639,1276,17600,15201,676,1335,18636,16106,115,319,3150,2725
4,13101,千代田区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,05,企業常用雇用者30～49人,899,2089,40814,34154,18,20,707,685,787,1814,35634,29810,4,7,158,151,18,29,773,710,11,19,456,438,294,625,14134,11136,94,219,3831,3440,154,436,7262,5817,73,161,3094,2831,60,124,2465,2299,19,28,879,736,9,32,357,315,200,394,8302,7629,477,1049,22566,17966,622,1446,28566,23494,658,1530,30128,24919,94,255,4473,3659
4,13101,千代田区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,06,企業常用雇用者50～99人,987,3924,76995,69949,8,10,579,571,870,3377,67662,61642,4,4,333,327,11,42,780,724,7,25,505,465,232,876,16992,15950,115,446,9917,8136,192,846,14942,13714,97,400,7711,7132,109,372,8395,7875,35,110,2913,2576,12,22,1018,951,146,502,10647,10018,431,1705,33370,29994,610,2458,47211,42758,669,2683,51945,47179,109,537,8754,7736
4,13101,千代田区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,07,企業常用雇用者100～299人,912,7296,163830,155626,10,23,1744,1733,815,6249,146045,139285,1,1,126,124,4,21,597,587,5,26,784,777,120,774,19665,18708,82,503,13247,12720,172,1562,30811,29608,168,1622,31345,29231,111,825,21395,20406,73,495,14123,13650,28,140,5554,5198,64,447,10441,9784,262,1770,43285,41356,470,3832,81344,77675,559,4591,97979,93129,87,1024,16041,14608
4,13101,千代田区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,08,企業常用雇用者300～999人,451,8163,250190,237903,1,1,345,344,412,7509,227074,216414,2,3,903,899,1,2,612,305,1,2,328,327,32,758,16826,16037,32,667,18459,18220,54,919,29536,27655,67,1297,36225,35118,77,1715,41596,39404,71,1398,39801,36641,63,658,38488,37555,25,410,13356,12328,86,1803,49018,46347,157,3059,86024,82069,196,3863,106740,102291,38,653,22771,21145
4,13101,千代田区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,09,企業常用雇用者1000～1999人,139,5661,194144,189671,-,-,-,-,127,5347,178241,174630,-,-,-,-,-,-,-,-,-,-,-,-,7,280,9661,9400,12,677,17792,16745,15,681,19345,19119,11,326,15598,14856,16,931,22316,22162,24,1397,32714,32461,41,1054,59328,58412,3,236,3886,3651,26,1176,36610,35203,41,1874,57042,55105,47,2161,65393,63060,12,314,15903,15041
