産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,総数／従業者数／うち常用雇用者／総数（人）,総数／従業者数／うち常用雇用者／男（人）,総数／従業者数／うち常用雇用者／女（人）,民営の合計／事業所数（事業所）,民営の合計／従業者数／民営の合計（人）,民営の合計／従業者数／男（人）,民営の合計／従業者数／女（人）,民営の合計／従業者数／うち常用雇用者／民営の合計（人）,民営の合計／従業者数／うち常用雇用者／男（人）,民営の合計／従業者数／うち常用雇用者／女（人）,民営／個人／事業所数（事業所）,民営／個人／従業者数／総数（人）,民営／個人／従業者数／男（人）,民営／個人／従業者数／女（人）,民営／個人／従業者数／うち常用雇用者数／総数（人）,民営／個人／従業者数／うち常用雇用者数／男（人）,民営／個人／従業者数／うち常用雇用者数／女（人）,民営／法人／事業所数（事業所）,民営／法人／従業者数／総数（人）,民営／法人／従業者数／男（人）,民営／法人／従業者数／女（人）,民営／法人／従業者数／うち常用雇用者数／総数（人）,民営／法人／従業者数／うち常用雇用者数／男（人）,民営／法人／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／事業所数（事業所）,民営／法人／会社／従業者数／総数（人）,民営／法人／会社／従業者数／男（人）,民営／法人／会社／従業者数／女（人）,民営／法人／会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／株式・有限・相互会社／事業所数（事業所）,民営／法人／会社／株式・有限・相互会社／従業者数／総数（人）,民営／法人／会社／株式・有限・相互会社／従業者数／男（人）,民営／法人／会社／株式・有限・相互会社／従業者数／女（人）,民営／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／合名・合資会社／事業所数（事業所）,民営／法人／会社／合名・合資会社／従業者数／総数（人）,民営／法人／会社／合名・合資会社／従業者数／男（人）,民営／法人／会社／合名・合資会社／従業者数／女（人）,民営／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／合同会社／事業所数（事業所）,民営／法人／会社／合同会社／従業者数／総数（人）,民営／法人／会社／合同会社／従業者数／男（人）,民営／法人／会社／合同会社／従業者数／女（人）,民営／法人／会社／合同会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／合同会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／合同会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社／外国の会社／事業所数（事業所）,民営／法人／会社／外国の会社／従業者数／総数（人）,民営／法人／会社／外国の会社／従業者数／男（人）,民営／法人／会社／外国の会社／従業者数／女（人）,民営／法人／会社／外国の会社／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社／外国の会社／従業者数／うち常用雇用者数／男（人）,民営／法人／会社／外国の会社／従業者数／うち常用雇用者数／女（人）,民営／法人／会社以外の法人／事業所数（事業所）,民営／法人／会社以外の法人／従業者数／総数（人）,民営／法人／会社以外の法人／従業者数／男（人）,民営／法人／会社以外の法人／従業者数／女（人）,民営／法人／会社以外の法人／従業者数／うち常用雇用者数／総数（人）,民営／法人／会社以外の法人／従業者数／うち常用雇用者数／男（人）,民営／法人／会社以外の法人／従業者数／うち常用雇用者数／女（人）,民営／法人でない団体／事業所数（事業所）,民営／法人でない団体／従業者数／総数（人）,民営／法人でない団体／従業者数／男（人）,民営／法人でない団体／従業者数／女（人）,民営／法人でない団体／従業者数／うち常用雇用者数／総数（人）,民営／法人でない団体／従業者数／うち常用雇用者数／男（人）,民営／法人でない団体／従業者数／うち常用雇用者数／女（人）,国・地方公共団体の合計／事業所数（事業所）,国・地方公共団体の合計／従業者数（人）,国・地方公共団体の合計／従業者数／男（人）,国・地方公共団体の合計／従業者数／女（人）,国・地方公共団体の合計／従業者数／うち常用雇用者（人）,国・地方公共団体の合計／従業者数／うち常用雇用者／男（人）,国・地方公共団体の合計／従業者数／うち常用雇用者／女（人）,国・地方公共団体／国／事業所数（事業所）,国・地方公共団体／国／従業者数（人）,国・地方公共団体／国／従業者数／男（人）,国・地方公共団体／国／従業者数／女（人）,国・地方公共団体／国／従業者数／うち常用雇用者（人）,国・地方公共団体／国／従業者数／うち常用雇用者／男（人）,国・地方公共団体／国／従業者数／うち常用雇用者／女（人）,国・地方公共団体／地方公共団体の合計／事業所数（事業所）,国・地方公共団体／地方公共団体の合計／業者数（人）,国・地方公共団体／地方公共団体の合計／従業者数／男（人）,国・地方公共団体／地方公共団体の合計／従業者数／女（人）,国・地方公共団体／地方公共団体の合計／従業者数／うち常用雇用者（人）,国・地方公共団体／地方公共団体の合計／従業者数／うち常用雇用者／男（人）,国・地方公共団体／地方公共団体の合計／従業者数／うち常用雇用者／女（人）,国・地方公共団体／地方公共団体／都道府県／事業所数（事業所）,国・地方公共団体／地方公共団体／都道府県／業者数（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／男（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／女（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／うち常用雇用者（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／うち常用雇用者／男（人）,国・地方公共団体／地方公共団体／都道府県／従業者数／うち常用雇用者／女（人）,国・地方公共団体／地方公共団体／区市町村／事業所数（事業所）,国・地方公共団体／地方公共団体／区市町村／業者数（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／男（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／女（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／うち常用雇用者（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／うち常用雇用者／男（人）,国・地方公共団体／地方公共団体／区市町村／従業者数／うち常用雇用者／女（人）,国・地方公共団体／地方公共団体／一部事務組合等／事業所数（事業所）,国・地方公共団体／地方公共団体／一部事務組合等／業者数（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／男（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／女（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／うち常用雇用者（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／うち常用雇用者／男（人）,国・地方公共団体／地方公共団体／一部事務組合等／従業者数／うち常用雇用者／女（人）
0,A-S,00,000,全産業（Ａ～Ｓ）,662360,9657306,5723089,3910501,8494647,4990006,3481090,653819,9185292,5439756,3721820,8030601,4708069,3298981,181929,531812,249363,282447,283046,98200,184846,469366,8642098,5184486,3433902,7738061,4605215,3109299,431666,7637587,4740245,2874659,6826012,4215166,2588325,426900,7579442,4708528,2848420,6774943,4187767,2564844,1948,12424,6813,5611,9274,4885,4389,1971,32205,17235,14955,28762,15207,13540,847,13516,7669,5673,13033,7307,5552,37700,1004511,444241,559243,912049,390049,520974,2524,11382,5907,5471,9494,4654,4836,8541,472014,283333,188681,464046,281937,182109,529,125434,95067,30367,124626,94808,29818,8012,346580,188266,158314,339420,187129,152291,1515,138657,104931,33726,138623,104921,33702,6441,204043,81098,122945,197176,80027,117149,56,3880,2237,1643,3621,2181,1440
0,A-R,00,000,全産業（Ｓ公務を除く）,660273,9398890,5528407,3846767,8237670,4795726,3418393,653819,9185292,5439756,3721820,8030601,4708069,3298981,181929,531812,249363,282447,283046,98200,184846,469366,8642098,5184486,3433902,7738061,4605215,3109299,431666,7637587,4740245,2874659,6826012,4215166,2588325,426900,7579442,4708528,2848420,6774943,4187767,2564844,1948,12424,6813,5611,9274,4885,4389,1971,32205,17235,14955,28762,15207,13540,847,13516,7669,5673,13033,7307,5552,37700,1004511,444241,559243,912049,390049,520974,2524,11382,5907,5471,9494,4654,4836,6454,213598,88651,124947,207069,87657,119412,157,10019,6879,3140,9923,6870,3053,6297,203579,81772,121807,197146,80787,116359,641,55274,33254,22020,55266,33251,22015,5606,144724,46480,98244,138558,45554,93004,50,3581,2038,1543,3322,1982,1340
0,A-B,00,000,農林漁業（Ａ～Ｂ）,510,4151,3082,1069,3249,2410,839,504,4128,3060,1068,3226,2388,838,-,-,-,-,-,-,-,503,4126,3058,1068,3224,2386,838,468,3826,2823,1003,2953,2177,776,467,3822,2821,1001,2950,2176,774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,2,2,3,1,2,35,300,235,65,271,209,62,1,2,2,-,2,2,-,6,23,22,1,23,22,1,3,14,14,-,14,14,-,3,9,8,1,9,8,1,1,6,5,1,6,5,1,2,3,3,-,3,3,-,-,-,-,-,-,-,-
1,A,00,000,農業，林業,491,4026,2975,1051,3143,2320,823,486,4004,2954,1050,3121,2299,822,-,-,-,-,-,-,-,485,4002,2952,1050,3119,2297,822,453,3726,2738,988,2872,2109,763,452,3722,2736,986,2869,2108,761,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,2,2,3,1,2,32,276,214,62,247,188,59,1,2,2,-,2,2,-,5,22,21,1,22,21,1,3,14,14,-,14,14,-,2,8,7,1,8,7,1,1,6,5,1,6,5,1,1,2,2,-,2,2,-,-,-,-,-,-,-,-
2,A,01,000,農業,449,3763,2757,1006,2938,2146,792,448,3761,2755,1006,2936,2144,792,-,-,-,-,-,-,-,447,3759,2753,1006,2934,2142,792,427,3576,2617,959,2770,2024,746,426,3572,2615,957,2767,2023,744,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,2,2,3,1,2,20,183,136,47,164,118,46,1,2,2,-,2,2,-,1,2,2,-,2,2,-,-,-,-,-,-,-,-,1,2,2,-,2,2,-,-,-,-,-,-,-,-,1,2,2,-,2,2,-,-,-,-,-,-,-,-
3,A,01,010,管理，補助的経済活動を行う事業所,8,77,36,41,61,27,34,8,77,36,41,61,27,34,-,-,-,-,-,-,-,8,77,36,41,61,27,34,8,77,36,41,61,27,34,8,77,36,41,61,27,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,01,011,耕種農業,66,461,293,168,348,214,134,66,461,293,168,348,214,134,-,-,-,-,-,-,-,66,461,293,168,348,214,134,60,429,273,156,322,199,123,59,425,271,154,319,198,121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,2,2,3,1,2,6,32,20,12,26,15,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,01,012,畜産農業,25,134,76,58,100,56,44,25,134,76,58,100,56,44,-,-,-,-,-,-,-,25,134,76,58,100,56,44,23,125,68,57,92,49,43,23,125,68,57,92,49,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,8,1,8,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,01,013,農業サービス業（園芸サービス業を除く）,22,598,382,216,564,354,210,21,596,380,216,562,352,210,-,-,-,-,-,-,-,21,596,380,216,562,352,210,15,476,290,186,451,271,180,15,476,290,186,451,271,180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,120,90,30,111,81,30,-,-,-,-,-,-,-,1,2,2,-,2,2,-,-,-,-,-,-,-,-,1,2,2,-,2,2,-,-,-,-,-,-,-,-,1,2,2,-,2,2,-,-,-,-,-,-,-,-
3,A,01,014,園芸サービス業,328,2493,1970,523,1865,1495,370,328,2493,1970,523,1865,1495,370,-,-,-,-,-,-,-,327,2491,1968,523,1863,1493,370,321,2469,1950,519,1844,1478,366,321,2469,1950,519,1844,1478,366,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,22,18,4,19,15,4,1,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,A,02,000,林業,42,263,218,45,205,174,31,38,243,199,44,185,155,30,-,-,-,-,-,-,-,38,243,199,44,185,155,30,26,150,121,29,102,85,17,26,150,121,29,102,85,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,93,78,15,83,70,13,-,-,-,-,-,-,-,4,20,19,1,20,19,1,3,14,14,-,14,14,-,1,6,5,1,6,5,1,1,6,5,1,6,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
