地域階層,地域コード,地域名,産業分類階層,大分類,中分類,小分類,小分類の内訳,産業分類名称,企業常用雇用者規模階層,企業常用雇用者規模コード,企業常用雇用者規模名称,総数（経営組織）／企業等数,総数（経営組織）／企業事業所数（事業所）,総数（経営組織）／企業従業者数（人）,総数（経営組織）／企業従業者数のうち常用労働者数（人）,個人／企業等数,個人／企業事業所数（事業所）,個人／企業従業者数（人）,個人／企業従業者数のうち常用労働者数（人）,会社企業／総数（資本金階級）／企業等数,会社企業／総数（資本金階級）／企業事業所数（事業所）,会社企業／総数（資本金階級）／企業従業者数（人）,会社企業／総数（資本金階級）／企業従業者数のうち常用労働者数（人）,会社企業／資本金300万円未満／企業等数,会社企業／資本金300万円未満／企業事業所数（事業所）,会社企業／資本金300万円未満／企業従業者数（人）,会社企業／資本金300万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金300万～500万円未満／企業等数,会社企業／資本金300万～500万円未満／企業事業所数（事業所）,会社企業／資本金300万～500万円未満／企業従業者数（人）,会社企業／資本金300万～500万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金500万～1000万円未満／企業等数,会社企業／資本金500万～1000万円未満／企業事業所数（事業所）,会社企業／資本金500万～1000万円未満／企業従業者数（人）,会社企業／資本金500万～1000万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金1000万～3000万円未満／企業等数,会社企業／資本金1000万～3000万円未満／企業事業所数（事業所）,会社企業／資本金1000万～3000万円未満／企業従業者数（人）,会社企業／資本金1000万～3000万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金3000万～5000万円未満／企業等数,会社企業／資本金3000万～5000万円未満／企業事業所数（事業所）,会社企業／資本金3000万～5000万円未満／企業従業者数（人）,会社企業／資本金3000万～5000万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金5000万～1億円未満／企業等数,会社企業／資本金5000万～1億円未満／企業事業所数（事業所）,会社企業／資本金5000万～1億円未満／企業従業者数（人）,会社企業／資本金5000万～1億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金1億～3億円未満／企業等数,会社企業／資本金1億～3億円未満／企業事業所数（事業所）,会社企業／資本金1億～3億円未満／企業従業者数（人）,会社企業／資本金1億～3億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金3億～10億円未満／企業等数,会社企業／資本金3億～10億円未満／企業事業所数（事業所）,会社企業／資本金3億～10億円未満／企業従業者数（人）,会社企業／資本金3億～10億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金10億～50億円未満／企業等数,会社企業／資本金10億～50億円未満／企業事業所数（事業所）,会社企業／資本金10億～50億円未満／企業従業者数（人）,会社企業／資本金10億～50億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金50億円以上／企業等数,会社企業／資本金50億円以上／企業事業所数（事業所）,会社企業／資本金50億円以上／企業従業者数（人）,会社企業／資本金50億円以上／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金1000万円以下／企業等数,会社企業／（再掲）資本金1000万円以下／企業事業所数（事業所）,会社企業／（再掲）資本金1000万円以下／企業従業者数（人）,会社企業／（再掲）資本金1000万円以下／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金5000万円以下／企業等数,会社企業／（再掲）資本金5000万円以下／企業事業所数（事業所）,会社企業／（再掲）資本金5000万円以下／企業従業者数（人）,会社企業／（再掲）資本金5000万円以下／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金1億円以下／企業等数,会社企業／（再掲）資本金1億円以下／企業事業所数（事業所）,会社企業／（再掲）資本金1億円以下／企業従業者数（人）,会社企業／（再掲）資本金1億円以下／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金3億円以下／企業等数,会社企業／（再掲）資本金3億円以下／企業事業所数（事業所）,会社企業／（再掲）資本金3億円以下／企業従業者数（人）,会社企業／（再掲）資本金3億円以下／企業従業者数のうち常用労働者数（人）,会社以外の法人／企業等数,会社以外の法人／企業事業所数（事業所）,会社以外の法人／企業従業者数（人）,会社以外の法人／企業従業者数のうち常用労働者数（人）
4,13115,杉並区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,0,00,総数（企業常用雇用者規模）,15718,21824,185216,154836,7548,7637,20231,9615,7566,12484,119433,101818,525,578,2999,2112,2615,2897,14497,9582,773,870,4928,3496,2628,3547,33785,27101,227,413,5411,4668,221,718,12542,11635,52,675,10055,9555,13,111,2268,2205,15,752,24563,24035,4,1146,2821,2795,6054,7057,44477,32043,6857,8588,67631,52556,7022,9294,80505,64532,7043,9719,84402,68323,604,1703,45552,43403
4,13115,杉並区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,01,企業常用雇用者0～4人,12480,12754,31952,11762,6957,7003,14558,4738,5229,5445,16348,6519,400,413,1079,429,2090,2147,6076,2350,582,599,1821,771,1702,1766,5814,2314,100,104,375,162,78,80,292,116,8,8,28,8,4,4,8,4,1,2,6,2,-,-,-,-,4541,4686,13958,5527,4900,5055,15260,6067,4957,5114,15470,6144,4960,5117,15485,6150,294,306,1046,505
4,13115,杉並区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,02,企業常用雇用者5～9人,1541,1728,12666,9914,468,492,3577,2965,977,1131,8235,6328,64,66,499,404,280,332,2337,1794,95,107,769,606,394,433,3371,2532,34,40,300,228,26,32,265,184,4,4,37,30,-,-,-,-,-,-,-,-,-,-,-,-,737,833,6148,4714,882,997,7422,5671,896,1013,7569,5770,897,1014,7578,5778,96,105,854,621
4,13115,杉並区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,03,企業常用雇用者10～19人,877,1298,13885,11707,102,112,1470,1313,684,1065,10993,9201,41,50,675,574,165,239,2645,2253,58,88,897,791,253,384,4109,3288,36,54,630,523,29,51,466,386,5,9,83,68,1,1,15,13,-,-,-,-,-,-,-,-,452,656,7274,6050,568,840,9182,7629,585,872,9468,7855,588,876,9520,7896,91,121,1422,1193
4,13115,杉並区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,04,企業常用雇用者20～29人,280,513,7533,6604,16,19,379,359,234,448,6321,5532,10,12,273,255,46,84,1228,1099,15,30,405,347,97,193,2605,2295,20,44,566,465,12,20,334,281,3,3,80,70,1,4,57,18,1,2,26,26,-,-,-,-,142,269,3853,3395,188,363,5077,4461,202,385,5465,4789,203,386,5491,4812,30,46,833,713
4,13115,杉並区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,05,企業常用雇用者30～49人,226,589,9425,8570,4,10,165,159,198,497,8259,7451,7,24,251,240,22,38,855,802,19,42,746,701,92,232,3836,3453,16,46,753,594,25,65,1055,979,2,9,78,75,-,-,-,-,-,-,-,-,-,-,-,-,112,270,4574,4174,167,410,6891,6215,182,450,7538,6809,183,456,7574,6844,24,82,1001,960
4,13115,杉並区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,06,企業常用雇用者50～99人,143,577,10825,9949,1,1,82,81,115,496,8676,7964,3,13,222,210,7,20,447,432,4,4,290,280,57,270,4450,4032,9,72,639,597,16,51,1107,1066,13,46,1042,891,1,2,71,70,1,1,83,76,1,1,99,94,52,213,3898,3524,85,396,6403,5894,105,469,7909,7244,109,476,8197,7508,27,80,2067,1904
4,13115,杉並区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,07,企業常用雇用者100～299人,118,912,20827,19801,-,-,-,-,90,734,15753,15078,-,-,-,-,5,37,909,852,-,-,-,-,22,150,3421,3352,12,53,2148,2099,27,221,5073,4705,9,139,1608,1524,4,30,632,619,4,59,762,745,1,9,273,265,13,97,2180,2105,52,305,9140,8719,72,567,12672,12058,76,620,13329,12693,28,178,5074,4723
4,13115,杉並区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,08,企業常用雇用者300～999人,42,710,22865,21553,-,-,-,-,31,604,16687,15799,-,-,-,-,-,-,-,-,-,-,-,-,10,76,5133,4791,-,-,-,-,8,198,3950,3918,5,168,2251,2210,2,70,1485,1481,5,90,3522,3064,1,2,346,335,5,33,2592,2554,14,179,7210,6856,20,353,9931,9544,23,442,11334,10919,11,106,6178,5754
4,13115,杉並区,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,09,企業常用雇用者1000～1999人,5,592,6923,6881,-,-,-,-,3,316,3467,3457,-,-,-,-,-,-,-,-,-,-,-,-,1,43,1046,1044,-,-,-,-,-,-,-,-,2,273,2421,2413,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,43,1046,1044,2,55,2056,2053,3,316,3467,3457,2,276,3456,3424
