地域階層,地域コード,地域名,産業分類階層,大分類,中分類,小分類,小分類の内訳,産業分類名称,企業常用雇用者規模階層,企業常用雇用者規模コード,企業常用雇用者規模名称,総数（経営組織）／企業等数,総数（経営組織）／企業事業所数（事業所）,総数（経営組織）／企業従業者数（人）,総数（経営組織）／企業従業者数のうち常用労働者数（人）,個人／企業等数,個人／企業事業所数（事業所）,個人／企業従業者数（人）,個人／企業従業者数のうち常用労働者数（人）,会社企業／総数（資本金階級）／企業等数,会社企業／総数（資本金階級）／企業事業所数（事業所）,会社企業／総数（資本金階級）／企業従業者数（人）,会社企業／総数（資本金階級）／企業従業者数のうち常用労働者数（人）,会社企業／資本金300万円未満／企業等数,会社企業／資本金300万円未満／企業事業所数（事業所）,会社企業／資本金300万円未満／企業従業者数（人）,会社企業／資本金300万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金300万～500万円未満／企業等数,会社企業／資本金300万～500万円未満／企業事業所数（事業所）,会社企業／資本金300万～500万円未満／企業従業者数（人）,会社企業／資本金300万～500万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金500万～1000万円未満／企業等数,会社企業／資本金500万～1000万円未満／企業事業所数（事業所）,会社企業／資本金500万～1000万円未満／企業従業者数（人）,会社企業／資本金500万～1000万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金1000万～3000万円未満／企業等数,会社企業／資本金1000万～3000万円未満／企業事業所数（事業所）,会社企業／資本金1000万～3000万円未満／企業従業者数（人）,会社企業／資本金1000万～3000万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金3000万～5000万円未満／企業等数,会社企業／資本金3000万～5000万円未満／企業事業所数（事業所）,会社企業／資本金3000万～5000万円未満／企業従業者数（人）,会社企業／資本金3000万～5000万円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金5000万～1億円未満／企業等数,会社企業／資本金5000万～1億円未満／企業事業所数（事業所）,会社企業／資本金5000万～1億円未満／企業従業者数（人）,会社企業／資本金5000万～1億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金1億～3億円未満／企業等数,会社企業／資本金1億～3億円未満／企業事業所数（事業所）,会社企業／資本金1億～3億円未満／企業従業者数（人）,会社企業／資本金1億～3億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金3億～10億円未満／企業等数,会社企業／資本金3億～10億円未満／企業事業所数（事業所）,会社企業／資本金3億～10億円未満／企業従業者数（人）,会社企業／資本金3億～10億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金10億～50億円未満／企業等数,会社企業／資本金10億～50億円未満／企業事業所数（事業所）,会社企業／資本金10億～50億円未満／企業従業者数（人）,会社企業／資本金10億～50億円未満／企業従業者数のうち常用労働者数（人）,会社企業／資本金50億円以上／企業等数,会社企業／資本金50億円以上／企業事業所数（事業所）,会社企業／資本金50億円以上／企業従業者数（人）,会社企業／資本金50億円以上／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金1000万円以下／企業等数,会社企業／（再掲）資本金1000万円以下／企業事業所数（事業所）,会社企業／（再掲）資本金1000万円以下／企業従業者数（人）,会社企業／（再掲）資本金1000万円以下／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金5000万円以下／企業等数,会社企業／（再掲）資本金5000万円以下／企業事業所数（事業所）,会社企業／（再掲）資本金5000万円以下／企業従業者数（人）,会社企業／（再掲）資本金5000万円以下／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金1億円以下／企業等数,会社企業／（再掲）資本金1億円以下／企業事業所数（事業所）,会社企業／（再掲）資本金1億円以下／企業従業者数（人）,会社企業／（再掲）資本金1億円以下／企業従業者数のうち常用労働者数（人）,会社企業／（再掲）資本金3億円以下／企業等数,会社企業／（再掲）資本金3億円以下／企業事業所数（事業所）,会社企業／（再掲）資本金3億円以下／企業従業者数（人）,会社企業／（再掲）資本金3億円以下／企業従業者数のうち常用労働者数（人）,会社以外の法人／企業等数,会社以外の法人／企業事業所数（事業所）,会社以外の法人／企業従業者数（人）,会社以外の法人／企業従業者数のうち常用労働者数（人）
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,0,00,総数（企業常用雇用者規模）,1624,2034,16243,13228,868,878,2571,1368,692,1051,11320,9674,45,49,182,115,278,303,1703,1154,92,96,647,454,207,283,2770,2127,17,44,590,535,18,88,2755,2708,6,141,2240,2228,3,7,238,203,-,-,-,-,-,-,-,-,585,688,4839,3474,642,780,5956,4444,660,936,9954,8399,663,1004,10887,9321,64,105,2352,2186
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,01,企業常用雇用者0～4人,1266,1311,3333,1392,781,789,1749,650,463,500,1526,712,36,36,93,39,224,227,673,307,63,64,223,91,111,116,428,218,6,28,17,1,5,5,22,12,-,-,-,-,1,1,5,3,-,-,-,-,-,-,-,-,415,424,1348,620,441,472,1439,659,445,476,1456,668,445,476,1456,668,22,22,58,30
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,02,企業常用雇用者5～9人,179,205,1538,1138,64,65,455,380,109,134,1029,714,7,10,52,41,26,29,223,161,13,14,114,85,50,63,514,330,5,5,45,35,1,2,13,8,1,1,10,9,-,-,-,-,-,-,-,-,-,-,-,-,90,108,855,584,101,121,948,652,103,124,971,669,103,124,971,669,6,6,54,44
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,03,企業常用雇用者10～19人,88,116,1434,1181,20,21,294,266,53,77,909,711,2,3,37,35,17,32,331,240,12,14,184,159,19,23,302,230,-,-,-,-,2,3,36,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,66,760,588,50,72,854,664,52,75,890,697,52,75,890,697,15,18,231,204
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,04,企業常用雇用者20～29人,29,40,750,695,3,3,73,72,22,33,573,520,-,-,-,-,2,2,47,43,2,2,49,44,11,17,271,248,2,2,63,56,1,3,22,22,1,1,32,29,1,1,36,28,-,-,-,-,-,-,-,-,13,19,319,293,18,26,452,413,18,26,452,413,19,27,484,442,4,4,104,103
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,05,企業常用雇用者30～49人,26,40,1064,974,-,-,-,-,20,27,782,727,-,-,-,-,7,10,264,242,2,2,77,75,9,13,351,327,-,-,-,-,2,2,90,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,19,562,525,19,26,729,678,20,27,782,727,20,27,782,727,6,13,282,247
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,06,企業常用雇用者50～99人,15,40,1225,1051,-,-,-,-,12,35,951,795,-,-,-,-,1,1,59,59,-,-,-,-,6,22,516,390,3,6,202,184,2,6,174,162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,21,501,378,10,29,777,633,12,35,951,795,12,35,951,795,3,5,274,256
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,07,企業常用雇用者100～299人,16,116,2850,2758,-,-,-,-,8,79,1501,1456,-,-,-,-,1,2,106,102,-,-,-,-,-,-,-,-,1,3,263,259,3,46,561,553,2,23,374,370,1,5,197,172,-,-,-,-,-,-,-,-,1,2,106,102,2,5,369,361,6,61,1127,1111,7,74,1304,1284,8,37,1349,1302
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,08,企業常用雇用者300～999人,3,98,1630,1620,-,-,-,-,3,98,1630,1620,-,-,-,-,-,-,-,-,-,-,-,-,1,29,388,384,-,-,-,-,1,15,518,516,1,54,724,720,-,-,-,-,-,-,-,-,-,-,-,-,1,29,388,384,1,29,388,384,2,44,906,900,3,98,1630,1620,-,-,-,-
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,09,企業常用雇用者1000～1999人,2,68,2419,2419,-,-,-,-,2,68,2419,2419,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,1319,1319,1,62,1100,1100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,68,2419,2419,2,68,2419,2419,-,-,-,-
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,10,企業常用雇用者2000～4999人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,1,11,企業常用雇用者5000人以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,9,91,（再掲）企業常用雇用者5人以下,1334,1386,3878,1732,811,820,1932,800,500,543,1881,897,39,41,115,54,238,241,782,377,66,67,247,106,126,134,611,293,7,29,26,6,5,5,22,12,-,-,-,-,1,1,5,3,-,-,-,-,-,-,-,-,446,459,1651,775,477,513,1786,839,481,517,1803,848,481,517,1803,848,23,23,65,35
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,9,92,（再掲）企業常用雇用者20人以下,1534,1633,6326,3731,865,875,2498,1296,626,712,3485,2157,45,49,182,115,267,288,1227,708,88,92,521,335,181,203,1265,798,11,33,62,36,8,10,71,53,1,1,10,9,1,1,5,3,-,-,-,-,-,-,-,-,550,599,2984,1812,593,666,3262,1995,601,676,3338,2054,601,676,3338,2054,43,46,343,278
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,9,93,（再掲）企業常用雇用者50人以下,1588,1712,8119,5380,868,878,2571,1368,667,771,4819,3384,45,49,182,115,276,300,1538,993,92,96,647,454,200,232,1866,1353,13,35,125,92,11,15,183,158,2,2,42,38,2,2,41,31,-,-,-,-,-,-,-,-,577,636,3844,2610,629,717,4422,3066,638,728,4551,3174,639,729,4583,3203,53,63,729,628
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,9,94,（再掲）企業常用雇用者100人以下,1603,1752,9344,6431,868,878,2571,1368,679,806,5770,4179,45,49,182,115,277,301,1597,1052,92,96,647,454,206,254,2382,1743,16,41,327,276,13,21,357,320,2,2,42,38,2,2,41,31,-,-,-,-,-,-,-,-,583,657,4345,2988,639,746,5199,3699,650,763,5502,3969,651,764,5534,3998,56,68,1003,884
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,9,95,（再掲）企業常用雇用者200人以下,1616,1835,11487,8491,868,878,2571,1368,685,857,6793,5165,45,49,182,115,278,303,1703,1154,92,96,647,454,206,254,2382,1743,16,41,327,276,15,42,703,662,4,25,416,408,3,7,238,203,-,-,-,-,-,-,-,-,584,659,4451,3090,640,748,5305,3801,654,796,6151,4610,656,810,6360,4812,63,100,2123,1958
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,9,96,（再掲）企業常用雇用者300人以下,1619,1868,12194,9189,868,878,2571,1368,687,885,7271,5635,45,49,182,115,278,303,1703,1154,92,96,647,454,206,254,2382,1743,17,44,590,535,16,67,918,873,4,25,416,408,3,7,238,203,-,-,-,-,-,-,-,-,584,659,4451,3090,641,751,5568,4060,656,824,6629,5080,658,838,6838,5282,64,105,2352,2186
4,13218,福生市,0,A-R,00,000,000,全産業（Ｓ公務を除く）,9,97,（再掲）企業常用雇用者900人以下,1622,1966,13824,10809,868,878,2571,1368,690,983,8901,7255,45,49,182,115,278,303,1703,1154,92,96,647,454,207,283,2770,2127,17,44,590,535,17,82,1436,1389,5,79,1140,1128,3,7,238,203,-,-,-,-,-,-,-,-,585,688,4839,3474,642,780,5956,4444,658,868,7535,5980,661,936,8468,6902,64,105,2352,2186
4,13218,福生市,1,A-B,00,000,000,農林漁業,0,00,総数（企業常用雇用者規模）,3,4,22,15,-,-,-,-,3,4,22,15,-,-,-,-,2,2,10,6,-,-,-,-,1,2,12,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,22,15,3,4,22,15,3,4,22,15,3,4,22,15,-,-,-,-
