産業分類階層,大分類,中分類,小分類,分類名,東京都／総数（民営＋国、地方公共団体）／事業所数（事業所）,東京都／総数（民営＋国、地方公共団体）／従業者数（人）,区部／経営組織／民営／事業所数（事業所）,区部／経営組織／民営／従業者数（人）,千代田区／経営組織／民営／事業所数（事業所）,千代田区／経営組織／民営／従業者数（人）,中央区／経営組織／民営／事業所数（事業所）,中央区／経営組織／民営／従業者数（人）,港区／経営組織／民営／事業所数（事業所）,港区／経営組織／民営／従業者数（人）,新宿区／経営組織／民営／事業所数（事業所）,新宿区／経営組織／民営／従業者数（人）,文京区／経営組織／民営／事業所数（事業所）,文京区／経営組織／民営／従業者数（人）,台東区／経営組織／民営／事業所数（事業所）,台東区／経営組織／民営／従業者数（人）,墨田区／経営組織／民営／事業所数（事業所）,墨田区／経営組織／民営／従業者数（人）,江東区／経営組織／民営／事業所数（事業所）,江東区／経営組織／民営／従業者数（人）,品川区／経営組織／民営／事業所数（事業所）,品川区／経営組織／民営／従業者数（人）,目黒区／経営組織／民営／事業所数（事業所）,目黒区／経営組織／民営／従業者数（人）,大田区／経営組織／民営／事業所数（事業所）,大田区／経営組織／民営／従業者数（人）,世田谷区／経営組織／民営／事業所数（事業所）,世田谷区／経営組織／民営／従業者数（人）,渋谷区／経営組織／民営／事業所数（事業所）,渋谷区／経営組織／民営／従業者数（人）,中野区／経営組織／民営／事業所数（事業所）,中野区／経営組織／民営／従業者数（人）,杉並区／経営組織／民営／事業所数（事業所）,杉並区／経営組織／民営／従業者数（人）,豊島区／経営組織／民営／事業所数（事業所）,豊島区／経営組織／民営／従業者数（人）,北区／経営組織／民営／事業所数（事業所）,北区／経営組織／民営／従業者数（人）,荒川区／経営組織／民営／事業所数（事業所）,荒川区／経営組織／民営／従業者数（人）,板橋区／経営組織／民営／事業所数（事業所）,板橋区／経営組織／民営／従業者数（人）,練馬区／経営組織／民営／事業所数（事業所）,練馬区／経営組織／民営／従業者数（人）,足立区／経営組織／民営／事業所数（事業所）,足立区／経営組織／民営／従業者数（人）,葛飾区／経営組織／民営／事業所数（事業所）,葛飾区／経営組織／民営／従業者数（人）,江戸川区／経営組織／民営／事業所数（事業所）,江戸川区／経営組織／民営／従業者数（人）,境界未定地域／経営組織／民営／事業所数（事業所）,境界未定地域／経営組織／民営／従業者数（人）,市部／経営組織／民営／事業所数（事業所）,市部／経営組織／民営／従業者数（人）,八王子市／経営組織／民営／事業所数（事業所）,八王子市／経営組織／民営／従業者数（人）,立川市／経営組織／民営／事業所数（事業所）,立川市／経営組織／民営／従業者数（人）,武蔵野市／経営組織／民営／事業所数（事業所）,武蔵野市／経営組織／民営／従業者数（人）,三鷹市／経営組織／民営／事業所数（事業所）,三鷹市／経営組織／民営／従業者数（人）,青梅市／経営組織／民営／事業所数（事業所）,青梅市／経営組織／民営／従業者数（人）,府中市／経営組織／民営／事業所数（事業所）,府中市／経営組織／民営／従業者数（人）,昭島市／経営組織／民営／事業所数（事業所）,昭島市／経営組織／民営／従業者数（人）,調布市／経営組織／民営／事業所数（事業所）,調布市／経営組織／民営／従業者数（人）,町田市／経営組織／民営／事業所数（事業所）,町田市／経営組織／民営／従業者数（人）,小金井市／経営組織／民営／事業所数（事業所）,小金井市／経営組織／民営／従業者数（人）,小平市／経営組織／民営／事業所数（事業所）,小平市／経営組織／民営／従業者数（人）,日野市／経営組織／民営／事業所数（事業所）,日野市／経営組織／民営／従業者数（人）,東村山市／経営組織／民営／事業所数（事業所）,東村山市／経営組織／民営／従業者数（人）,国分寺市／経営組織／民営／事業所数（事業所）,国分寺市／経営組織／民営／従業者数（人）,国立市／経営組織／民営／事業所数（事業所）,国立市／経営組織／民営／従業者数（人）,福生市／経営組織／民営／事業所数（事業所）,福生市／経営組織／民営／従業者数（人）,狛江市／経営組織／民営／事業所数（事業所）,狛江市／経営組織／民営／従業者数（人）,東大和市／経営組織／民営／事業所数（事業所）,東大和市／経営組織／民営／従業者数（人）,清瀬市／経営組織／民営／事業所数（事業所）,清瀬市／経営組織／民営／従業者数（人）,東久留米市／経営組織／民営／事業所数（事業所）,東久留米市／経営組織／民営／従業者数（人）,武蔵村山市／経営組織／民営／事業所数（事業所）,武蔵村山市／経営組織／民営／従業者数（人）,多摩市／経営組織／民営／事業所数（事業所）,多摩市／経営組織／民営／従業者数（人）,稲城市／経営組織／民営／事業所数（事業所）,稲城市／経営組織／民営／従業者数（人）,羽村市／経営組織／民営／事業所数（事業所）,羽村市／経営組織／民営／従業者数（人）,あきる野市／経営組織／民営／事業所数（事業所）,あきる野市／経営組織／民営／従業者数（人）,西東京市／経営組織／民営／事業所数（事業所）,西東京市／経営組織／民営／従業者数（人）,町村部／経営組織／民営／事業所数（事業所）,町村部／経営組織／民営／従業者数（人）,西多摩郡／経営組織／民営／事業所数（事業所）,西多摩郡／経営組織／民営／従業者数（人）,瑞穂町／経営組織／民営／事業所数（事業所）,瑞穂町／経営組織／民営／従業者数（人）,日の出町／経営組織／民営／事業所数（事業所）,日の出町／経営組織／民営／従業者数（人）,檜原村／経営組織／民営／事業所数（事業所）,檜原村／経営組織／民営／従業者数（人）,奥多摩町／経営組織／民営／事業所数（事業所）,奥多摩町／経営組織／民営／従業者数（人）,島部／経営組織／民営／事業所数（事業所）,島部／経営組織／民営／従業者数（人）,大島支庁／経営組織／民営／事業所数（事業所）,大島支庁／経営組織／民営／従業者数（人）,大島町／経営組織／民営／事業所数（事業所）,大島町／経営組織／民営／従業者数（人）,利島村／経営組織／民営／事業所数（事業所）,利島村／経営組織／民営／従業者数（人）,新島村／経営組織／民営／事業所数（事業所）,新島村／経営組織／民営／従業者数（人）,神津島村／経営組織／民営／事業所数（事業所）,神津島村／経営組織／民営／従業者数（人）,三宅支庁／経営組織／民営／事業所数（事業所）,三宅支庁／経営組織／民営／従業者数（人）,三宅村／経営組織／民営／事業所数（事業所）,三宅村／経営組織／民営／従業者数（人）,御蔵島村／経営組織／民営／事業所数（事業所）,御蔵島村／経営組織／民営／従業者数（人）,八丈支庁／経営組織／民営／事業所数（事業所）,八丈支庁／経営組織／民営／従業者数（人）,八丈町／経営組織／民営／事業所数（事業所）,八丈町／経営組織／民営／従業者数（人）,青ヶ島村／経営組織／民営／事業所数（事業所）,青ヶ島村／経営組織／民営／従業者数（人）,小笠原支庁／経営組織／民営／事業所数（事業所）,小笠原支庁／経営組織／民営／従業者数（人）,小笠原村／経営組織／民営／事業所数（事業所）,小笠原村／経営組織／民営／従業者数（人）
0,A-S,00,000,全産業（Ａ～Ｓ）,662360,9657306,521270,7711329,33904,952841,37749,750039,39198,1002027,33387,654483,14165,216954,24305,240584,16745,170426,18807,360215,21370,403584,12035,133033,31066,359410,28562,266249,28476,496273,12756,122290,20301,162727,19782,271272,13453,130383,9769,78958,19077,202676,21060,176247,25596,223005,17658,131946,21511,184495,538,21212,127565,1430185,18979,218712,7631,108457,7902,84739,5330,57740,4686,50933,7688,103925,3702,48677,6758,73837,12476,134188,2958,28600,4795,56277,4479,57150,3886,37646,3598,34623,2751,27082,2134,17204,2040,15365,2584,22610,1873,18167,3029,28551,2482,26200,3899,61798,2151,22037,1997,25505,2453,22117,5304,48045,4984,43778,2804,33328,1642,21261,729,9248,144,783,289,2036,2180,10450,1049,4927,588,2938,38,143,244,1095,179,751,266,1263,237,1107,29,156,593,2876,576,2785,17,91,272,1384,272,1384
0,A-R,00,000,全産業（Ｓ公務を除く）,660273,9398890,521270,7711329,33904,952841,37749,750039,39198,1002027,33387,654483,14165,216954,24305,240584,16745,170426,18807,360215,21370,403584,12035,133033,31066,359410,28562,266249,28476,496273,12756,122290,20301,162727,19782,271272,13453,130383,9769,78958,19077,202676,21060,176247,25596,223005,17658,131946,21511,184495,538,21212,127565,1430185,18979,218712,7631,108457,7902,84739,5330,57740,4686,50933,7688,103925,3702,48677,6758,73837,12476,134188,2958,28600,4795,56277,4479,57150,3886,37646,3598,34623,2751,27082,2134,17204,2040,15365,2584,22610,1873,18167,3029,28551,2482,26200,3899,61798,2151,22037,1997,25505,2453,22117,5304,48045,4984,43778,2804,33328,1642,21261,729,9248,144,783,289,2036,2180,10450,1049,4927,588,2938,38,143,244,1095,179,751,266,1263,237,1107,29,156,593,2876,576,2785,17,91,272,1384,272,1384
0,A-B,00,000,農林漁業（Ａ～Ｂ）,510,4151,272,2334,12,52,23,254,25,168,13,253,8,74,2,3,1,7,15,163,8,39,7,47,14,103,53,291,6,28,3,7,13,57,4,15,3,17,1,5,8,26,20,134,12,187,8,45,12,337,1,22,206,1563,27,255,10,62,4,20,11,60,7,55,13,196,6,51,10,48,26,169,2,20,11,99,6,21,7,33,7,55,1,3,3,14,5,17,1,10,5,23,12,79,3,24,5,45,10,91,1,33,8,55,5,25,26,231,19,155,3,16,8,74,3,32,5,33,7,76,3,14,2,9,1,5,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,3,61,3,61
1,A,00,000,農業，林業,491,4026,258,2238,12,52,15,183,23,156,13,253,8,74,2,3,1,7,14,161,7,35,7,47,14,103,52,288,6,28,3,7,13,57,3,11,3,17,1,5,8,26,20,134,12,187,8,45,12,337,1,22,204,1546,26,242,10,62,4,20,11,60,7,55,12,192,6,51,10,48,26,169,2,20,11,99,6,21,7,33,7,55,1,3,3,14,5,17,1,10,5,23,12,79,3,24,5,45,10,91,1,33,8,55,5,25,24,220,17,144,3,16,8,74,3,32,3,22,7,76,3,14,2,9,1,5,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,3,61,3,61
2,A,01,000,農業,449,3763,238,2144,9,47,12,159,22,154,12,247,5,61,2,3,1,7,11,142,6,28,6,45,14,103,51,285,4,20,3,7,13,57,3,11,3,17,1,5,8,26,20,134,12,187,7,40,12,337,1,22,197,1511,25,236,10,62,4,20,10,57,6,43,12,192,6,51,10,48,26,169,2,20,10,97,6,21,7,33,6,50,1,3,3,14,5,17,1,10,4,18,12,79,3,24,5,45,10,91,1,33,8,55,4,23,13,106,8,36,3,16,5,20,-,-,-,-,5,70,2,9,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,61,3,61
3,A,01,010,管理，補助的経済活動を行う事業所,8,77,6,67,-,-,1,3,1,2,-,-,-,-,-,-,-,-,2,60,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,01,011,耕種農業,66,461,37,263,4,17,4,26,8,71,3,7,-,-,-,-,-,-,2,10,1,2,1,7,-,-,4,18,1,5,-,-,1,1,1,1,-,-,-,-,3,6,-,-,1,56,1,10,1,4,1,22,25,180,2,16,3,30,-,-,1,2,2,3,2,42,-,-,-,-,-,-,1,10,2,26,-,-,2,16,1,3,-,-,-,-,2,5,-,-,2,5,-,-,-,-,-,-,2,10,-,-,2,5,1,7,4,18,3,12,-,-,3,12,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,1,6
3,A,01,012,畜産農業,25,134,20,105,2,7,3,40,3,9,1,3,1,3,-,-,-,-,1,2,1,8,-,-,-,-,-,-,1,4,-,-,1,1,1,-,-,-,-,-,2,8,2,19,1,1,-,-,-,-,-,-,5,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,22,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,01,013,農業サービス業（園芸サービス業を除く）,22,598,12,526,1,15,-,-,4,31,2,198,1,2,-,-,-,-,1,40,1,3,-,-,-,-,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,228,-,-,8,68,2,21,-,-,-,-,1,6,1,25,1,9,1,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,2,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,01,014,園芸サービス業,328,2493,163,1183,2,8,4,90,6,41,6,39,3,56,2,3,1,7,5,30,3,15,5,38,13,102,46,258,2,11,2,6,11,55,1,10,3,17,1,5,3,12,18,115,10,130,6,30,10,105,-,-,157,1224,21,199,7,32,4,20,8,49,3,15,9,141,5,47,10,48,24,161,1,10,7,68,6,21,5,17,5,47,-,-,3,14,3,12,1,10,2,13,8,55,3,24,5,45,7,77,1,33,6,50,3,16,8,86,5,24,3,16,2,8,-,-,-,-,3,62,1,7,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,55,2,55
