地域階層,地域コード,地域名,産業分類階層,大分類,産業分類名称,資本金階級階層,資本金階級コード,資本金階級名称,総数（決算月）／会社企業数,総数（決算月）／企業事業所数（事業所）,総数（決算月）／企業従業者数（人）,1月決算／会社企業数,1月決算／企業事業所数（事業所）,1月決算／企業従業者数（人）,2月決算／会社企業数,2月決算／企業事業所数（事業所）,2月決算／企業従業者数（人）,3月決算／会社企業数,3月決算／企業事業所数（事業所）,3月決算／企業従業者数（人）,4月決算／会社企業数,4月決算／企業事業所数（事業所）,4月決算／企業従業者数（人）,5月決算／会社企業数,5月決算／企業事業所数（事業所）,5月決算／企業従業者数（人）,6月決算／会社企業数,6月決算／企業事業所数（事業所）,6月決算／企業従業者数（人）,7月決算／会社企業数,7月決算／企業事業所数（事業所）,7月決算／企業従業者数（人）,8月決算／会社企業数,8月決算／企業事業所数（事業所）,8月決算／企業従業者数（人）,9月決算／会社企業数,9月決算／企業事業所数（事業所）,9月決算／企業従業者数（人）,10月決算／会社企業数,10月決算／企業事業所数（事業所）,10月決算／企業従業者数（人）,11月決算／会社企業数,11月決算／企業事業所数（事業所）,11月決算／企業従業者数（人）,12月決算／会社企業数,12月決算／企業事業所数（事業所）,12月決算／企業従業者数（人）
0,13000,東京都,0,A-R,全産業（Ｓ公務を除く）,0,00,総数（資本金階級）,272754,666948,12861640,8757,16077,191054,17031,48682,830861,51731,277003,7517053,16089,22489,213598,19328,27967,305909,22010,35302,445585,18174,25431,254568,21817,37238,410409,27362,54286,854516,10619,16046,196716,7915,12041,142646,25365,62189,1369394
0,13000,東京都,0,A-R,全産業（Ｓ公務を除く）,1,01,資本金300万円未満,14293,15820,92786,573,652,4219,900,1013,7002,2263,2547,15747,911,984,4911,1144,1236,6489,1292,1398,7485,901,964,5055,1096,1190,6294,1424,1578,8596,697,742,3983,690,773,6008,1603,1904,11697
0,13000,東京都,0,A-R,全産業（Ｓ公務を除く）,1,02,資本金300万～500万円未満,81679,89428,465828,2588,2864,14374,6023,6678,35450,11789,12820,68052,6063,6527,32464,7049,7708,40433,7659,8485,44845,6578,7126,36754,7856,8759,44744,8630,9481,49555,4037,4421,21981,2694,2986,15987,7190,7840,38408
0,13000,東京都,0,A-R,全産業（Ｓ公務を除く）,1,03,資本金500万～1000万円未満,24692,28563,189154,807,901,5366,1803,2036,13505,3621,4399,32572,1783,2109,12670,2208,2511,17336,2235,2623,15972,2001,2260,14698,2309,2703,16785,2613,2974,18479,1161,1301,8553,877,1020,6660,2216,2517,17383
0,13000,東京都,0,A-R,全産業（Ｓ公務を除く）,1,04,資本金1000万～3000万円未満,99556,151432,1758650,3740,6030,63212,6468,11475,131653,19603,36653,544109,6087,8122,76967,7343,10152,103162,8575,11565,126267,7238,10333,102445,8699,13369,140039,11411,16632,180568,3842,5351,50841,2858,3629,38089,9540,14066,166666
0,13000,東京都,0,A-R,全産業（Ｓ公務を除く）,1,05,資本金3000万～5000万円未満,12110,37457,678602,440,920,17928,715,2875,34306,3407,15443,320545,580,1274,23208,703,1460,25369,962,2451,37409,731,1605,25549,881,3004,38368,1268,3776,60898,376,905,37652,331,774,11478,1367,3288,57465
0,13000,東京都,0,A-R,全産業（Ｓ公務を除く）,1,06,資本金5000万～1億円未満,10887,55801,1186414,363,1735,28476,541,4181,70960,3898,24117,540092,399,1359,26110,521,2395,44108,728,3516,72551,445,1809,43019,588,3534,63935,1116,5673,133853,282,1083,21198,236,899,21040,1482,5452,113692
0,13000,東京都,0,A-R,全産業（Ｓ公務を除く）,1,07,資本金1億～3億円未満,5508,70798,1633430,125,1349,23488,243,5033,118456,2823,42710,871928,133,1217,18336,152,761,24257,247,2678,71364,94,816,15674,152,1653,20480,385,2780,71044,96,457,12512,99,398,10050,853,11894,397520
0,13000,東京都,0,A-R,全産業（Ｓ公務を除く）,1,08,資本金3億～10億円未満,3133,42270,1160634,32,863,17258,110,3216,59594,1878,26607,793877,32,366,6991,52,478,15289,93,984,34517,36,217,5041,56,1221,31504,182,1870,55977,32,553,15336,37,336,7656,508,6454,134420
0,13000,東京都,0,A-R,全産業（Ｓ公務を除く）,1,09,資本金10億～50億円未満,1699,46261,1176869,22,410,8623,55,6313,112667,1166,30426,833099,10,124,2470,19,631,12467,26,1340,29959,13,98,3581,13,538,10479,90,2740,70619,13,726,7560,19,827,13563,240,4387,125962
0,13000,東京都,0,A-R,全産業（Ｓ公務を除く）,1,10,資本金50億円以上,1265,93815,4153077,7,293,7858,50,5720,246444,968,80935,3494530,3,318,9015,9,495,16339,10,35,2905,3,59,1660,8,1038,36075,52,6576,203943,6,427,16723,9,328,11673,152,4108,303387
0,13000,東京都,1,A-B,農林漁業,0,00,総数（資本金階級）,424,592,6242,9,9,52,40,40,298,66,173,2878,27,31,255,31,34,268,34,39,220,32,34,208,45,45,263,43,51,571,14,23,168,12,14,171,41,50,440
0,13000,東京都,1,A-B,農林漁業,1,01,資本金300万円未満,30,32,146,2,2,4,4,4,12,8,10,51,3,3,14,-,-,-,2,2,11,-,-,-,3,3,7,5,5,19,-,-,-,-,-,-,2,2,14
0,13000,東京都,1,A-B,農林漁業,1,02,資本金300万～500万円未満,159,163,1059,3,3,8,18,18,155,24,25,144,12,12,70,13,13,63,14,14,59,11,11,52,19,19,83,16,17,121,4,4,21,7,9,146,17,17,146
0,13000,東京都,1,A-B,農林漁業,1,03,資本金500万～1000万円未満,57,59,378,-,-,-,7,7,31,1,1,7,3,3,43,6,6,40,4,5,16,11,12,70,5,5,37,7,7,25,4,4,48,-,-,-,5,5,32
