地域階層,地域コード,地域名,産業分類階層,大分類,中分類,産業分類名,企業等／総数／企業数（企業）,企業等／総数／事業所数（事業所）,企業等／総数／企業従業者数（人）,企業等／総数／売上（収入）金額（百万円）,企業等／単一事業所企業／企業数（企業）,企業等／単一事業所企業／事業所数（事業所）,企業等／単一事業所企業／企業従業者数（人）,企業等／単一事業所企業／売上（収入）金額（百万円）,企業等／複数事業所企業／企業数（企業）,企業等／複数事業所企業／事業所数（事業所）,企業等／複数事業所企業／企業従業者数（人）,企業等／複数事業所企業／売上（収入）金額（百万円）,個人／総数／企業数（企業）,個人／総数／事業所数（事業所）,個人／総数／企業従業者数（人）,個人／総数／売上（収入）金額（百万円）,個人／単一事業所企業／企業数（企業）,個人／単一事業所企業／事業所数（事業所）,個人／単一事業所企業／企業従業者数（人）,個人／単一事業所企業／売上（収入）金額（百万円）,個人／複数事業所企業／企業数（企業）,個人／複数事業所企業／事業所数（事業所）,個人／複数事業所企業／企業従業者数（人）,個人／複数事業所企業／売上（収入）金額（百万円）,会社企業／総数／企業数（企業）,会社企業／総数／事業所数（事業所）,会社企業／総数／企業従業者数（人）,会社企業／総数／売上（収入）金額（百万円）,会社企業／単一事業所企業／企業数（企業）,会社企業／単一事業所企業／事業所数（事業所）,会社企業／単一事業所企業／企業従業者数（人）,会社企業／単一事業所企業／売上（収入）金額（百万円）,会社企業／複数事業所企業／企業数（企業）,会社企業／複数事業所企業／事業所数（事業所）,会社企業／複数事業所企業／企業従業者数（人）,会社企業／複数事業所企業／売上（収入）金額（百万円）,会社以外の法人／総数／企業数（企業）,会社以外の法人／総数／事業所数（事業所）,会社以外の法人／総数／企業従業者数（人）,会社以外の法人／総数／売上（収入）金額（百万円）,会社以外の法人／単一事業所企業／企業数（企業）,会社以外の法人／単一事業所企業／事業所数（事業所）,会社以外の法人／単一事業所企業／企業従業者数（人）,会社以外の法人／単一事業所企業／売上（収入）金額（百万円）,会社以外の法人／複数事業所企業／企業数（企業）,会社以外の法人／複数事業所企業／事業所数（事業所）,会社以外の法人／複数事業所企業／企業従業者数（人）,会社以外の法人／複数事業所企業／売上（収入）金額（百万円）
0,13000,東京都,0,A-R,00,全産業（Ｓ公務を除く）,369462,725242,12790971,666408996,330859,330859,2041574,84696853,38603,394383,10749397,581712143,143202,144208,417093,2484522,142216,142216,407146,2402069,986,1992,9947,82453,206613,538351,11060287,563383315,172246,172246,1407882,38812084,34367,366105,9652405,524571231,19647,42683,1313591,100541159,16397,16397,226546,43482700,3250,26286,1087045,57058459
0,13000,東京都,0,A-B,00,農林漁業（Ａ～Ｂ）,348,512,5716,x,303,303,2172,x,45,209,3544,x,-,-,-,-,-,-,-,-,-,-,-,-,323,450,5111,x,286,286,2059,x,37,164,3052,x,25,62,605,x,17,17,113,1734,8,45,492,x
0,13000,東京都,1,A,00,農業，林業,338,502,5643,x,293,293,2099,x,45,209,3544,x,-,-,-,-,-,-,-,-,-,-,-,-,315,442,5055,x,278,278,2003,x,37,164,3052,x,23,60,588,x,15,15,96,x,8,45,492,x
0,13000,東京都,2,A,01,農業,315,461,5334,124760,279,279,2020,16830,36,182,3314,107930,-,-,-,-,-,-,-,-,-,-,-,-,298,412,4836,115999,268,268,1945,x,30,144,2891,x,17,49,498,8761,11,11,75,x,6,38,423,x
0,13000,東京都,2,A,02,林業,23,41,309,x,14,14,79,x,9,27,230,x,-,-,-,-,-,-,-,-,-,-,-,-,17,30,219,x,10,10,58,508,7,20,161,x,6,11,90,x,4,4,21,x,2,7,69,x
0,13000,東京都,1,B,00,漁業,10,10,73,x,10,10,73,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,56,x,8,8,56,x,-,-,-,-,2,2,17,x,2,2,17,x,-,-,-,-
0,13000,東京都,2,B,03,漁業（水産養殖業を除く）,6,6,48,x,6,6,48,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,48,x,6,6,48,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,13000,東京都,2,B,04,水産養殖業,4,4,25,84,4,4,25,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,8,x,2,2,8,x,-,-,-,-,2,2,17,x,2,2,17,x,-,-,-,-
0,13000,東京都,0,C-R,00,非農林漁業（Ｃ～Ｒ）Ｓ公務を除く,369114,724730,12785255,x,330556,330556,2039402,x,38558,394174,10745853,x,143202,144208,417093,2484522,142216,142216,407146,2402069,986,1992,9947,82453,206290,537901,11055176,x,171960,171960,1405823,x,34330,365941,9649353,x,19622,42621,1312986,x,16380,16380,226433,43480967,3242,26241,1086553,x
0,13000,東京都,1,C,00,鉱業，採石業，砂利採取業,70,151,4300,x,41,41,564,x,29,110,3736,x,1,4,36,x,-,-,-,-,1,4,36,x,69,147,4264,x,41,41,564,x,28,106,3700,x,-,-,-,-,-,-,-,-,-,-,-,-
