月整理番号,請求年月日,決定年月日,公文書の件名,総枚数,決定区分開示,決定区分一部開示,決定区分非開示,決定区分不存在,決定区分存否応答拒否,（根拠規定）条例７条１号,（根拠規定）条例７条２号,（根拠規定）条例７条３号,（根拠規定）条例７条４号,（根拠規定）条例７条５号,（根拠規定）条例７条６号,（根拠規定）条例７条７号,（根拠規定）条例７条８号,（根拠規定）条例７条９号,非開示理由等,所管局部課等
1,H29.6.23,H29.7.6,「武蔵野の森総合スポーツプラザ（２９）電気設備改修工事」の積算内訳書,19,1,,,,,,,,,,,,,,,オリンピック・パラリンピック準備局大会施設部施設整備第二課
2,H29.6.28,H29.7.10,「武蔵野の森総合スポーツプラザ（２９）電気設備改修工事」の積算内訳書,19,1,,,,,,,,,,,,,,,オリンピック・パラリンピック準備局大会施設部施設整備第二課
3,H29.6.28,H29.7.12,「調布庁舎（２９）内部改修電気工事」の工事設計書,19,1,,,,,,,,,,,,,,,オリンピック・パラリンピック準備局大会施設部施設整備第二課
4,H29.6.30,H29.7.12,「武蔵野の森総合スポーツ施設（仮称）（２９）バスロータリー整備工事」の工事設計書、工事費総括書、工事総括書、種別内訳書、代価明細表、機械器具調書、材料品調書、諸経費計算書、特記仕様書,1,1,,,,,,,,,,,,,,,オリンピック・パラリンピック準備局大会施設部施設整備第二課
5,H29.6.30,H29.7.12,「有明テニスの森公園（２５）テニスコート改修工事」の工事費総括書、工事総括書、種別内訳書、代価明細表、諸経費計算書,22,1,,,,,,,,,,,,,,,オリンピック・パラリンピック準備局大会施設部施設整備第二課
6,H29.6.30,H29.7.12,「有明テニスの森公園（２５）駐車場改修工事」の工事費総括書、工事総括書、種別内訳書、代価明細表、諸経費計算書,73,1,,,,,,,,,,,,,,,オリンピック・パラリンピック準備局大会施設部施設整備第二課
7,H29.7.3,H29.7.12,「武蔵野の森総合スポーツ施設（仮称）（２９）バスロータリー整備工事」の工事費総括書、工事総括書、種別内訳書、代価明細表、諸経費計算書,19,1,,,,,,,,,,,,,,,オリンピック・パラリンピック準備局大会施設部施設整備第二課
8,H29.7.5,H29.7.12,「駒沢オリンピック公園総合運動場（２９）第一球技場防球ネット設置工事」の工事費総括書、工事総括書、種別内訳書、代価明細表、諸経費計算書,18,1,,,,,,,,,,,,,,,オリンピック・パラリンピック準備局大会施設部施設整備第二課
9,H29.6.26,H29.7.13,平成２９年度東京都オリンピック・パラリンピック準備局組織概要平成２８年度東京都オリンピック・パラリンピック準備局組織概要,129,1,,,,,,,,,,,,,,,オリンピック・パラリンピック準備局総務部総務課
10,H29.7.4,H29.7.13,「東京武道館（２９）電気設備改修工事」の工事設計書,20,1,,,,,,,,,,,,,,,オリンピック・パラリンピック準備局大会施設部施設整備第二課
11,H29.7.7,H29.7.14,「東京武道館（２９）電気設備改修工事」の工事内訳及び細目別内訳,5,1,,,,,,,,,,,,,,,オリンピック・パラリンピック準備局大会施設部施設整備第二課
12,H29.7.14,H29.7.24,「調布庁舎（２９）内部改修機械設備工事」の表紙、工事内訳、工事別内訳、種目別内訳、科目別内訳、中科目別内訳、細目別内訳、別紙明細,21,1,,,,,,,,,,,,,,,オリンピック・パラリンピック準備局大会施設部施設整備第二課
13,H29.7.20,H29.7.31,２０１６年１月２７日、旧都立明治公園・四季の庭また霞岳広場一帯を独立行政法人・日本スポーツ振興センターへ無償貸与決定（１／２６）に伴う引き渡しに際し同公園の閉鎖作業にあたらせた業者、又警備等の発注内容、業務報告・仕様書などすべて。また同発注へ至る経緯など関係書類・記録媒体すべて。,,,,,1,,,,,,,,,,,当該公文書は、実施機関では作成及び取得しておらず存在しない。,オリンピック・パラリンピック準備局総務部総務課
