Ｎｏ,事項名,自律改革取組前の状況（現状・課題）,自律改革の取組内容（プロセス）,取組の成果今後の方向性,取組状況（平成２９年３月３１日時点）,局
1,会議等の公開,附属機関の会議を公開、議事録をホームページで公開するとともに、専門家会議の会議資料・議事録をホームページで公開している。,会議を原則公開とし、非公開の場合は、議事録・資料を特別な理由がない限り公開することとした。,附属機関の会議は、第２６期から会議資料もホームページで公開したほか、大会関連ボランティア分科会を公開とするなど、その他の会議についても取組を広げている。,実施済,オリンピック・パラリンピック準備局
2,大会準備経費の公表,ホームページには、大会に関する経費等がわかりやすく公表されている資料がなく、当局がどのような事業を行っているのかがわかりにくかった。,当局の事業費の公表に向けて、都民にわかりやすい資料となるよう検討を行うとともに、関係部署等と調整を行っている。,当局の事業費について、事項ごとにその概要及び予算額・決算額等を公表した。,実施済,オリンピック・パラリンピック準備局
3,施設整備状況の公開,ホームページには施設整備費が分かりやすく記載されている資料がなく、また情報量が少ないことから、誤解等を招くケースがあった。,分かりやすい情報の提供、充実に向けて検討を行った。,都が整備する新規恒久施設７施設の工期スケジュール、整備費について、ホームページで公開するとともに、関心の高い事項については、検討過程についても、積極的にホームページで公開した。問い合わせへの案内の円滑化、情報公開請求の減少、情報公開に関する職員の意識啓発にもつながった。／今後も引き続き、メディアや都民の関心の高い事項については、積極的にホームページで情報を公開していく。,実施済,オリンピック・パラリンピック準備局
4,ホームページの充実,都民やメディアからの問い合わせに対し、ホームページに公開していた内容では、十分対応できるものとはなっていなかった。,関心の高い個別の事項の積極的な情報公開に向けて、検討を行った。,問い合わせへの案内の円滑化、情報公開請求の減少、情報公開に関する職員の意識啓発にもつながった。／今後も引き続き、都民ニーズが高い情報の公開を推進していくとともに、あわせて、情報量の増加に伴うホームページの階層等の見直しも行っていく。,実施済,オリンピック・パラリンピック準備局
5,定例的なメディアへの情報発信,職員が意識している以上に、都民・国民・メディアのオリンピック・パラリンピックに対する関心が高く、メディアが必要とする情報を十分に発信できていなかった。,情報をタイミングよく丁寧にメディアへ伝えることで、都民へ効果的に情報発信できるよう検討を行った。,プレス発表資料による情報発信に加え、特にメディアの関心が高いテーマについて、直接担当者から丁寧に説明を行う記者レクを定期的に開催するとともに、メディア向けの競技会場視察ツアーを実施した。／メディアを通して都民の関心事を理解するとともに、タイムリーな情報提供、当局事業に対する正しい理解の深化につなげていくことができた。今後も引き続き取組を行っていく。,実施済,オリンピック・パラリンピック準備局
6,ＳＮＳ等を活用した情報発信,公式ＳＮＳに加え、イベントごとのアカウントがあるが、一体として管理を行っておらず、アカウント同士の連携（リツイート、シェア等）ができていないため、効果的な情報発信ができていなかった。,ＳＮＳの利用割合が高い若手職員による検討会（ＰＴ）を設置し、局のＳＮＳに求めるものは何か、率直な意見を聞き、あるべき姿を整理し、それに向けて何ができるのかについて議論を行った。,パラスポーツのファンサイト「ＴＥＡＭＢＥＹＯＮＤ」において、インフルエンサーを活用した情報発信を行った。／ＰＴで出た意見について、できるところから着手していくとともに、今後、検討した活用案をもとに、より効果的な情報発信を行っていく。インフルエンサーを活用した情報発信については、各事業における活用を推進していく。,実施中,オリンピック・パラリンピック準備局
7,多様な媒体を活用した情報発信,都民の認知度が低い、又は、興味・関心が高い事業やイベントについては、ホームページや東京都広報だけでなく、多様な媒体を活用して積極的に情報発信していく必要がある。,多様な媒体の活用方法について、検討を行った。,オリンピック・パラリンピックの気運醸成等において、テレビ、ラジオ、新聞、雑誌、フリーペーパー、交通広告等各種媒体を活用した情報発信を実施した。／引き続きテレビ・雑誌等、様々な媒体を活用した広報を実施していく。,実施済,オリンピック・パラリンピック準備局
8,組織委員会と連携した戦略的な広報の展開,都、組織委員会、関係団体がそれぞれ実施する広報について、連携が不十分な点があった。,組織委員会等と連携した広報戦略を策定し、局内においても定期的な広報連絡協議会を開催する。,広報戦略及び広報連絡協議会を活用し、組織委員会や局内等関係部署との連携を強化し、戦略的な広報を展開していく。,実施済,オリンピック・パラリンピック準備局
9,ＰＤＣＡサイクルによる事業の再構築,イベントへの参加がスポーツ実施に繋がっているか、イベント内容が都民のニーズに合っているか、事業効果を客観的に把握するために検証を行う必要がある。,各イベントにおけるアンケート項目の見直し、アンケート回収率を上げる工夫により、イベント来場者の意見を積極的に収集。アンケート内容の検証結果は、平成２９年度の事業内容へ反映する。,事業の効果検証について、チェック機能を強化したことにより、施策への反映を充実させることができた。今後も引き続き実施していく。,実施済,オリンピック・パラリンピック準備局
10,組織委員会との連携,業務遂行上、組織委員会との円滑な連携が欠かせないが、担当ラインによっては、緊密な情報共有や連携が不十分な場合がある。,既存の会議等の機会を活用し、情報の交換・共有化を行っている。また、管理職や担当など各レベルにおいて、日常業務の中で緊密に情報交換を行っている。,引き続き、より適切な情報共有を図るとともに、既存会議以外の機会も捉えてミーティングを設け、組織委員会との連携を強化していく。,実施中,オリンピック・パラリンピック準備局
11,局ポータルサイトの活用による情報共有,局ポータルサイトの活用、電子データによる局内情報共有が十分に図られていない。,局内情報共有に向けて検討を実施した。,局ポータルサイトを活用し、プレス資料をはじめとする局内資料の情報共有を行った。／今後も、局内で共有すべき資料について取組を拡大していく。,実施中,オリンピック・パラリンピック準備局
