"年月[西暦]","調査項目","設問","選択肢","件数[件]","(全体)[%]","(除不)[%]"
"202003","介護事業者に対する行政の支援について","Q21. 港区が今後介護保険事業を安定的に運営していくために、どのようなことが必要だと思いますか。必要だと思うものを上位３つまで、数字をご回答欄に記入ください。","介護報酬の引き上げ","117","88.6",
"202003","介護事業者に対する行政の支援について","Q21. 港区が今後介護保険事業を安定的に運営していくために、どのようなことが必要だと思いますか。必要だと思うものを上位３つまで、数字をご回答欄に記入ください。","低所得者の利用者支援策","37","28.0",
"202003","介護事業者に対する行政の支援について","Q21. 港区が今後介護保険事業を安定的に運営していくために、どのようなことが必要だと思いますか。必要だと思うものを上位３つまで、数字をご回答欄に記入ください。","総合的な介護予防のシステムづくり","24","18.2",
"202003","介護事業者に対する行政の支援について","Q21. 港区が今後介護保険事業を安定的に運営していくために、どのようなことが必要だと思いますか。必要だと思うものを上位３つまで、数字をご回答欄に記入ください。","地域でのケアマネジメント・システムの構築","30","22.7",
"202003","介護事業者に対する行政の支援について","Q21. 港区が今後介護保険事業を安定的に運営していくために、どのようなことが必要だと思いますか。必要だと思うものを上位３つまで、数字をご回答欄に記入ください。","事業者の不適切な行為を指導・摘発する仕組みづくり","2","1.5",
"202003","介護事業者に対する行政の支援について","Q21. 港区が今後介護保険事業を安定的に運営していくために、どのようなことが必要だと思いますか。必要だと思うものを上位３つまで、数字をご回答欄に記入ください。","事業者育成のための各種支援策","37","28.0",
"202003","介護事業者に対する行政の支援について","Q21. 港区が今後介護保険事業を安定的に運営していくために、どのようなことが必要だと思いますか。必要だと思うものを上位３つまで、数字をご回答欄に記入ください。","第三者評価の受審支援・受審後の経営改善支援","4","3.0",
"202003","介護事業者に対する行政の支援について","Q21. 港区が今後介護保険事業を安定的に運営していくために、どのようなことが必要だと思いますか。必要だと思うものを上位３つまで、数字をご回答欄に記入ください。","在宅高齢者を見守り・支援するための体制づくり","60","45.5",
"202003","介護事業者に対する行政の支援について","Q21. 港区が今後介護保険事業を安定的に運営していくために、どのようなことが必要だと思いますか。必要だと思うものを上位３つまで、数字をご回答欄に記入ください。","成年後見制度や地域福祉権利擁護事業の権利擁護の仕組みづくり","25","18.9",
"202003","介護事業者に対する行政の支援について","Q21. 港区が今後介護保険事業を安定的に運営していくために、どのようなことが必要だと思いますか。必要だと思うものを上位３つまで、数字をご回答欄に記入ください。","その他","0","0.0",
"202003","介護事業者に対する行政の支援について","Q21. 港区が今後介護保険事業を安定的に運営していくために、どのようなことが必要だと思いますか。必要だと思うものを上位３つまで、数字をご回答欄に記入ください。","無回答","6","4.5",

"港区保健福祉基礎調査（事業所）・単純集計表・介護事業者に対する行政の支援についてQ21","Ver202003",,,,,
