設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
社福法人,慶福育児会麻布乳児院,106-0047,港区南麻布５-１-２０,139.72212,35.65359,JGD2011,03-3446-5361,70
社福法人,東京都済生会中央病院附属乳児院,108-0073,港区三田１-４-１７,139.74274,35.65316,JGD2011,03-3451-8211,35
社福法人,二葉乳児院,160-0012,新宿区南元町４,139.72333,35.6819,JGD2011,03-3359-4578,40
赤十字,日本赤十字社医療センター附属乳児院,150-0012,渋谷区広尾４-１-１,139.71898,35.65362,JGD2011,03-3400-0147,70
社福法人,聖オディリアホーム乳児院,165-0031,中野区上鷺宮５-２８-２８,139.62689,35.7319,JGD2011,03-5971-8071,60
社福法人,聖友乳児院,166-0001,杉並区阿佐谷北３-２８-１９,139.63322,35.71104,JGD2011,03-3338-1849,42
社福法人,カリタスの園つぼみの寮,167-0021,杉並区井草４-１９-２８,139.61285,35.72827,JGD2011,03-3395-0121,45
社福法人,わんぱく乳児院,133-0061,江戸川区篠崎町１-２８-１６,139.90698,35.70831,JGD2011,03-6638-6322,35
社福法人,東京恵明学園乳児部,198-0051,青梅市友田町２-７１４ー１,139.29326,35.76876,JGD2011,0428-23-0241,35
社福法人,愛恵会乳児院,194-0212,町田市小山町３１９１-３,139.3615,35.59977,JGD2011,042-773-2806,55
社福法人,慈生会ナザレットの家,204-0024,清瀬市梅園３-１４-２３,139.50096,35.77177,JGD2011,042-496-7031,40
