"","H20(5494人)(％)","H19(5585人)(％)","H18(5071人)(％)","H17(6586人)(％)","H16(6886人)(％)"
"子どもの将来の教育にお金がかかること","45.8","42.2","39.8","39.2","39.1"
"子どもが小さいときの子育てにお金がかかること","25.5","22.2","22.1","20.1","18.1"
"自分の自由な時間がなくなること","22.9","22.3","22.9","22.5","21.6"
"子どもの相手は体力や根気がいること","22.6","21.0","20.0","20.6","20.1"
"自分が思ったように働けないこと","13.9","12.7","12.8","12.6","12.8"
"住居が手狭になり住まいにゆとりがもてないこと","9.7","8.8","9.4","9.6","8.5"
"子どもにどのように接すればよいかわからないこと","9.2","8.8","8.6","7.3","7.0"
"子どもを連れて外出するのが大変なこと","7.7","8.0","8.1","7.4","6.5"
"子ども自体を好きではないこと","1.1","1.1","1.3","0.9","1.3"
"その他","1.2","1.9","1.6","2.3","2.2"
"特にない","19.3","21.1","21.7","22.2","21.7"
"わからない","4.0","6.2","7.2","6.7","7.0"
