"交絡因子","人数（人）","割合（%）"
"性別／女性","24789","60.9"
"性別／男性","15935","39.1"
"年齢階級／0～5歳","21","0.1"
"年齢階級／6～11歳","948","2.3"
"年齢階級／12～15歳","1591","3.9"
"年齢階級／16～19歳","1240","3.0"
"年齢階級／20～39歳","7812","19.2"
"年齢階級／40～59歳","14408","35.4"
"年齢階級／60～74歳","9166","22.5"
"年齢階級／75歳以上","5538","13.6"
"新規更新／新規","907","2.2"
"新規更新／更新","39500","97.0"
"新規更新／不明等","317","0.8"
"重症度分類／軽症間欠型","5981","14.7"
"重症度分類／軽症持続型","14670","36.0"
"重症度分類／中等症持続型","12245","30.1"
"重症度分類／重症持続型","6608","16.2"
"重症度分類／最重症持続型","450","1.1"
"重症度分類／不明等","770","1.9"
"総計","40724","100.0"
