"サービスの種類","事項","単位","H23年度実績","H24年度見込み","H24年度実績","H25年度見込み","H25年度実績","H26年度見込み",
"訪問系サービス／居宅介護／重度訪問介護／同行援護／行動援護／重度障害者等包括支援","サービス量","時間","798589","881132","818672","934158","824953","990580",
"訪問系サービス／居宅介護／重度訪問介護／同行援護／行動援護／重度障害者等包括支援","利用者数","人","17562","19743","18232","20857","18845","22021",
"日中活動系サービス／生活介護","サービス量","人日分","318510","356043","348757","363206","359922","370368",
"日中活動系サービス／生活介護","利用者数","人","16205","18641","18406","19016","19036","19391",
"日中活動系サービス／自立訓練（機能訓練）","サービス量","人日分","3456","3749","3025","3828","3490","3898",
"日中活動系サービス／自立訓練（機能訓練）","利用者数","人","375","426","355","435","374","443",
"日中活動系サービス／自立訓練（生活訓練）","サービス量","人日分","9340","9176","12130","9368","13270","9546",
"日中活動系サービス／自立訓練（生活訓練）","利用者数","人","626","620","943","633","1072","645",
"日中活動系サービス／就労移行支援","サービス量","人日分","32591","35449","35432","36162","36284","36859",
"日中活動系サービス／就労移行支援","利用者数","人","2059","2287","2287","2333","2354","2378",
"日中活動系サービス／就労継続支援（Ａ型）","サービス量","人日分","9489","9720","13332","9899","18605","10096",
"日中活動系サービス／就労継続支援（Ａ型）","利用者数","人","510","543","754","553","988","564",
"日中活動系サービス／就労継続支援（Ｂ型）","サービス量","人日分","236701","254937","265673","260055","282118","265204",
"日中活動系サービス／就労継続支援（Ｂ型）","利用者数","人","14679","16238","17282","16564","18446","16892",
"日中活動系サービス／旧体系施設分（入所・通所）","サービス量","人日分","","","","","","",
"日中活動系サービス／旧体系施設分（入所・通所）","利用者数","人","2793","","","","","",
"日中活動系サービス／（計）","サービス量","人日分","","669074","678349","682518","713689","695971",
"日中活動系サービス／（計）","利用者数","人","37247","38755","40027","39534","42270","40313",
"日中活動系サービス／療養介護","利用者数","人","67","1218","1225","1228","1235","1238",
"日中活動系サービス／短期入所","サービス量","人日分","23835","24543","26760","26664","27833","28785",
"日中活動系サービス／短期入所","利用者数","人","3118","3187","3518","3463","3710","3738",
"居住系サービス／共同生活援助（グループホーム）／共同生活介護（ケアホーム）","利用者数","人","5921","6374","6635","6907","7321","7441",
"居住系サービス／施設入所支援","利用者数","人","7770","","","","","",
"居住系サービス／旧体系施設分（入所）","利用者数","人","1063","","","","","",
"居住系サービス／（計）","利用者数","人","8833","8807","8602","8740","8534","8656",
"相談支援／計画相談支援","利用者数","人","217","3051","935","6281","3219","9802",
"相談支援／地域移行支援","利用者数","人","","327","70","419","81","477",
"相談支援／地域定着支援","利用者数","人","","348","35","487","75","622",
