"","発見のきっかけから事実確認において困難だった点","２日（４８時間）未満／N＝２０５","２日～１週間未満／N＝８９","１週間～１ヶ月未満／N＝９０","１ヶ月以後／N＝３０","不明・無回答／N＝５１","合計／N＝４６５"
"1","キー機関や担当者が不明確だった(回答数)","5","2","2","0","1","10"
"1","キー機関や担当者が不明確だった(%)","2.4","2.2","2.2","","2.0","2.2"
"2","関係機関との連携が難しかった(回答数)","15","2","2","1","3","23"
"2","関係機関との連携が難しかった(%)","7.3","2.2","2.2","3.3","5.9","4.9"
"3","ケースワーク等介入技術の不足(回答数)","7","5","7","0","5","24"
"3","ケースワーク等介入技術の不足(%)","3.4","5.6","7.8","","9.8","5.2"
"4","対応のためのマンパワーの不足(回答数)","5","2","4","0","2","13"
"4","対応のためのマンパワーの不足(%)","2.4","2.2","4.4","","3.9","2.8"
"5","高齢者本人が介入を拒んだ(回答数)","20","14","13","10","3","60"
"5","高齢者本人が介入を拒んだ(%)","9.8","15.7","14.4","33.3","5.9","12.9"
"6","虐待者が介入を拒んだ(回答数)","64","34","31","14","15","158"
"6","虐待者が介入を拒んだ(%)","31.2","38.2","34.4","46.7","29.4","34.0"
"7","虐待者以外の家族が介入を拒んだ(回答数)","14","5","8","5","2","34"
"7","虐待者以外の家族が介入を拒んだ(%)","6.8","5.6","8.9","16.7","3.9","7.3"
"8","その他(回答数)","36","15","19","4","9","83"
"8","その他(%)","17.6","16.9","21.1","13.3","17.6","17.8"
"9","特になし(回答数)","82","33","25","6","16","162"
"9","特になし(%)","40.0","37.1","27.8","20.0","31.4","34.8"
"10","不明(回答数)","1","0","0","0","5","6"
"10","不明(%)","0.5","","","","9.8","1.3"
"0","無回答(回答数)","5","1","1","0","1","8"
"0","無回答(%)","2.4","1.1","1.1","","2.0","1.7"
