"","総数","知っている／人数","知っている／割合","知らない／人数","知らない／割合","無回答／人数","無回答／割合"
"１呼吸器症状、ぜん息／あり","807","714","88.5","70","8.7","23","2.9"
"１呼吸器症状、ぜん息／なし","2558","2259","88.3","242","9.5","57","2.2"
"２食物アレルギー／あり","733","682","93.0","32","4.4","19","2.6"
"２食物アレルギー／なし","2643","2302","87.1","279","10.6","62","2.3"
"３アトピー性皮膚炎／あり","677","599","88.5","52","7.7","26","3.8"
"３アトピー性皮膚炎／なし","2684","2369","88.3","260","9.7","55","2.0"
"４アレルギー性鼻炎／あり","710","620","87.3","62","8.7","28","3.9"
"４アレルギー性鼻炎／なし","2646","2344","88.6","250","9.4","52","2.0"
"５アレルギー性結膜炎／あり","288","255","88.5","26","9.0","7","2.4"
"５アレルギー性結膜炎／なし","3052","2696","88.3","284","9.3","72","2.4"
"６じんましん／あり","694","638","91.9","37","5.3","19","2.7"
"６じんましん／なし","2665","2332","87.5","273","10.2","60","2.3"
"７その他のアレルギー疾患／あり","91","80","87.9","8","8.8","3","3.3"
"７その他のアレルギー疾患／なし","3196","2827","88.5","293","9.2","76","2.4"
"何らかのアレルギーの症状または診断／あり","1996","1782","89.3","159","8.0","55","2.8"
"何らかのアレルギーの症状または診断／なし","1435","1251","87.2","156","10.9","28","2.0" 
