"畜種","処分内容","処分実頭数","豚丹毒","サルモネラ症","豚赤痢","放射菌病","萎縮性鼻炎","トキソプラズマ病","ジストマ病","その他寄生虫病","膿毒症","敗血症","尿毒症","黄疸","水腫","腫瘍","白血病","その他※","計"
"牛","とさつ禁止","0","","0","","","","0","","0","0","0","0","0","0","0","0","0","0"
"牛","全部廃棄","84","","0","","0","","0","0","0","1","4","11","9","0","1","58","0","84"
"牛","一部廃棄","75801","","","","8","","","61","2","","","","0","4574","17","","93258","97920"
"こ牛","とさつ禁止","0","","0","","","","0","","0","0","0","0","0","0","0","0","0","0"
"こ牛","全部廃棄","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0"
"こ牛","一部廃棄","0","","","","0","","","0","0","","","","0","0","0","","0","0"
"馬","とさつ禁止","0","","0","","","","0","","0","0","0","0","0","0","0","0","0","0"
"馬","全部廃棄","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0"
"馬","一部廃棄","0","","","","0","","","0","0","","","","0","0","0","","0","0"
"豚","とさつ禁止","16","16","0","0","","0","0","","0","0","0","0","0","0","0","0","0","16"
"豚","全部廃棄","93","16","0","0","0","0","0","0","0","44","28","0","1","1","3","0","0","93"
"豚","一部廃棄","114435","","","","0","","","0","0","","","","0","756","12","","118199","118967"
"めん羊","とさつ禁止","0","","0","","","","0","","0","0","0","0","0","0","0","0","0","0"
"めん羊","全部廃棄","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0"
"めん羊","一部廃棄","0","","","","0","","","0","0","","","","0","0","0","","0","0"
"山羊","とさつ禁止","0","","0","","","","0","","0","0","0","0","0","0","0","0","0","0"
"山羊","全部廃棄","0","","0","","0","","0","0","0","0","0","0","0","0","0","0","0","0"
"山羊","一部廃棄","3","","","","0","","","0","0","","","","0","0","0","","4","4"
"合計","とさつ禁止","16","16","0","0","","0","0","","0","0","0","0","0","0","0","0","0","16"
"合計","全部廃棄","177","16","0","0","0","0","0","0","0","45","32","11","10","1","4","58","0","177"
"合計","一部廃棄","190239","","","","8","","","61","2","","","","0","5330","29","0","211461","216891"
