"上段：度数／下段：%","n=","３０分未満","３０分～１時間未満","１時間以上","無回答","平均値"
"ＴＯＴＡＬ","3969","222","1655","373","1719","35.8"
"ＴＯＴＡＬ","100","5.6","41.7","9.4","43.3",""
"性別・年代／女性計","3618","217","1551","327","1523","35.5"
"性別・年代／女性計","100","6.0","42.9","9.0","42.1",""
"性別・年代／女性２０代","1678","81","635","191","771","37.7"
"性別・年代／女性２０代","100","4.8","37.8","11.4","45.9",""
"性別・年代／女性３０代","987","69","463","78","377","34.2"
"性別・年代／女性３０代","100","7.0","46.9","7.9","38.2",""
"性別・年代／女性４０代","662","52","322","39","249","33.0"
"性別・年代／女性４０代","100","7.9","48.6","5.9","37.6",""
"性別・年代／女性５０代以上","272","14","122","18","118","34.5"
"性別・年代／女性５０代以上","100","5.1","44.9","6.6","43.4",""
"性別・年代／男性計","224","3","39","30","152","44.8"
"性別・年代／男性計","100","1.3","17.4","13.4","67.9",""
"性別・年代／男性２０代","135","3","26","13","93","39.9"
"性別・年代／男性２０代","100","2.2","19.3","9.6","68.9",""
"性別・年代／男性３０代以上","88","0","13","17","58","51.7"
"性別・年代／男性３０代以上","100","0.0","14.8","19.3","65.9",""
"性別・年代／無回答","127","2","65","16","44","36.4"
"性別・年代／無回答","100","1.6","51.2","12.6","34.6",""
