"上段：度数／下段：%","n=","１年以下","２～３年","４～５年","６～９年","１０～１９年","２０年以上","無回答","平均値"
"ＴＯＴＡＬ","8214","1786","2231","1712","1018","1114","174","179","5.1"
"ＴＯＴＡＬ","100","21.7","27.2","20.8","12.4","13.6","2.1","2.2",""
"性別・年代／女性計","7526","1633","2013","1547","960","1063","153","157","5.2"
"性別・年代／女性計","100","21.7","26.7","20.6","12.8","14.1","2.0","2.1",""
"性別・年代／女性２０代","3297","947","1234","876","184","9","1","46","2.9"
"性別・年代／女性２０代","100","28.7","37.4","26.6","5.6","0.3","0.0","1.4",""
"性別・年代／女性３０代","1612","260","271","239","295","514","4","29","6.9"
"性別・年代／女性３０代","100","16.1","16.8","14.8","18.3","31.9","0.2","1.8",""
"性別・年代／女性４０代","1560","310","333","264","277","269","74","33","6.2"
"性別・年代／女性４０代","100","19.9","21.3","16.9","17.8","17.2","4.7","2.1",""
"性別・年代／女性５０代以上","1005","108","160","158","196","263","72","48","8.4"
"性別・年代／女性５０代以上","100","10.7","15.9","15.7","19.5","26.2","7.2","4.8",""
"性別・年代／男性計","380","103","134","107","13","9","2","12","3.1"
"性別・年代／男性計","100","27.1","35.3","28.2","3.4","2.4","0.5","3.2",""
"性別・年代／男性２０代","281","84","103","81","4","0","0","9","2.7"
"性別・年代／男性２０代","100","29.9","36.7","28.8","1.4","0.0","0.0","3.2",""
"性別・年代／男性３０代以上","99","19","31","26","9","9","2","3","4.5"
"性別・年代／男性３０代以上","100","19.2","31.3","26.3","9.1","9.1","2.0","3.0",""
"性別・年代／無回答","308","50","84","58","45","42","19","10","6.3"
"性別・年代／無回答","100","16.2","27.3","18.8","14.6","13.6","6.2","3.2",""
