"No","性別","年齢","保育士資格の取得方法","問9　保育士としての仕事全体の「やりがい度」で「大変満足」を選択した人の主な意見（記入者計1090人）"
"1","女性","20～24歳","短期大学の保育士養成課程","子どもの成長を身近に感じられる。子どもの笑顔に元気をもらえる。将来の未来を担っていく子どもたちの、人格形成においてとても重要な基礎の部分が出来上がる乳幼児期に、基本的信頼感や、自己肯定感を育んでいくことの必要性を感じているため。"
"2","女性","20～24歳","短期大学の保育士養成課程","責任があるが、その分日々子どもたちの成長を側で見守ることができ、また子どもたちとの信頼関係ができていく所が嬉しい。"
"3","女性","20～24歳","大学の保育士養成課程","保育士が全力でぶつかれば子どももそれに応えてくれるので、もっといい保育をしようという意欲に繋がる。子どもの反応はその日により違い、ワンパターンの対応ではうまくいかない。あれこれ考えて対応するのがおもしろい。"
"4","女性","20～24歳","大学の保育士養成課程","保育士になってまだ1年経っていませんが、子どもたちの成長を見れることが何度もありました。向き合い続ければ必ず子どもたちはこたえてくれます。また、私自身も変わりたいと思い頑張ることが出来ます。"
"5","女性","25～29歳","専門（専修）学校の保育士養成課程","子どもたちの成長がよく分かる保育カリキュラムを取り入れているので、担任をしていてもとてもやりがいのある職場です。"
"6","女性","25～29歳","短期大学の保育士養成課程","現在、公立保育園で嘱託職員をしております。最新の研修が充実しており、就業時間（サービス残業なし）、就業日数等が絶対的に守られ、福利厚生が守られている公立職員だからこそ“やりがい”を持てます。私立はそういった保障がなくどんなに感情的な“やりがい”を持てても健康を保ち継続していく事が極めて困難です。"
"7","女性","25～29歳","短期大学の保育士養成課程","日々子ども達と過ごすことで信頼関係が築かれ、子ども達と過ごす時間がとても充実しています。毎日成長していく様子を肌で感じ、悩むことも多いがその倍成長したと感じる時の感動は大きいです。保育士間で話し合い、日々の保育をしていく中で保護者の方に感謝されたり共に子どもへの思いを共有し合えることが嬉しいです。"
"8","女性","25～29歳","通信教育等で学んだ後、保育士試験","子育てをサポートすることで家庭や社会が明るくなればいいと思って働いている。色んな家庭の身近にいてすぐ手を差しだせる職場にいることにやりがいを感じている。"
"9","女性","30～34歳","専門（専修）学校の保育士養成課程","大変な事、悲しい事（家庭状況、発達など）もたくさんありますが子どもたちの成長を実感できたり、またそれを先生方と喜びを共有できた時にやりがいを感じます。"
"10","女性","30～34歳","専門（専修）学校の保育士養成課程","非常勤職員だが、正規職員と同じ仕事内容で、まかされることも多いから。資質向上へとつながるから。"
"11","女性","30～34歳","短期大学の保育士養成課程","子育て中ですが、子育ても経験し、親の気持ちも理解できるので、保育士としても色々なことに理解できるようになってきたと思います。子ども達が笑顔で頑張っていると、こちらも頑張ろうと思います。職場もとても良い雰囲気なので、続けていけたらと思っています。"
"12","女性","30～34歳","短期大学の保育士養成課程","子育てしながら、働く保護者と同じ（近い）状況の中、同じ様な苦労を感じながらも、私たちの想う保育を日々実践、学んでいける。"
"13","女性","30～34歳","短期大学の保育士養成課程","自分自身の技術を高められる機会が沢山ある／職場の雰囲気が良く、目指すところが皆同じで明確／仕事は大変だが、楽しいと感じられることが多い。"
"14","女性","30～34歳","大学の保育士養成課程","子どもの日々の成長や喜びを一緒に感じられる／子どもから信頼や愛情を返してもらえる／未来を築いているという希望がある"
"15","女性","30～34歳","大学の保育士養成課程","自分のやりたい仕事につけ、楽しいと思いながら働けるのは幸せなことだと思う。厳しい現実の中、難しい保護者や、対応も多々あるが、子どもの笑顔に支えられる。"
"16","女性","30～34歳","通信教育等で学んだ後、保育士試験","子ども達の「できた!!」という喜びの場に立ち会えるから。また、父兄が働く時間等を確保する手助けができるから。自分も会社員をしているため、その時間の大切さを理解できるので。"
"17","女性","30～34歳","通信教育等で学んだ後、保育士試験","今まで培ってきた知識や知恵、対人関係などが試される職種のため、日々努力が必要だが園児の笑顔や成長を間近で感じることができ、生きる事の大切さを学べる。"
"18","女性","30～34歳","通信教育等で学んだ後、保育士試験","子どもたちの成長を間近で感じることができ、また、上の学年の子どもと接すると、自分の子どももこんな風に成長していくのかと勉強になることも多く、日々の発見がとても面白く、やりがいを感じています。"
"19","女性","35～39歳","専門（専修）学校の保育士養成課程","専門職であるために、勤続年数が増える程、個人の専門性における技術の上逹を常に感じることができる職種であるために個人の満足度は一般的に高くなると思われるし、自分自身にとってもそうである。"
"20","女性","35～39歳","短期大学の保育士養成課程","自分が子育てする前に仕事をしていた時よりも、子育てを経験した今のほうが子供と接しやすく、保育士としての役割りの理解が高まったからだと思います。"
"21","女性","35～39歳","通信教育等で学んだ後、保育士試験","自分が子育てした時とは別の視点で子供達の成長を近くで感じられること。子供達の笑顔にいやされること。ご両親から感謝の気持を伝えられること。子供の純粋な心が大人では考えつかない発想や発見を教えてくれること。"
"22","女性","35～39歳","通信教育等で学んだ後、保育士試験","子育てや預け先に困っている保護者をサポートできる仕事に就くことが目標で保育士になり、実際にそういう形で働くことができているのでやりがいがあります。"
"23","女性","35～39歳","通信教育等で学んだ後、保育士試験","人間の大事な基礎の部分を育てる仕事である。子供1人1人違って、保育士としてこの子にどんなことが出来るか、日々考え悩むが、悩んだ分返ってくる。これが正しいという正解はなく、子ども1人1人に合わせて対応していく、成長に終わりのない仕事です。"
"24","女性","40～44歳","専門（専修）学校の保育士養成課程","子育てもひと段落して、職場（就職）復帰しました。結婚前は幼稚園勤務。保育士ははじめてです。子ども達と楽しく過せる事～とても嬉しく思っています。"
"25","女性","40～44歳","短期大学の保育士養成課程","子育ての為、一度退職後、（地元で）東京に引越し、パートとして再就職しました。3人の子がいる為、就業面でも様々な配慮をして頂いており感謝しています。"
"26","女性","40～44歳","短期大学の保育士養成課程","自営業として自宅兼で保育室を始めたので、細かな対応が可能なことも多く、保護者の方々に入園して良かったと言っていただけている。卒園した子ども達が時々遊びに来て小さな子の面倒を見てくれている。子どもたちの成長を真近で見られたり、共に過ごせる時間は感動や喜びがたくさんある。"
"27","女性","40～44歳","通信教育等で学んだ後、保育士試験","パートだが、リーダー職や自らの考えを言い合える職場なので、勉強しながらたくさんのことを経験できる。"
"28","女性","40～44歳","通信教育等で学んだ後、保育士試験","自分の子育ての経験もふまえながら、人様（特に子育てに悩んでいる）母親の役に立っていると思うから"
"29","女性","45～49歳","専門（専修）学校の保育士養成課程","主に乳児を担当しているが、任せられている感はある。認可外だが、より勉強し1人1人が快適にすごせるよう、保護者の力になれるよう努力をすること、にやりがいを感じている。"
"30","女性","45～49歳","専門（専修）学校の保育士養成課程","派遣でも働けるようになったので、自分の予定に合せ働き方を選べる"
"31","女性","45～49歳","大学の保育士養成課程","保育士は「保育園の先生」と思っていたが、それ以外にも必要とされる場所があり、障害児であったり、環境（生活）に恵まれない子であったり、たくさんの子どもたちのために働ける仕事で、やりがいは大いに感じるが、もっと評価されてよいのではないかと思う。"
"32","女性","45～49歳","通信教育等で学んだ後、保育士試験","自分は40すぎてから国家試験でとったので、まだまだ修業中。勉強することも山ほどあり、奥の深いこの仕事に非常にやりがいを感じています。"
"33","女性","50～54歳","専門（専修）学校の保育士養成課程","非常勤として1日置きに働いているが職場の人間関係がとても良いので働きやすい。人間関係が良好だと自分の考えで子供と接する事が出来るので働かされている…という感じではなく、働いてる…というよりすごしている感じです。子供達も慕ってくれ、楽しいです。"
"34","女性","50～54歳","専門（専修）学校の保育士養成課程","常勤、非常勤、わけ隔てなく、同じ職場の一員として、働ける事に、やり甲斐を感じています。職員間だけでなく、保護者の皆様も気持ち良く接して頂ける。園の雰囲気がとても良く、よい保育につながっていると実感しています。"
"35","女性","50～54歳","専門（専修）学校の保育士養成課程","保育士の仕事は無条件でやりがいを感じますが、家庭福祉員となって3年目、この仕事が一番やりがいを感じます。幼稚園、保育園、ベビールーム、ベビーシッター、ファミリーサポートと、色々な立場で子どもや保護者と接してきましたが、家庭福祉員が一番理想的な保育ができています。（日々の保育内容、子どもの人数、保護者との関係において）"
"36","女性","50～54歳","短期大学の保育士養成課程","子育て経験後にまた改めて乳幼児と向き合い、新しい発見もあり、よい深い思いで子供達の様子を受け止められる、パワーをもらえる。"
"37","女性","60～64歳","短期大学の保育士養成課程","緊急一時や正規保育士欠の時のパートとして週2～3日の勤務です。パートですので正規の職員の方より一歩離れたところからの目線で全体を見ることができる気がします。（旦その日により持ち場が変わることがあるのでその時は切りかえがむずかしいこともあります）自分が現役だった頃よりかなり改善されているようにも思います。"
"38","女性","60～64歳","通信教育等で学んだ後、保育士試験","現場では最高齢、パート（早番、遅番）の短い時間の関わりの中でも、園長始め、職員、父兄からも、それなりに遇して頂き「やりがい、生きがい」を得ている。又、孫、子供達（職員）の異世代から得る情報は貴重。"
