"順位","制限または除去食物","平成26年度(人数)","平成26年度(％)","平成26年度／平成21年度調査と比べた割合の変化"
"1","卵","235","63.7","1.3"
"2 △","落花生","75","20.3","8.4"
"3 ▼","牛乳","70","19.0","-7.8"
"4 △","そば","45","12.2","1.0"
"5 ー","カシューナッツ","43","11.7",""
"6 ▼","いくら","37","10.0","-5.3"
"7 △","くるみ","33","8.9","2.8"
"8 △","キウイ","24","6.5","2.8"
"9 ▼","えび","22","6.0","-3.5"
"10 ▼","小麦","21","5.7","-6.5"
"11 ▼","かに","20","5.4","-2.1"
"12 ▼","やまいも","19","5.1","-0.3"
"12 △","ごま","19","5.1","1.4"
"14 ▼","大豆","11","3.0","-3.4"
"15 ▼","さば","7","1.9","-2.8"
"16 △","あわび","6","1.6","-0.8"
"17 △","牛肉","5","1.4","-0.6"
"17 △","さけ","5","1.4","-0.3"
"19 △","バナナ","4","1.1","-0.3"
"20 ▼","いか","3","0.8","-2.6"
"21 ▼","オレンジ","2","0.5","-0.9"
"21 ▼","鶏肉","2","0.5","-4.2"
"21 △","豚肉","2","0.5","-0.2"
"21 △","もも","2","0.5","0.2"
"21 △","グミ・ゼラチン","2","0.5","-0.2"
"26 ▼","まつたけ","0","0.0","-0.7"
"26 ▼","りんご","0","0.0","-1.4"
"28 ▼","米","0","0.0","-2.4"
"","その他","54","14.6","2.1"
