"上段：度数／下段：%","n=","正規職員","有期契約職員フルタイム","有期契約職員パートタイム","無回答"
"ＴＯＴＡＬ","2871","1438","386","828","219"
"ＴＯＴＡＬ","100","50.1","13.4","28.8","7.6"
"性別・年代／女性計","2641","1326","360","761","194"
"性別・年代／女性計","100","50.2","13.6","28.8","7.3"
"性別・年代／女性２０代","634","402","93","97","42"
"性別・年代／女性２０代","100","63.4","14.7","15.3","6.6"
"性別・年代／女性３０代","961","456","154","290","61"
"性別・年代／女性３０代","100","47.5","16.0","30.2","6.3"
"性別・年代／女性４０代","590","247","68","234","41"
"性別・年代／女性４０代","100","41.9","11.5","39.7","6.9"
"性別・年代／女性５０代以上","425","208","42","128","47"
"性別・年代／女性５０代以上","100","48.9","9.9","30.1","11.1"
"性別・年代／男性計","86","51","12","17","6"
"性別・年代／男性計","100","59.3","14.0","19.8","7.0"
"性別・年代／男性２０代","51","34","5","8","4"
"性別・年代／男性２０代","100","66.7","9.8","15.7","7.8"
"性別・年代／男性３０代以上","35","17","7","9","2"
"性別・年代／男性３０代以上","100","48.6","20.0","25.7","5.7"
"性別・年代／無回答","144","61","14","50","19"
"性別・年代／無回答","100","42.4","9.7","34.7","13.2"
