"支出月","科目","支出目的","支出額(円)","支出相手先"
"4","交付金交付","介護職員処遇改善交付金（4月分）","576299484","東京都国民健康保険団体連合会"
"4","委託料","交付金支払関連事務","476680","東京都国民健康保険団体連合会"
"4","旅費","説明会派遣職員旅費","3560","派遣職員"
"4","人件費","労働派遣（4月）","1087912","(株)ＫＤＤＩエボルバ"
"4","賃借料","説明会会場使用料","275900","ＪＮ指定管理者共同組合"
"5","交付金交付","介護職員処遇改善交付金（5月分）","1187176585","東京都国民健康保険団体連合会"
"5","委託料","交付金支払関連事務","547465","東京都国民健康保険団体連合会"
"5","印刷製本費等","4月説明会資料印刷","404250","(社福）東京コロニー"
"5","人件費","労働派遣（5月）","2328776","(株)ＫＤＤＩエボルバ"
"6","交付金交付","介護職員処遇改善交付金（6月分）","1005987139","東京都国民健康保険団体連合会"
"6","委託料","交付金支払関連事務","555865","東京都国民健康保険団体連合会"
"6","人件費","労働派遣（6月）","3164758","(株)ＫＤＤＩエボルバ"
"7","交付金交付","介護職員処遇改善交付金（7月分）","959258104","東京都国民健康保険団体連合会"
"7","委託料","交付金支払関連事務","566975","東京都国民健康保険団体連合会"
"7","人件費","労働派遣（7月）","3416810","(株)ＫＤＤＩエボルバ"
"8","交付金交付","介護職員処遇改善交付金（8月分）","957388243","東京都国民健康保険団体連合会"
"8","委託料","交付金支払関連事務","567775","東京都国民健康保険団体連合会"
"8","人件費","労働派遣（8月）","1215569","(株)ＫＤＤＩエボルバ"
"8","賃借料","ロッカー等借入","91140","(株)創環"
"9","交付金交付","介護職員処遇改善交付金（9月分）","986830385","東京都国民健康保険団体連合会"
"9","委託料","交付金支払関連事務","569195","東京都国民健康保険団体連合会"
"9","報償費","キャリアパス研修会講師謝礼","160000","研修会講師"
"9","旅費","説明会派遣職員旅費","4450","派遣職員"
"9","印刷製本費等","承認通知書公印刷込み","22050","(社福）東京コロニー"
"9","人件費","労働派遣（9月）","1116092","(株)ＫＤＤＩエボルバ"
"9","人件費","労働派遣（9月）(2)","1098804","(株)ｹｰﾃﾞｰｼｰ"
"9","賃借料","説明会会場使用料","166570","ＪＮ指定管理者共同組合"
"10","交付金交付","介護職員処遇改善交付金（10月分）","990883722","東京都国民健康保険団体連合会"
"10","委託料","交付金支払関連事務","569665","東京都国民健康保険団体連合会"
"10","委託料","システム改修費","110250","佐賀電算センター"
"10","印刷製本費等","９月説明会資料印刷","176905","(社福）東京コロニー"
"10","人件費","労働派遣（10月）","1327591","(株)ＫＤＤＩエボルバ"
"10","人件費","労働派遣（10月）(2)","1250156","(株)ｹｰﾃﾞｰｼｰ"
"11","交付金交付","介護職員処遇改善交付金（11月分）","969086425","東京都国民健康保険団体連合会"
"11","委託料","交付金支払関連事務","571400","東京都国民健康保険団体連合会"
"11","委託料","システム改修費","1562295","佐賀電算センター"
"11","人件費","労働派遣（11月）","1273653","(株)ＫＤＤＩエボルバ"
"12","交付金交付","介護職員処遇改善交付金（12月分）","993771753","東京都国民健康保険団体連合会"
"12","委託料","交付金支払関連事務","573375","東京都国民健康保険団体連合会"
"12","人件費","労働派遣（12月）","2059897","(株)ＫＤＤＩエボルバ"
"12","負担金補助及交付金","補助金交付","27289000","文京区外４区市"
"1","交付金交付","介護職員処遇改善交付金（1月分）","984359481","東京都国民健康保険団体連合会"
"1","委託料","交付金支払関連事務","575200","東京都国民健康保険団体連合会"
"1","人件費","労働派遣（1月）","2033482","(株)ＫＤＤＩエボルバ"
"1","負担金補助及交付金","補助金交付","124588000","墨田区外１１市町"
"2","交付金交付","介護職員処遇改善交付金（2月分）","1007965669","東京都国民健康保険団体連合会"
"2","委託料","交付金支払関連事務","577645","東京都国民健康保険団体連合会"
"2","人件費","労働派遣（2月）","1925878","(株)ＫＤＤＩエボルバ"
"3","交付金交付","介護職員処遇改善交付金（3月分）","981742465","東京都国民健康保険団体連合会"
"3","委託料","交付金支払関連事務","579225","東京都国民健康保険団体連合会"
"3","人件費","労働派遣（3月）","1059111","(株)ＫＤＤＩエボルバ"
"3","負担金補助及交付金","補助金交付","17640000","多摩市"
"4","委託料","交付金支払関連事務","88200","東京都国民健康保険団体連合会"
"4","委託料","システム改修費","263000","東京都国民健康保険団体連合会"
"4","負担金補助及交付金","補助金交付","168581000","中央区外１２区市"
"4","負担金補助及交付金","補助金交付","25000000","立川市"
"5","交付金返納","介護報酬の過誤調整等に基づく交付金の返納","(1,186,045)","交付金受給事業者"
"5","交付金返納","実績報告による返納金等","(53,534,976)","交付金受給事業者"
"5","負担金補助及交付金","補助金交付","205981000","江東区外１８区市"
"5","負担金補助及交付金","補助金交付","433200000","（福）竹清会外８法人"
"5","負担金補助及交付金","補助金交付","94690000","（福）みどり福祉会、（福）共助会"
"年間","郵券","申請の案内、承認通知書送付など","842460","郵便事業(株)"
"","","","12678257418",""
