"23区","部署係名","電話番号"
"千代田区","教育委員会事務局子ども部子育て推進課手当・医療係","03-3264-2111"
"中央区","福祉保健部障害者福祉課障害者福祉係","03-3543-0211"
"港区","子ども家庭支援部子ども家庭課子ども給付係","03-3578-2111"
"新宿区","子ども家庭部子ども家庭課育成支援係","03-3209-1111"
"文京区","子ども家庭部子育て支援課児童給付係","03-3812-7111"
"台東区","区民部子育て・若者支援課給付担当","03-5246-1111"
"墨田区","子ども・子育て支援部子育て支援課児童手当・医療助成係","03-5608-1111"
"江東区","こども未来部こども家庭支援課給付係","03-3647-9111"
"品川区","子ども未来部子育て応援課手当・医療助成係","03-3777-1111"
"目黒区","子育て支援部子育て支援課手当・医療係","03-3715-1111"
"大田区","こども家庭部子育て支援課児童育成係","03-5744-1111"
"世田谷区","子ども・若者部子ども育成推進課子ども医療・手当係","03-5432-1111"
"世田谷区","世田谷総合支所保健福祉センター子ども家庭支援課","03-5432-2311"
"世田谷区","北沢総合支所保健福祉センター子ども家庭支援課","03-5478-8000"
"世田谷区","玉川総合支所保健福祉センター子ども家庭支援課","03-3702-1792"
"世田谷区","砧総合支所保健福祉センター子ども家庭支援課","03-3482-1321"
"世田谷区","烏山総合支所保健福祉センター子ども家庭支援課","03-3326-1202"
"渋谷区","子ども家庭部子ども青少年課子育て給付係","03-3463-1211"
"中野区","子ども教育部子育て支援課児童手当・子ども医療費助成係","03-3389-1111"
"杉並区","保健福祉部障害者施策課障害者福祉係","03-3312-2111"
"豊島区","子ども家庭部子育て支援課児童給付グループ","03-3981-1111"
"北区","教育委員会事務局子ども未来部子ども未来課子育て給付係","03-3908-1111"
"荒川区","子育て支援部子育て支援課子育て給付係","03-3802-3111"
"板橋区","子ども家庭部子ども政策課子どもの手当医療係","03-3964-1111"
"板橋区","(区民文化部)赤塚支所住民サービス係","03-3938-5113"
"練馬区","こども家庭部子育て支援課児童手当係","03-3993-1111"
"足立区","福祉部親子支援課親子支援係","03-3880-5111"
"葛飾区","子育て支援部子育て支援課児童手当係","03-3695-1111"
"江戸川区","福祉部障害者福祉課自立援助係","03-3652-1151"
