"上段：度数／下段：%","n=","大変満足","満足","やや満足","どちらともいえない","やや不満","不満","非常に不満","無回答","平均値"
"ＴＯＴＡＬ","8214","2042","2407","1225","986","632","264","87","571","1.4"
"ＴＯＴＡＬ","100","24.9","29.3","14.9","12.0","7.7","3.2","1.1","7.0",""
"性別・年代／女性計","7526","1906","2234","1121","892","571","236","74","492","1.4"
"性別・年代／女性計","100","25.3","29.7","14.9","11.9","7.6","3.1","1.0","6.5",""
"性別・年代／女性２０代","3297","735","962","517","473","287","107","33","183","1.3"
"性別・年代／女性２０代","100","22.3","29.2","15.7","14.3","8.7","3.2","1.0","5.6",""
"性別・年代／女性３０代","1612","388","455","220","205","148","73","29","94","1.3"
"性別・年代／女性３０代","100","24.1","28.2","13.6","12.7","9.2","4.5","1.8","5.8",""
"性別・年代／女性４０代","1560","514","455","200","146","82","35","8","120","1.7"
"性別・年代／女性４０代","100","32.9","29.2","12.8","9.4","5.3","2.2","0.5","7.7",""
"性別・年代／女性５０代以上","1005","257","341","177","65","53","20","4","88","1.7"
"性別・年代／女性５０代以上","100","25.6","33.9","17.6","6.5","5.3","2.0","0.4","8.8",""
"性別・年代／男性計","380","69","90","58","60","38","22","8","35","1.0"
"性別・年代／男性計","100","18.2","23.7","15.3","15.8","10.0","5.8","2.1","9.2",""
"性別・年代／男性２０代","281","59","64","45","45","25","15","6","22","1.1"
"性別・年代／男性２０代","100","21.0","22.8","16.0","16.0","8.9","5.3","2.1","7.8",""
"性別・年代／男性３０代以上","99","10","26","13","15","13","7","2","13","0.7"
"性別・年代／男性３０代以上","100","10.1","26.3","13.1","15.2","13.1","7.1","2.0","13.1",""
"性別・年代／無回答","308","67","83","46","34","23","6","5","44","1.4"
"性別・年代／無回答","100","21.8","26.9","14.9","11.0","7.5","1.9","1.6","14.3",""
