"","持続性せき／OR","持続性せき／p値","持続性たん／OR","持続性たん／p値","ぜい鳴／OR","ぜい鳴／p値","ぜん息様症状／OR","ぜん息様症状／p値","鼻炎様症状一年中／OR","鼻炎様症状一年中／p値","鼻炎様症状春／OR","鼻炎様症状春／p値"
"＜調査年＞","","0.901","","0.680","","0.903","","0.600","","0.833","","0.063"
"＜調査年＞／7年度","-0.104","","0.105","","-0.068","","0.084","","-0.026","","0.072",""
"＜調査年＞／8年度","0.000","","-0.184","","-0.010","","-0.063","","0.041","","-0.129",""
"＜調査年＞／9年度","0.031","","0.145","","0.057","","-0.063","","-0.079","","0.000",""
"＜調査年＞／10年度","0.119","","0.061","","-0.022","","0.062","","-0.002","","-0.056",""
"＜調査年＞／11年度","-0.046","","-0.126","","0.043","","-0.021","","0.066","","0.113",""
"＜地区＞","","0.702","","0.604","","0.419","","0.211","","0.297","","0.000"
"＜地区＞／青梅市","-0.202","","0.170","","-0.047","","-0.058","","-0.125","","0.376",""
"＜地区＞／東大和市","-0.264","","-0.220","","0.172","","0.091","","-0.216","","-0.099",""
"＜地区＞／八王子市","0.126","","-0.076","","0.111","","-0.085","","0.016","","0.383",""
"＜地区＞／中野区","0.160","","0.046","","0.018","","0.141","","0.044","","0.004",""
"＜地区＞／豊島区","0.032","","-0.183","","-0.143","","0.101","","0.050","","-0.129",""
"＜地区＞／品川区","0.066","","-0.037","","0.037","","0.007","","0.088","","-0.326",""
"＜地区＞／足立区","0.081","","0.300","","-0.148","","-0.199","","0.144","","-0.209",""
"学年","0.87","0.132","0.99","0.944","0.82","0.000","1.02","0.675","1.05","0.306","1.14","0.000"
"転居あり","1.55","0.004","1.29","0.145","0.88","0.158","1.31","0.001","1.10","0.273","1.03","0.665"
"兄弟数３人以上","1.29","0.090","1.34","0.096","0.94","0.475","1.08","0.350","1.19","0.045","0.87","0.020"
"母親の喫煙歴","1.02","0.917","1.00","0.992","1.21","0.084","0.84","0.089","1.11","0.315","0.90","0.166"
"二車線道路直面","1.58","0.006","1.57","0.017","1.03","0.815","1.22","0.031","1.16","0.129","0.92","0.237"
"鉄筋住宅","0.86","0.327","0.98","0.927","0.91","0.320","1.06","0.491","1.04","0.661","1.01","0.932"
"非排気型暖房器具使用","1.07","0.666","0.75","0.092","1.33","0.002","1.17","0.048","1.20","0.036","1.07","0.285"
"２歳以前の呼吸器疾患","2.21","0.000","3.20","0.000","1.21","0.113","2.92","0.000","1.65","0.000","1.43","0.000"
"母乳栄養","1.06","0.709","1.06","0.752","1.00","0.959","1.09","0.248","1.02","0.857","0.94","0.327"
"アレルギー歴","3.27","0.000","3.43","0.000","2.86","0.000","5.91","0.000","1.66","0.000","1.67","0.000"
