"","家庭食／件数","家庭食／(%)","調理済み食／件数","調理済み食／(%)","外食／件数","外食／(%)","給食／保育所･幼稚園給食､学校給食／件数","給食／保育所･幼稚園給食､学校給食／(%)","給食／職場給食／件数","給食／職場給食／(%)","給食／小計／件数","給食／小計／(%)","その他／(その他1)菓子･果物､乳製品､嗜好飲料などの食品のみを食べた場合／件数","その他／(その他1)菓子･果物､乳製品､嗜好飲料などの食品のみを食べた場合／(%)","その他／(その他2)錠剤などのサプリメント､栄養ドリンク剤のみの場合／件数","その他／(その他2)錠剤などのサプリメント､栄養ドリンク剤のみの場合／(%)","その他／(欠食)食事をしなかった場合／件数","その他／(欠食)食事をしなかった場合／(%)","その他／小計／件数","その他／小計／(%)","不明／件数","不明／(%)","合計／件数","合計／(%)"
"全体総数","334","78.8","26","6.1","5","1.2","0","0","1","0.2","1","0.2","40","9.4","1","0.2","17","4","58","13.7","0","0","424","100"
"1-6歳","16","94.1","1","5.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","100"
"7-14歳","35","97.2","1","2.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","100"
"15-19歳","18","81.8","1","4.5","1","4.5","0","0","0","0","0","0","1","4.5","0","0","1","4.5","2","9.1","0","0","22","100"
"20-29歳","20","80","1","4","0","0","0","0","0","0","0","0","2","8","0","0","2","8","4","16","0","0","25","100"
"30-39歳","18","52.9","3","8.8","1","2.9","0","0","0","0","0","0","7","20.6","0","0","5","14.7","12","35.3","0","0","34","100"
"40-49歳","51","75","4","5.9","1","1.5","0","0","0","0","0","0","7","10.3","0","0","5","7.4","12","17.6","0","0","68","100"
"50-59歳","43","74.1","3","5.2","1","1.7","0","0","0","0","0","0","8","13.8","1","1.7","2","3.4","11","19","0","0","58","100"
"60-69歳","56","78.9","6","8.5","1","1.4","0","0","1","1.4","1","1.4","7","9.9","0","0","0","0","7","9.9","0","0","71","100"
"70歳以上","77","82.8","6","6.5","0","0","0","0","0","0","0","0","8","8.6","0","0","2","2.2","10","10.8","0","0","93","100"
"男性総数","150","74.6","14","7","5","2.5","0","0","0","0","0","0","19","9.5","0","0","13","6.5","32","15.9","0","0","201","100"
"1-6歳","11","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","100"
"7-14歳","19","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","100"
"15-19歳","8","80","1","10","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","100"
"20-29歳","11","78.6","1","7.1","0","0","0","0","0","0","0","0","0","0","0","0","2","14.3","2","14.3","0","0","14","100"
"30-39歳","6","30","3","15","1","5","0","0","0","0","0","0","5","25","0","0","5","25","10","50","0","0","20","100"
"40-49歳","13","59.1","1","4.5","1","4.5","0","0","0","0","0","0","3","13.6","0","0","4","18.2","7","31.8","0","0","22","100"
"50-59歳","22","75.9","2","6.9","1","3.4","0","0","0","0","0","0","3","10.3","0","0","1","3.4","4","13.8","0","0","29","100"
"60-69歳","24","77.4","3","9.7","1","3.2","0","0","0","0","0","0","3","9.7","0","0","0","0","3","9.7","0","0","31","100"
"70歳以上","36","80","3","6.7","0","0","0","0","0","0","0","0","5","11.1","0","0","1","2.2","6","13.3","0","0","45","100"
"女性総数","184","82.5","12","5.4","0","0","0","0","1","0.4","1","0.4","21","9.4","1","0.4","4","1.8","26","11.7","0","0","223","100"
"1-6歳","5","83.3","1","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","100"
"7-14歳","16","94.1","1","5.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","100"
"15-19歳","10","83.3","0","0","0","0","0","0","0","0","0","0","1","8.3","0","0","1","8.3","2","6.7","0","0","12","100"
"20-29歳","9","81.8","0","0","0","0","0","0","0","0","0","0","2","18.2","0","0","0","0","2","8.2","0","0","11","100"
"30-39歳","12","85.7","0","0","0","0","0","0","0","0","0","0","2","14.3","0","0","0","0","2","4.3","0","0","14","100"
"40-49歳","38","82.6","3","6.5","0","0","0","0","0","0","0","0","4","8.7","0","0","1","2.2","5","0.9","0","0","46","100"
"50-59歳","21","72.4","1","3.4","0","0","0","0","0","0","0","0","5","17.2","1","3.4","1","3.4","7","24.1","0","0","29","100"
"60-69歳","32","80","3","7.5","0","0","0","0","1","2.5","1","2.5","4","10","0","0","0","0","4","10","0","0","40","100"
"70歳以上","41","85.4","3","6.3","0","0","0","0","0","0","0","0","3","6.3","0","0","1","2.1","4","8.3","0","0","48","100"
