"サービスの種類","事項（単位）","平成25年度実績","平成27年度見込み","平成28年度見込み","平成29年度見込み"
"訪問系サービス/居宅介護重度訪問介護同行援護行動援護重度障害者等包括支援","サービス量（時間）","824953","909206","948740","990517"
"訪問系サービス/居宅介護重度訪問介護同行援護行動援護重度障害者等包括支援","利用者数（人）","18845","21096","22009","22926"
"日中活動系サービス/生活介護","サービス量（人日分）","359922","406150","419823","433497"
"日中活動系サービス/生活介護","利用者数（人）","19036","20803","21504","22204"
"日中活動系サービス/自立訓練（機能訓練）","サービス量（人日分）","3490","3943","4076","4209"
"日中活動系サービス/自立訓練（機能訓練）","利用者数（人）","374","407","421","434"
"日中活動系サービス/自立訓練（生活訓練）","サービス量（人日分）","13270","14196","14673","15151"
"日中活動系サービス/自立訓練（生活訓練）","利用者数（人）","1072","1131","1169","1207"
"日中活動系サービス/就労移行支援","サービス量（人日分）","36284","43375","44836","46296"
"日中活動系サービス/就労移行支援","利用者数（人）","2354","2713","2805","2896"
"日中活動系サービス/就労継続支援（Ａ型）","サービス量（人日分）","18605","22082","22825","23569"
"日中活動系サービス/就労継続支援（Ａ型）","利用者数（人）","988","1176","1215","1255"
"日中活動系サービス/就労継続支援（Ｂ型）","サービス量（人日分）","282118","298895","308958","319019"
"日中活動系サービス/就労継続支援（Ｂ型）","利用者数（人）","18446","18994","19633","20273"
"日中活動系サービス/（計）","サービス量（人日分）","713689","788641","815191","841741"
"日中活動系サービス/（計）","利用者数（人）","42270","45224","46747","48269"
"日中活動系サービス/療養介護","利用者数（人）","1235","1291","1308","1327"
"日中活動系サービス/短期入所","サービス量（人日分）","27833","32049","34408","36767"
"日中活動系サービス/短期入所","（内訳）福祉型（人）","24846","28630","30737","32845"
"日中活動系サービス/短期入所","（内訳）医療型（人）","2987","3419","3671","3922"
"日中活動系サービス/短期入所","利用者数（人）","3710","4273","4588","4902"
"サービス居住系/共同生活援助（グループホーム）","利用者数（人）","7321","8418","9085","9751"
"サービス居住系/施設入所支援","利用者数（人）","8534","8587","8523","8487"
"相談支援/計画相談支援","利用者数（人）","3219","10638","11809","12893"
"相談支援/地域移行支援","利用者数（人）","81","207","242","258"
"相談支援/地域定着支援","利用者数（人）","75","229","292","372"
