"","<50","50～100","100～150","150～200","200≦"
"対象者数","2762","1995","1465","1372","5785"
"症状１","2616","1897","1383","1303","5520"
"%","94.71","95.09","94.4","94.97","95.42"
"症状２","2638","1920","1409","1314","5597"
"%","95.51","96.24","96.18","95.77","96.75"
"症状３","2504","1812","1339","1256","5372"
"%","90.66","90.83","91.4","91.55","92.86"
"症状４","2505","1782","1333","1241","5264"
"%","90.7","89.32","90.99","90.45","90.99"
"症状５","2700","1940","1420","1332","5658"
"%","97.76","97.24","96.93","97.08","97.8"
"（軽症）間欠型","617","427","372","322","1490"
"%","22.34","21.4","25.39","23.47","25.76"
"軽症持続型","1040","764","553","497","2159"
"%","37.65","38.3","37.75","36.22","37.32"
"中等症持続型","855","642","429","421","1719"
"%","30.96","32.18","29.28","30.69","29.71"
"重症持続型","241","158","109","128","404"
"%","8.73","7.92","7.44","9.33","6.98"
"アレ・ダニ・陽性","1837","1340","1002","918","4029"
"%","66.51","67.17","68.4","66.91","69.65"
"アレ・ダニ・擬陽性","71","38","26","30","97"
"%","2.57","1.9","1.77","2.19","1.68"
"アレ・ダニ・陰性","718","525","372","366","1418"
"%","26","26.32","25.39","26.68","24.51"
"アレ・ハウスダスト・陽性","1757","1256","939","880","3763"
"%","63.61","62.96","64.1","64.14","65.05"
"アレ・ハウスダスト・擬陽性","70","40","28","28","97"
"%","2.53","2.01","1.91","2.04","1.68"
"アレ・ハウスダスト・陰性","692","526","358","348","1372"
"%","25.05","26.37","24.44","25.36","23.72"
