"","全体","うち／配偶者による虐待のある世帯","うち／子どもによる虐待のある世帯※"
"ひとり暮らし","33","1","26"
"ひとり暮らし(%)","7.1","1.0","7.9"
"夫婦のみ","77","71","6"
"夫婦のみ(%)","16.6","74.0","1.8"
"夫婦と既婚の子ども","3","0","3"
"夫婦と既婚の子ども(%)","0.6","0.0","0.9"
"夫婦と単身の子ども","44","17","27"
"夫婦と単身の子ども(%)","9.5","17.7","8.2"
"夫婦と既婚の子どもと孫","10","4","6"
"夫婦と既婚の子どもと孫(%)","2.2","4.2","1.8"
"夫婦と単身の子どもと孫","5","1","1"
"夫婦と単身の子どもと孫(%)","1.1","1.0","0.3"
"本人と既婚の子ども","48","1","45"
"本人と既婚の子ども(%)","10.3","1.0","13.7"
"本人と単身の子ども","152","0","150"
"本人と単身の子ども(%)","32.7","0.0","45.7"
"本人と既婚の子どもと孫","49","1","45"
"本人と既婚の子どもと孫(%)","10.5","1.0","13.7"
"本人と単身の子どもと孫","15","0","13"
"本人と単身の子どもと孫(%)","3.2","0.0","4.0"
"その他","26","0","3"
"その他(%)","5.6","0.0","0.9"
"不明・無回答","3","0","3"
"不明・無回答(%)","0.6","0.0","0.9"
"合計","465","96","328"
"合計(%)","100.0","100.0","100.0"
