"栄養素(単位)","平成27年(2015)","平成26年(2014)","平成22年(2010)","平成17年(2005)","平成12年(2000)","平成7年(1995)","平成2年(1990)","昭和60年(1985)","昭和55年(1980)","昭和50年(1975)"
"エネルギー(kcal)","1849","1867","1898","1860","1908","2074","1919","2039","2133","2108"
"総たんぱく質(ｇ)","69.1","66.9","69.1","71.4","75.8","82.2","77.6","77.6","79.2","77.2"
"動物性たんぱく質(g)","38.1","35.1","37.8","38.9","40.7","43.4","40.3","40.1","39.6","39.0"
"総脂質(g)","57.8","59.4","58.1","54.2","59.2","62.9","57.2","58.8","65.4","60.0"
"動物性脂質(g)","29.8","27.8","29.7","26.8","29.6","28.4","26.1","25.4","29.4","29.1"
"炭水化物(g)","243.2","248.1","257.6","256.3","254.0","278.0","260.0","282.0","301.0","309.0"
"カルシウム(mg)","510","516","521","535","542","613","536","500","615","556"
"鉄(mg)","7.3","7.5","7.7","8.4","11.1","12.0","11.0","10.9","11.4","13.5"
"ビタミンA(μgRA)","530","555","584","600","881","980","879","798","834","544"
"ビタミンB1(mg)","0.86","0.8","2.05","1.31","1.17","1.2","1.09","1.2","1.25","1.24"
"ビタミンB2(mg)","1.14","1.12","1.77","1.48","1.38","1.41","1.19","1.17","1.34","1.29"
"ビタミンC(mg)","92","98","158","139","127","138","120","119","135","146"
"総食物繊維(g)","14.2","14.9","14","14.7","15.1","","","","",""
"水溶性食物繊維(g)","3.4","3.5","3.3","3.5","","","","","",""
"不溶性食物繊維(g)","10.3","10.9","10.1","11.2","","","","","",""
"食塩相当量(g)","9.7","9.4","10.4","10.8","12.0","13.6","11.6","13.4","12.0","13.5"
"たんぱく質エネルギー比(%)","15.1","14.5","14.7","15.4","15.9","15.9","16.2","15.2","14.9","14.6"
"脂肪エネルギー比(%)","27.9","28.2","27.2","25.9","27.9","27.3","26.8","26.0","27.6","25.6"
"炭水化物エネルギー比(%)","57.0","57.3","58.1","58.7","56.2","56.8","57.0","58.8","56.5","58.7"
"動物性たんぱく質比(%)","53.8","50.3","53.0","54.5","53.8","53.0","52.0","52.0","50.0","51.0"
