"","施設総数","Aぜん息／１把握していない／施設数","Aぜん息／１把握していない／割合","Aぜん息／２把握している／施設数","Aぜん息／２把握している／割合","Aぜん息／無回答／施設数","Aぜん息／無回答／割合","B食物アレルギー／１把握していない／施設数","B食物アレルギー／１把握していない／割合","B食物アレルギー／２把握している／施設数","B食物アレルギー／２把握している／割合","B食物アレルギー／無回答／施設数","B食物アレルギー／無回答／割合","Cアナフィラキシー／１把握していない／施設数","Cアナフィラキシー／１把握していない／割合","Cアナフィラキシー／２把握している／施設数","Cアナフィラキシー／２把握している／割合","Cアナフィラキシー／無回答／施設数","Cアナフィラキシー／無回答／割合","Dアトピー性皮膚炎／１把握していない／施設数","Dアトピー性皮膚炎／１把握していない／割合","Dアトピー性皮膚炎／２把握している／施設数","Dアトピー性皮膚炎／２把握している／割合","Dアトピー性皮膚炎／無回答／施設数","Dアトピー性皮膚炎／無回答／割合","Eアレルギー性鼻炎／１把握していない／施設数","Eアレルギー性鼻炎／１把握していない／割合","Eアレルギー性鼻炎／２把握している／施設数","Eアレルギー性鼻炎／２把握している／割合","Eアレルギー性鼻炎／無回答／施設数","Eアレルギー性鼻炎／無回答／割合","Fアレルギー性結膜炎／１把握していない／施設数","Fアレルギー性結膜炎／１把握していない／割合","Fアレルギー性結膜炎／２把握している／施設数","Fアレルギー性結膜炎／２把握している／割合","Fアレルギー性結膜炎／無回答／施設数","Fアレルギー性結膜炎／無回答／割合"
"認可保育所＊","1588","68","4.3","1387","87.3","133","8.4","3","0.2","1566","98.6","19","1.2","68","4.3","1353","85.2","167","10.5","101","6.4","1345","84.7","142","8.9","365","23.0","993","62.5","230","14.5","348","21.9","1009","63.5","231","14.5"
"認証保育所＊","527","61","11.6","402","76.3","64","12.1","6","1.1","513","97.3","8","1.5","73","13.9","372","70.6","82","15.6","69","13.1","389","73.8","69","13.1","138","26.2","302","57.3","87","16.5","151","28.7","282","53.5","94","17.8"
"認定こども園＊","95","6","6.3","82","86.3","7","7.4","","","95","100.0","","","8","8.4","83","87.4","4","4.2","9","9.5","81","85.3","5","5.3","35","36.8","53","55.8","7","7.4","30","31.6","55","57.9","10","10.5"
"幼稚園＊","666","42","6.3","582","87.4","42","6.3","6","0.9","653","98.0","7","1.1","58","8.7","538","80.8","70","10.5","70","10.5","546","82.0","50","7.5","154","23.1","448","67.3","64","9.6","192","28.8","384","57.7","90","13.5"
"ベビーホテル","331","33","10.0","237","71.6","61","18.4","14","4.2","292","88.2","25","7.6","44","13.3","214","64.7","73","22.1","33","10.0","228","68.9","70","21.1","57","17.2","204","61.6","70","21.1","67","20.2","189","57.1","75","22.7"
"家庭的保育","596","138","23.2","354","59.4","104","17.4","137","23.0","393","65.9","66","11.1","167","28.0","293","49.2","136","22.8","149","25.0","340","57.0","107","18.0","167","28.0","295","49.5","134","22.5","171","28.7","286","48.0","139","23.3"
"学童保育","1169","76","6.5","999","85.5","94","8.0","13","1.1","1127","96.4","29","2.5","117","10.0","904","77.3","148","12.7","129","11.0","933","79.8","107","9.2","161","13.8","895","76.6","113","9.7","238","20.4","750","64.2","181","15.5"
"上記以外の施設","376","52","13.8","276","73.4","48","12.8","21","5.6","336","89.4","19","5.1","62","16.5","258","68.6","56","14.9","53","14.1","278","73.9","45","12.0","86","22.9","232","61.7","58","15.4","105","27.9","212","56.4","59","15.7"
"総数","5348","476","8.9","4319","80.8","553","10.3","200","3.7","4975","93.0","173","3.2","597","11.2","4015","75.1","736","13.8","613","11.5","4140","77.4","595","11.1","1163","21.7","3422","64.0","763","14.3","1302","24.3","3167","59.2","879","16.4"
"＊前回調査施設 (再掲）","2876","177","6.2","2453","85.3","246","8.6","15","0.5","2827","98.3","34","1.2","207","7.2","2346","81.6","323","11.2","249","8.7","2361","82.1","266","9.2","692","24.1","1796","62.4","388","13.5","721","25.1","1730","60.2","425","14.8" 
