"保険者番号","保険者別","税・料別","賦課算定方式","徴収回数(回)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／所得割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／資産割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／均等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／金額(千円)","賦課期日現在の保険料（税）算定額及びその構成割合／平等割額／割合(%)","賦課期日現在の保険料（税）算定額及びその構成割合／計(千円)","保険料（税）軽減額(千円)","災害等による減免額(千円)","その他の減免額(千円)","賦課限度額を超える額(千円)","増減額(千円)","調定額(千円)"
"40","奥多摩町","税","2方式","8","6291","48.06","","","6798","51.94","","","13089","1620","0","0","48","-666","10755"
"42","日野市","税","2方式","9","185569","50.37","","","182808","49.63","","","368377","36833","14","68","29141","-17968","284353"
"44","多摩市","税","2方式","10","175324","59.98","","","116982","40.02","","","292306","23083","42","42","22598","-7483","239058"
"45","稲城市","税","2方式","9","196719","68.14","","","91962","31.86","","","288681","16367","0","85","37688","-18937","215604"
"46","国立市","税","2方式","8","117870","64.23","","","65637","35.77","","","183507","13172","27","0","26822","-6772","136714"
"47","狛江市","税","2方式","8","121899","59.57","","","82742","40.43","","","204641","15904","48","20","24070","-4883","159716"
"48","小金井市","税","2方式","8","227052","59.31","","","155760","40.69","","","382812","30251","0","88","43264","-11596","297613"
"49","国分寺市","税","2方式","8","138153","50.07","","","137760","49.93","","","275913","26669","0","131","35703","-733","212677"
"51","武蔵村山市","税","2方式","8","106817","55.16","","","86824","44.84","","","193641","16672","75","55","9653","-9187","157999"
"52","東大和市","税","2方式","8","144950","63.33","","","83928","36.67","","","228878","16479","0","126","24413","-6722","181138"
"53","東村山市","税","2方式","9","221580","55.32","","","178971","44.68","","","400551","36932","0","122","28093","-16407","318997"
"54","清瀬市","税","2方式","9","135462","56.24","","","105420","43.76","","","240882","21248","4","30","31152","-7470","180978"
"55","東久留米市","税","3方式","9","176391","55.44","","","100476","31.59","41243","12.97","318110","29017","0","12","27341","-9185","252555"
"57","西東京市","料","2方式","8","354608","57.80","","","258930","42.20","","","613538","50931","0","0","72170","-16275","474162"
"58","小平市","税","2方式","8","238137","49.95","","","238653","50.05","","","476790","50042","134","0","54752","-11509","360353"
"59","大島町","税","4方式","10","14871","50.29","1715","5.80","8666","29.31","4318","14.60","29570","2204","0","0","863","-621","25882"
"60","利島村","税","4方式","8","169","29.14","83","14.31","220","37.93","108","18.62","580","48","0","0","0","-26","506"
"61","新島村","税","4方式","4","2537","33.07","522","6.80","3066","39.96","1548","20.17","7673","961","0","0","1","-313","6398"
"62","神津島村","税","4方式","10","3042","37.92","547","6.82","2626","32.74","1806","22.52","8021","394","0","0","0","-313","7314"
"63","三宅村","税","4方式","4","3028","37.18","1619","19.88","2257","27.71","1240","15.23","8144","865","0","0","364","-882","6033"
"64","御蔵島村","税","4方式","4","242","31.51","94","12.24","277","36.07","155","20.18","768","55","0","0","0","-106","607"
"65","八丈町","税","4方式","8","18145","46.62","437","1.12","13978","35.92","6358","16.34","38918","4866","0","0","1603","916","33365"
"66","青ヶ島村","税","4方式","4","122","24.50","50","10.04","188","37.75","138","27.71","498","30","0","0","0","-10","458"
"67","小笠原村","税","4方式","4","1906","30.29","827","13.14","2494","39.63","1066","16.94","6293","684","0","0","0","-256","5353"
"303","全国土木","料","その他","12","","","","","","","","","11553139","","0","3612","0","1870","11551397"
"304","東京理容","料","その他","12","","","","","","","","","42810","","0","0","0","0","42810"
"306","東京芸能人","料","その他","12","","","","","","","","","157257","","0","0","0","26979","184236"
"307","文芸美術","料","その他","12","","","","","","","","","274543","","0","0","0","-612","273931"
"309","料理飲食","料","その他","12","","","","","","","","","68283","","0","0","0","13147","81430"
"311","東京技芸","料","その他","12","","","","","","","","","24834","","0","0","0","-83","24751"
"313","食品販売","料","その他","12","","","","","","","","","1244175","","0","19","0","-1831","1242325"
"314","東京美容","料","その他","12","","","","","","","","","18054","","0","0","0","199584","217638"
"315","自転車商","料","その他","12","","","","","","","","","25709","","0","0","0","-57","25652"
"316","青果卸売","料","その他","12","","","","","","","","","22755","","0","0","0","4384","27139"
"317","東京浴場","料","その他","12","","","","","","","","","21217","","0","0","0","4127","25344"
"318","写真材料","料","その他","12","","","","","","","","","6596","","0","0","0","-428","6168"
"319","東京弁護士","料","その他","4","","","","","","","","","504431","","0","0","0","5744","510175"
"320","東京薬剤師","料","その他","12","","","","","","","","","139778","","0","0","0","12308","152086"
"322","東京都医師","料","その他","12","","","","","","","","","798092","","0","0","0","-12","798080"
"323","左官タイル","料","その他","12","","","","","","","","","452643","","0","24","0","-2144","450475"
"324","建設職能","料","その他","12","","","","","","","","","114138","","0","0","0","-1740","112398"
"325","東京建設業","料","その他","12","","","","","","","","","323510","","0","0","0","-1886","321624"
"326","中央建設","料","その他","12","","","","","","","","","3215006","","11671","190","0","-30103","3173042"
"327","東京土建","料","その他","12","","","","","","","","","2064902","","29","0","0","20329","2085202"
"328","全国板金業","料","その他","12","","","","","","","","","173658","","0","9600","0","67021","231079"
"329","建設工事業","料","その他","12","","","","","","","","","994578","","0","5","0","194701","1189274"
