"","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／カ グランド､テニスコート､野球場など／合計","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／カ グランド､テニスコート､野球場など／1","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／カ グランド､テニスコート､野球場など／2","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／カ グランド､テニスコート､野球場など／3","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／カ グランド､テニスコート､野球場など／無回答","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／キ スポーツジム、フィットネスクラブ／合計","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／キ スポーツジム、フィットネスクラブ／1","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／キ スポーツジム、フィットネスクラブ／2","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／キ スポーツジム、フィットネスクラブ／3","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／キ スポーツジム、フィットネスクラブ／無回答","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／ク 地域センター､公民館など／合計","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／ク 地域センター､公民館など／1","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／ク 地域センター､公民館など／2","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／ク 地域センター､公民館など／3","問6 あなたの周辺に､次に示すような運動ができる場所はありますか｡それぞれの項目について､あてはまる番号を1つ選んで○印をつけて下さい｡※周辺とは、自宅から徒歩、自転車､車でそれぞれ10分以内程度､あるいは通勤一通学路上にあって気軽に行けることを意味するものとします。(1ある ２ない ３わからない)／ク 地域センター､公民館など／無回答","問7 あなたの周辺に､運動ができる場所が整備されるとすれば､次のどれを望みますか｡あてはまる番号をすべて選んで○印をつけて下さい｡※ここでいう運動とは､スポーツやトレーニングなどのような健康づくりや体力向上など､目的をもって余暇時間に行われる活動のことです。／合計","問7 あなたの周辺に､運動ができる場所が整備されるとすれば､次のどれを望みますか｡あてはまる番号をすべて選んで○印をつけて下さい｡※ここでいう運動とは､スポーツやトレーニングなどのような健康づくりや体力向上など､目的をもって余暇時間に行われる活動のことです。／運動が行える公園","問7 あなたの周辺に､運動ができる場所が整備されるとすれば､次のどれを望みますか｡あてはまる番号をすべて選んで○印をつけて下さい｡※ここでいう運動とは､スポーツやトレーニングなどのような健康づくりや体力向上など､目的をもって余暇時間に行われる活動のことです。／安全な歩道や自転車道など","問7 あなたの周辺に､運動ができる場所が整備されるとすれば､次のどれを望みますか｡あてはまる番号をすべて選んで○印をつけて下さい｡※ここでいう運動とは､スポーツやトレーニングなどのような健康づくりや体力向上など､目的をもって余暇時間に行われる活動のことです。／整備された海岸、河原､山など","問7 あなたの周辺に､運動ができる場所が整備されるとすれば､次のどれを望みますか｡あてはまる番号をすべて選んで○印をつけて下さい｡※ここでいう運動とは､スポーツやトレーニングなどのような健康づくりや体力向上など､目的をもって余暇時間に行われる活動のことです。／体育館","問7 あなたの周辺に､運動ができる場所が整備されるとすれば､次のどれを望みますか｡あてはまる番号をすべて選んで○印をつけて下さい｡※ここでいう運動とは､スポーツやトレーニングなどのような健康づくりや体力向上など､目的をもって余暇時間に行われる活動のことです。／プール","問7 あなたの周辺に､運動ができる場所が整備されるとすれば､次のどれを望みますか｡あてはまる番号をすべて選んで○印をつけて下さい｡※ここでいう運動とは､スポーツやトレーニングなどのような健康づくりや体力向上など､目的をもって余暇時間に行われる活動のことです。／グランド、テニスコート､野球場など","問7 あなたの周辺に､運動ができる場所が整備されるとすれば､次のどれを望みますか｡あてはまる番号をすべて選んで○印をつけて下さい｡※ここでいう運動とは､スポーツやトレーニングなどのような健康づくりや体力向上など､目的をもって余暇時間に行われる活動のことです。／スポーツジム、フィットネスクラブ","問7 あなたの周辺に､運動ができる場所が整備されるとすれば､次のどれを望みますか｡あてはまる番号をすべて選んで○印をつけて下さい｡※ここでいう運動とは､スポーツやトレーニングなどのような健康づくりや体力向上など､目的をもって余暇時間に行われる活動のことです。／地域センター､公民館など","問7 あなたの周辺に､運動ができる場所が整備されるとすれば､次のどれを望みますか｡あてはまる番号をすべて選んで○印をつけて下さい｡※ここでいう運動とは､スポーツやトレーニングなどのような健康づくりや体力向上など､目的をもって余暇時間に行われる活動のことです。／その他","問7 あなたの周辺に､運動ができる場所が整備されるとすれば､次のどれを望みますか｡あてはまる番号をすべて選んで○印をつけて下さい｡※ここでいう運動とは､スポーツやトレーニングなどのような健康づくりや体力向上など､目的をもって余暇時間に行われる活動のことです。／特にない","問7 あなたの周辺に､運動ができる場所が整備されるとすれば､次のどれを望みますか｡あてはまる番号をすべて選んで○印をつけて下さい｡※ここでいう運動とは､スポーツやトレーニングなどのような健康づくりや体力向上など､目的をもって余暇時間に行われる活動のことです。／無回答"
"全体総数(人)","411","249","113","47","2","411","269","87","51","4","411","300","50","58","3","411","123","123","50","59","61","49","92","57","9","112","1"
"全体総数(%)","100","60.6","27.5","11.4","0.5","100","65.5","21.2","12.4","1","100","73","12.2","14.1","0.7","100","29.9","29.9","12.2","14.4","14.8","11.9","22.4","13.9","2.2","27.3","0.2"
"20～29歳(人)","38","22","13","3","0","38","27","6","5","0","38","24","4","10","0","38","13","8","10","8","4","8","16","3","0","9","0"
"20～29歳(%)","100","57.9","34.2","7.9","0","100","71.1","15.8","13.2","0","100","63.2","10.5","26.3","0","100","34.2","21.1","26.3","21.1","10.5","21.1","42.1","7.9","0","23.7","0"
"30～39歳(人)","39","23","8","8","0","39","33","5","1","0","39","30","2","7","0","39","12","9","8","6","7","9","11","2","0","6","0"
"30～39歳(%)","100","59","20.5","20.5","0","100","84.6","12.8","2.6","0","100","76.9","5.1","17.9","0","100","30.8","23.1","20.5","15.4","17.9","23.1","28.2","5.1","0","15.4","0"
"40～49歳(人)","77","59","13","5","0","77","53","19","5","0","77","56","11","10","0","77","22","19","10","13","21","13","22","9","4","16","0"
"40～49歳(%)","100","76.6","16.9","6.5","0","100","68.8","24.7","6.5","0","100","72.7","14.3","13","0","100","28.6","24.7","13","16.9","27.3","16.9","28.6","11.7","5.2","20.8","0"
"50～59歳(人)","67","47","17","3","0","67","54","10","3","0","67","54","6","7","0","67","19","20","7","10","9","8","17","8","0","20","0"
"50～59歳(%)","100","70.1","25.4","4.5","0","100","80.6","14.9","4.5","0","100","80.6","9","10.4","0","100","28.4","29.9","10.4","14.9","13.4","11.9","25.4","11.9","0","29.9","0"
"60～69歳(人)","85","56","20","9","0","85","57","12","14","2","85","67","7","9","2","85","28","42","11","12","12","8","14","17","3","18","0"
"60～69歳(%)","100","65.9","23.5","10.6","0","100","67.1","14.1","16.5","2.4","100","78.8","8.2","10.6","2.4","100","32.9","49.4","12.9","14.1","14.1","9.4","16.5","20","3.5","21.2","0"
"70歳～(人)","105","42","42","19","2","105","45","35","23","2","105","69","20","15","1","105","29","25","4","10","8","3","12","18","2","43","1"
"70歳～(%)","100","40","40","18.1","1.9","100","42.9","33.3","21.9","1.9","100","65.7","19","14.3","1","100","27.6","23.8","3.8","9.5","7.6","2.9","11.4","17.1","1.9","41","1"
"男性総数(人)","193","116","51","25","1","193","128","36","27","2","193","137","24","30","2","193","65","59","23","33","26","29","41","24","4","53","1"
"男性総数(%)","100","60.1","26.4","13","0.5","100","66.3","18.7","14","1","100","71","12.4","15.5","1","100","33.7","30.6","11.9","17.1","13.5","15","21.2","12.4","2.1","27.5","0.5"
"20～29歳(人)","19","9","7","3","0","19","14","2","3","0","19","10","3","6","0","19","6","3","3","5","2","5","8","1","0","5","0"
"20～29歳(%)","100","47.4","36.8","15.8","0","100","73.7","10.5","15.8","0","100","52.6","15.8","31.6","0","100","31.6","15.8","15.8","26.3","10.5","26.3","42.1","5.3","0","26.3","0"
"30～39歳(人)","25","15","4","6","0","25","21","3","1","0","25","19","1","5","0","25","10","8","5","3","2","5","8","1","0","3","0"
"30～39歳(%)","100","60","16","24","0","100","84","12","4","0","100","76","4","20","0","100","40","32","20","12","8","20","32","4","0","12","0"
"40～49歳(人)","29","20","7","2","0","29","19","7","3","0","29","19","5","5","0","29","6","5","4","4","6","5","7","3","2","7","0"
"40～49歳(%)","100","69","24.1","6.9","0","100","65.5","24.1","10.3","0","100","65.5","17.2","17.2","0","100","20.7","17.2","13.8","13.8","20.7","17.2","24.1","10.3","6.9","24.1","0"
"50～59歳(人)","34","28","4","2","0","34","27","5","2","0","34","26","4","4","0","34","12","9","4","6","5","5","7","2","0","11","0"
"50～59歳(%)","100","82.4","11.8","5.9","0","100","79.4","14.7","5.9","0","100","76.5","11.8","11.8","0","100","35.3","26.5","11.8","17.6","14.7","14.7","20.6","5.9","0","32.4","0"
"60～69歳(人)","36","24","9","3","0","36","26","2","7","1","36","29","2","4","1","36","18","19","4","7","7","6","4","9","1","7","0"
"60～69歳(%)","100","66.7","25","8.3","0","100","72.2","5.6","19.4","2.8","100","80.6","5.6","11.1","2.8","100","50","52.8","11.1","19.4","19.4","16.7","11.1","25","2.8","19.4","0"
"70歳～(人)","50","20","20","9","1","50","21","17","11","1","50","34","9","6","1","50","13","15","3","8","4","3","7","8","1","20","1"
"70歳～(%)","100","40","40","18","2","100","42","34","22","2","100","68","18","12","2","100","26","30","6","16","8","6","14","16","2","40","2"
"女性総数(人)","218","133","62","22","1","218","141","51","24","2","218","163","26","28","1","218","58","64","27","26","35","20","51","33","5","59","0"
"女性総数(%)","100","61","28.4","10.1","0.5","100","64.7","23.4","11","0.9","100","74.8","11.9","12.8","0.5","100","26.6","29.4","12.4","11.9","16.1","9.2","23.4","15.1","2.3","27.1","0"
"20～29歳(人)","19","13","6","0","0","19","13","4","2","0","19","14","1","4","0","19","7","5","7","3","2","3","8","2","0","4","0"
"20～29歳(%)","100","68.4","31.6","0","0","100","68.4","21.1","10.5","0","100","73.7","5.3","21.1","0","100","36.8","26.3","36.8","15.8","10.5","15.8","42.1","10.5","0","21.1","0"
"30～39歳(人)","14","8","4","2","0","14","12","2","0","0","14","11","1","2","0","14","2","1","3","3","5","4","3","1","0","3","0"
"30～39歳(%)","100","57.1","28.6","14.3","0","100","85.7","14.3","0","0","100","78.6","7.1","14.3","0","100","14.3","7.1","21.4","21.4","35.7","28.6","21.4","7.1","0","21.4","0"
"40～49歳(人)","48","39","6","3","0","48","34","12","2","0","48","37","6","5","0","48","16","14","6","9","15","8","15","6","2","9","0"
"40～49歳(%)","100","81.3","12.5","6.3","0","100","70.8","25","4.2","0","100","77.1","12.5","10.4","0","100","33.3","29.2","12.5","18.8","31.3","16.7","31.3","12.5","4.2","18.8","0"
"50～59歳(人)","33","19","13","1","0","33","27","5","1","0","33","28","2","3","0","33","7","11","3","4","4","3","10","6","0","9","0"
"50～59歳(%)","100","57.6","39.4","3","0","100","81.8","15.2","3","0","100","84.8","6.1","9.1","0","100","21.2","33.3","9.1","12.1","12.1","9.1","30.3","18.2","0","27.3","0"
"60～69歳(人)","49","32","11","6","0","49","31","10","7","1","49","38","5","5","1","49","10","23","7","5","5","2","10","8","2","11","0"
"60～69歳(%)","100","65.3","22.4","12.2","0","100","63.3","20.4","14.3","2","100","77.6","10.2","10.2","2","100","20.4","46.9","14.3","10.2","10.2","4.1","20.4","16.3","4.1","22.4","0"
"70歳～(人)","55","22","22","10","1","55","24","18","12","1","55","35","11","9","0","55","16","10","1","2","4","0","5","10","1","23","0"
"70歳～(%)","100","40","40","18.2","1.8","100","43.6","32.7","21.8","1.8","100","63.6","20","16.4","0","100","29.1","18.2","1.8","3.6","7.3","0","9.1","18.2","1.8","41.8","0"
