"","症状有または診断有（A＋B+C）／あり","症状有または診断有（A＋B+C）／なし","症状有または診断有（A＋B+C）／無回答","これまでに症状有（A+B）／あり","これまでに症状有（A+B）／なし","これまでに症状有（A+B）／無回答","症状有かつ診断有（B）／あり","症状有かつ診断有（B）／なし","症状有かつ診断有（B）／無回答","これまでに診断有（B+C）／あり","これまでに診断有（B+C）／なし","これまでに診断有（B+C）／無回答"
"呼吸器症状、ぜん息","807","2558","70","804","2594","37","331","3026","78","334","3045","56"
"（再掲） 1回の呼吸器症状","135","","","135","","","41","","","41","",""
"2回以上の呼吸器症状","490","","","490","","","287","","","287","",""
"回数無回答","182","","","179","","","3","","","6","",""
"食物アレルギー","733","2643","59","717","2690","28","563","2805","67","579","2806","50"
"アトピー性皮膚炎","677","2684","74","666","2728","41","376","2975","84","387","2988","60"
"アレルギー性鼻炎","710","2646","79","705","2686","44","301","3040","94","306","3057","72"
"アレルギー性結膜炎","288","3052","95","281","3107","47","159","3177","99","166","3195","74"
"じんましん","694","2665","76","684","2708","43","416","2934","85","426","2947","62"
"その他のアレルギー疾患","91","3196","148","87","3271","77","42","3240","153","46","3285","104"
"何らかのアレルギー症状・疾患あり","1996","1435","4","1894","1533","8","1338","2069","28","1362","2050","23" 
