"","母子世帯(%)","父子世帯(%)"
"仕事の時間を短縮したり､ずらしたりする制度","30.2","24.2"
"育児休業制度の昔及","14.5","8.1"
"子育てに理解のある職場環境の整備","51.3","35.5"
"児童手当など経済的な手当の充実","42.0","45.2"
"職場内保育施設の整備","13.0","8.1"
"出産･育児のために退職した人が復帰できる制度の充実","12.8","4.8"
"子供が病気やけがをしたときに休暇をとれる制度の充実","38.2","24.2"
"夜間･休日を問わず､子供を預けられる保育サービスの整備","18.0","25.8"
"小学生の子供を預けれられるサービスの整備","11.5","21.0"
"求職中に子供を預けられるサービスの整備","7.0","3.2"
"出産や子育てに関する情報提供や相談の場の整備","1.8","3.2"
"子育て家庭の住宅環境の整備","9.3","11.3"
"男女が共に子育てに携わる意識啓発","9.5","0.0"
"子供の遊び場環境の整備","4.5","8.1"
"その他","2.2","4.8"
"特にない","2.5","11.3"
"無回答","2.5","3.2"
