"","件数(件)","費用額(円)","保険者負担分(円)","一部負担金(円)","他法負担分(円)"
"療養の給付等","638243","12971398289","9073650941","3596695570","301051778"
"食事療養(再掲)","6513","152007297","99349944","51478597","1178756"
"療養費等／食事療養","5","","33050","-33050","0"
"療養費等／療養費／療養費","375","5031053","3522158","1508895","0"
"療養費等／療養費／補装具","300","11390408","7990411","3399997","0"
"療養費等／療養費／柔道整復師","16139","120598475","84449617","36083915","64943"
"療養費等／療養費／アンマ・マッサージ","846","25432810","17802806","7297382","332622"
"療養費等／療養費／ハリ・キュウ","868","7528370","5274710","2253660","0"
"療養費等／療養費／その他","4","203996","142791","61205","0"
"療養費等／療養費／小計","18532","170185112","119182493","50605054","397565"
"療養費等／療養費／海外療養費(再掲)","13","779220","545454","233766","0"
"療養費等／移送費","0","0","0","0","0"
"計","656780","13141583401","9192866484","3647267574","301449343"
