"","ぜん息、ぜん息性気管支炎、小児ぜん息／1回の呼吸器症状／人数","ぜん息、ぜん息性気管支炎、小児ぜん息／2回以上の呼吸器症状／人数","ぜん息、ぜん息性気管支炎、小児ぜん息／症状無回答／人数","ぜん息、ぜん息性気管支炎、小児ぜん息／総数／人数","ぜん息、ぜん息性気管支炎、小児ぜん息／総数／割合","食物アレルギー／人数","食物アレルギー／割合","アトピー性皮膚炎／人数","アトピー性皮膚炎／割合","アレルギー性鼻炎／人数","アレルギー性鼻炎／割合","アレルギー性結膜炎／人数","アレルギー性結膜炎／割合","じんましん／人数","じんましん／割合","その他のアレルギー疾患／人数","その他のアレルギー疾患／割合"
"0ヶ月～","3","6","0","9","2.7","64","11.1","74","19.1","4","1.3","2","1.2","19","4.5","3","6.5"
"6ヶ月～","2","30","1","33","9.9","291","50.3","87","22.5","18","5.9","7","4.2","71","16.7","10","21.7"
"12ヶ月～","6","79","1","86","25.7","134","23.1","75","19.4","54","17.6","17","10.2","81","19.0","9","19.6"
"18ヶ月～","5","41","0","46","13.8","27","4.7","31","8.0","38","12.4","18","10.8","42","9.9","7","15.2"
"24ヶ月～","7","51","1","59","17.7","25","4.3","51","13.2","86","28.1","50","30.1","71","16.7","5","10.9"
"30ヶ月～","9","40","1","50","15.0","16","2.8","33","8.5","69","22.5","46","27.7","76","17.8","4","8.7"
"36ヶ月～","9","23","2","34","10.2","8","1.4","15","3.9","22","7.2","15","9.0","35","8.2","4","8.7"
"42ヶ月～","0","1","0","1","0.3","0","0.0","0","0.0","1","0.3","0","0.0","0","0.0","0","0.0"
"無回答","0","16","0","16","4.8","14","2.4","21","5.4","14","4.6","11","6.6","31","7.3","4","8.7"
"総数","41","287","6","334","100.0","579","100.0","387","100.0","306","100.0","166","100.0","426","100.0","46","100.0" 
