"上段：度数／下段：%","n=","今後も保育士として働き続けたい","今後は保育士を辞め、保育士以外の職種で働きたい","今後は保育士を辞め、働かないつもりだ","無回答"
"ＴＯＴＡＬ","8214","6466","1312","176","260"
"ＴＯＴＡＬ","100","78.7","16.0","2.1","3.2"
"性別・年代／女性計","7526","5950","1180","160","236"
"性別・年代／女性計","100","79.1","15.7","2.1","3.1"
"性別・年代／女性２０代","3297","2412","725","71","89"
"性別・年代／女性２０代","100","73.2","22.0","2.2","2.7"
"性別・年代／女性３０代","1612","1274","259","30","49"
"性別・年代／女性３０代","100","79.0","16.1","1.9","3.0"
"性別・年代／女性４０代","1560","1358","142","14","46"
"性別・年代／女性４０代","100","87.1","9.1","0.9","2.9"
"性別・年代／女性５０代以上","1005","860","51","43","51"
"性別・年代／女性５０代以上","100","85.6","5.1","4.3","5.1"
"性別・年代／男性計","380","277","89","3","11"
"性別・年代／男性計","100","72.9","23.4","0.8","2.9"
"性別・年代／男性２０代","281","199","69","3","10"
"性別・年代／男性２０代","100","70.8","24.6","1.1","3.6"
"性別・年代／男性３０代以上","99","78","20","0","1"
"性別・年代／男性３０代以上","100","78.8","20.2","0.0","1.0"
"性別・年代／無回答","308","239","43","13","13"
"性別・年代／無回答","100","77.6","14.0","4.2","4.2"
