"","電気","都市ガス","LPガス"
"対象者数","312","3535","303"
"持続性せき","18","228","20"
"%","5.77","6.45","6.6"
"持続性たん","38","410","29"
"%","12.18","11.6","9.57"
"持続性せきたん","10","130","11"
"%","3.21","3.68","3.63"
"ぜんそく様症状現在","9","73","12"
"%","2.88","2.07","3.96"
"ぜんそく様症状寛解","5","80","7"
"%","1.6","2.26","2.31"
"ぜん鳴症状","9","115","12"
"%","2.88","3.25","3.96"
"慢性気管支炎","7","128","9"
"%","2.24","3.62","2.97"
"肺気腫","6","72","4"
"%","1.92","2.04","1.32"
"じんましん","35","337","34"
"%","11.22","9.53","11.22"
"アトピー性皮膚炎","9","135","7"
"%","2.88","3.82","2.31"
"アレルギー性鼻炎","55","643","43"
"%","17.63","18.19","14.19"
"アレルギー性結膜炎","8","101","9"
"%","2.56","2.86","2.97"
"花粉症","95","1034","84"
"%","30.45","29.25","27.72"
"食物アレルギー","8","91","7"
"%","2.56","2.57","2.31"
