"","問１＿３＆４配偶者と子供の有無","問１＿３＆４配偶者と子供の有無／n","8／別の職業を希望した(%)","5／希望する給与待遇の求人がなかった(%)","4／勤務日数・時間が合致する求人がなかった(%)","2／家事・育児に専念したかった(%)","7／自分には適正がないと感じた(%)","9／資格取得が目的で、保育士として働く意志はなかった(%)","3／就職活動をしたが、採用されなかった(%)","1／働く必要がなかった(%)","10／家族等の意向(%)","6／そもそも保育士の求人情報がなかった(%)","11／その他(%)","12／無回答(%)"
"0","TOTAL","3969","49.1","17.4","13.8","9.9","8.4","7.8","4.3","3.7","2.2","1.4","28.3","0.5"
"1","配偶者有・子供有","1596","32.8","15.3","20.7","22.4","4.6","7.1","4.6","6.0","3.3","2.0","33.1","0.6"
"2","配偶者有・子供無","339","51.3","21.5","13.6","4.4","5.3","10.0","5.0","4.1","2.4","1.5","28.6","1.2"
"3","配偶者無・子供有","116","35.3","28.4","22.4","9.5","4.3","5.2","4.3","4.3","3.4","0.9","37.1","0.0"
"4","配偶者無・子供無","1751","64.3","18.0","7.5","0.0","12.7","8.3","4.1","1.7","1.1","0.9","23.0","0.2"
"1","専門（専修）学校の保育士養成課程","502","57.4","14.5","8.4","5.2","10.2","3.6","7.0","1.4","1.6","1.8","28.3","1.0"
"2","短期大学の保育士養成課程","942","64.5","11.1","8.8","5.1","10.3","4.7","5.4","2.1","2.4","1.1","24.8","0.4"
"3","大学の保育士養成課程","843","73.1","16.7","6.5","2.8","16.3","5.3","3.6","0.5","1.2","0.6","15.3","0.2"
"4","その他養成施設の保育士養成課程","30","23.3","23.3","23.3","20.0","3.3","10.0","6.7","0.0","3.3","0.0","26.7","0.0"
"5","通信教育等で学んだ後、保育士試験","1603","25.7","22.3","22.3","17.5","2.7","12.2","3.1","7.0","2.9","1.9","37.1","0.3"
