"施設名","電話番号（代表）","ＦＡＸ番号","郵便番号","所在地","緯度","経度","座標系","交通機関"
"広尾看護専門学校","電話 03-3443-0642","ファクス 03-3440-9543","150-0013","渋谷区恵比寿二丁目34番10号","35.647503","139.722046","JGD2011","地下鉄日比谷線広尾駅 徒歩7分"
"荏原看護専門学校","電話 03-3727-2961","ファクス 03-3727-5105","145-0065","大田区東雪谷四丁目5番28号","35.593704","139.694839","JGD2011","東急池上線洗足池駅 徒歩10分"
"府中看護専門学校","電話 042-324-6411","ファクス 042-326-3970","183-0042","府中市武蔵台二丁目27番1号","35.693184","139.464981","JGD2011","JR中央線・武蔵野線西国分寺駅 徒歩8分"
"北多摩看護専門学校","電話 042-567-0331","ファクス 042-567-0336","207-0022","東大和市桜が丘三丁目44番10号","35.734173","139.418442","JGD2011","西武拝島線玉川上水駅 徒歩3分／多摩都市モノレール玉川上水駅 徒歩4分"
"青梅看護専門学校","電話 0428-31-9051","ファクス 0428-32-0903","198-0014","青梅市大門三丁目14番1号","35.793430","139.295303","JGD2011","JR青梅線河辺駅から看護学校入口（バス・所要時間10分）下車 徒歩3分"
"南多摩看護専門学校","電話 042-389-6601","ファクス 042-389-6603","206-0042","多摩市山王下一丁目18番1号","35.625328","139.415207","JGD2011","京王相模原線・小田急多摩・多摩モノレール線 多摩センター駅 徒歩15分"
"板橋看護専門学校","電話 03-5943-7040","ファクス 03-5248-5481","173-0015","板橋区栄町34番１号","35.751534","139.700790","JGD2011","東武東上線大山駅 徒歩5分／都営三田線板橋区役所前駅徒歩10分"
"公衆衛生看護専門学校","平成15年3月31日をもちまして閉校となりました。（注釈）","","","","","","",""
"豊島看護専門学校","平成16年3月31日をもちまして閉校となりました。（注釈）","","","","","","",""
"大塚看護専門学校","平成16年3月31日をもちまして閉校となりました。（注釈）","","","","","","",""
"松沢看護専門学校","平成17年3月31日をもちまして閉校となりました。（注釈）","","","","","","",""
