"背景因子","人数（人）","割合（%）"
"性別／女性","23000","54.8"
"性別／男性","18942","45.2"
"性別／総計","41942","100.0"
"年齢階級／0～1歳","1","0.0"
"年齢階級／2～5歳","75","0.2"
"年齢階級／6～15歳","8675","20.7"
"年齢階級／16～35歳","9789","23.3"
"年齢階級／36～55歳","12284","29.3"
"年齢階級／56～75歳","8748","20.9"
"年齢階級／76歳以上","2370","5.7"
"年齢階級／総計","41942","100.0"
"新規更新／新規","12881","30.7"
"新規更新／更新","29037","69.2"
"新規更新／不明等","24","0.1"
"新規更新／総計","41952","100.0"
"重症度分類／軽症間欠型","13336","31.8"
"重症度分類／軽症持続型","15654","37.3"
"重症度分類／中等症持続型","10868","25.9"
"重症度分類／重症持続型","2022","4.8"
"重症度分類／不明等","62","0.1"
"重症度分類／総計","41942","100.0"
